"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"heard","hear","slyšel","slyšet","impf"," And while Levy and Toriki drank absinthe and chaffered over the pearl, Huru-Huru listened and heard the stupendous price of twenty-five thousand francs agreed upon."," A zatímco Levy a Toriki popíjeli absint a handrkovali se o perlu, Huru - Huru poslouchal a slyšel, jak smluvili omračující cenu dvaceti pěti tisíc franků."
"began","begin","začaly","začít","pf"," It was at this time that both the Orohena and the Hira, running in close to the shore, began firing guns and signalling frantically."," Ve stejnou chvíli začaly Orohena i Hira, které mezitím zajely blízko k pobřeží, střílet z děl a horečně signalizovat."
"signalling","signal","signalizovat","signalizovat","impf"," It was at this time that both the Orohena and the Hira, running in close to the shore, began firing guns and signalling frantically."," Ve stejnou chvíli začaly Orohena i Hira, které mezitím zajely blízko k pobřeží, střílet z děl a horečně signalizovat."
"kept","keep","udržely","udržet","pf"," The days went by, and she lived on the cocoanuts that had kept her afloat."," Dny plynuly a Nauri byla živa z kokosů, které ji předtím udržely nad vodou."
"drink","drink","nepila","pít","impf"," But she did not drink all she wanted, nor eat all she wanted."," Žena však nepila ani nejedla tolik, kolik by si přála."
"eat","eat","nejedla","jíst","impf"," But she did not drink all she wanted, nor eat all she wanted."," Žena však nepila ani nejedla tolik, kolik by si přála."
"wanted","want","přála","přát","impf"," But she did not drink all she wanted, nor eat all she wanted."," Žena však nepila ani nejedla tolik, kolik by si přála."
"wanted","want","přála","přát","impf"," But she did not drink all she wanted, nor eat all she wanted."," Žena však nepila ani nejedla tolik, kolik by si přála."
"saw","see","viděla","vidět","impf"," She saw the smoke of the rescue steamers on the horizon, but what steamer could be expected to come to lonely, uninhabited Takokota?"," Nauri sice viděla na obzoru kouř ze záchranných parníků, ale dalo se snad od některého očekávat, že přijede také na liduprázdnou, neobydlenou Takokotu?"
"expected","expect","očekávat","očekávat","impf"," She saw the smoke of the rescue steamers on the horizon, but what steamer could be expected to come to lonely, uninhabited Takokota?"," Nauri sice viděla na obzoru kouř ze záchranných parníků, ale dalo se snad od některého očekávat, že přijede také na liduprázdnou, neobydlenou Takokotu?"
"come","come","přijede","přijet","pf"," She saw the smoke of the rescue steamers on the horizon, but what steamer could be expected to come to lonely, uninhabited Takokota?"," Nauri sice viděla na obzoru kouř ze záchranných parníků, ale dalo se snad od některého očekávat, že přijede také na liduprázdnou, neobydlenou Takokotu?"
"opened","open","otevřel","otevřít","pf"," He put him on his back again for a week, opened up his leg, played a deft trick or two with the smaller veins, scraped a spot of bone no larger than a coffee grain till naught but a surface of healthy pink remained to be sewed over with living flesh."," Na týden jej znovu vrátil na lůžko, otevřel mu nohu, zručně si pohrál s několika menšími žilkami, vyškrábl kousíček kosti ne větší než kávové zrnko, až nezůstalo nic než zdravě růžová ploška, přes kterou mohla být přešita zdravá tkáň."
"remained","remain","nezůstalo","zůstat","pf"," He put him on his back again for a week, opened up his leg, played a deft trick or two with the smaller veins, scraped a spot of bone no larger than a coffee grain till naught but a surface of healthy pink remained to be sewed over with living flesh."," Na týden jej znovu vrátil na lůžko, otevřel mu nohu, zručně si pohrál s několika menšími žilkami, vyškrábl kousíček kosti ne větší než kávové zrnko, až nezůstalo nic než zdravě růžová ploška, přes kterou mohla být přešita zdravá tkáň."
"Let","let","Dovol","dovolit","pf"," “ Let me tell him, ” Madge begged."," "" Dovol mi, abych mu to řekla, "" prosila Madge."
"tell","tell","řekla","říci","pf"," “ Let me tell him, ” Madge begged."," "" Dovol mi, abych mu to řekla, "" prosila Madge."
"begged","beg","prosila","prosit","impf"," “ Let me tell him, ” Madge begged."," "" Dovol mi, abych mu to řekla, "" prosila Madge."
"tell","tell","Řekneš","říci","pf"," “ You will tell him only when I am ready. ”"," "" Řekneš mu to, teprve až já budu se vším hotový. """
"sank","sink","klesnul","klesnout","pf"," In two hours the snow level sank three inches."," během dvou hodin klesnul o tři palce."
"touched","touch","dotknul","dotknout","pf"," Daw touched Linday on the shoulder; touched him again; shook, and shook violently."," Daw se dotknul Lindayova ramene, pak znovu, zatřepal s ním a potom prudčeji."
"touched","touch","dotknul","dotknout","pf"," Daw touched Linday on the shoulder; touched him again; shook, and shook violently."," Daw se dotknul Lindayova ramene, pak znovu, zatřepal s ním a potom prudčeji."
"drawing","draw","využili","využít","pf"," Canadian-born, city-bred Scots, in a foolish moment they had resigned their counting-house desks, drawing upon their savings, and gone Klondiking."," Tito v Kanadě narození a městem odkojení Skoti se v jediném bláhovém okamžiku vzdali svých kancelářských stolů, využili svých úspor a vydali se "" klondikovat ""."
"feel","feel","cítíš","cítit","impf"," “ How do you feel?"," "" Jak se cítíš?"
"think","think","máme","mít","impf"," I think we ’ ve got you. ”"," Podle všeho vás máme na lopatě. """
"examined","examine","zkoumal","zkoumat","impf"," He examined the finger curiously, with wondering eyes, slowly crooking it back and forth."," Zvědavě zkoumal svůj prst, ohýbaje jím pomalu sem a tam."
"reached","reach","sáhl","sáhnout","pf"," He reached into his pocket and pulled out a gold-sack."," Pak sáhl do kapsy a vytáhl váček zlata."
"pulled","pull","vytáhl","vytáhnout","pf"," He reached into his pocket and pulled out a gold-sack."," Pak sáhl do kapsy a vytáhl váček zlata."
"paid","pay","Zaplatila","zaplatit","pf"," “ It paid my debt with Toriki."," "" Zaplatila můj dluh u Torikiho."
"cried","cry","vykřikla","vykřiknout","pf"," “ Toriki is dead, ” she cried."," "" Toriki je mrtvý, "" vykřikla žena."
"heard","hear","neslyšel","slyšet","impf"," “ They have heard no word of his schooner."," "" O jeho škuneru nikdo nic neslyšel."
"lost","lose","Ztratil","ztratit","pf"," She was lost along with the Aorai and the Hira."," Ztratil se spolu s Aorai a Hirou."
"promised","promise","sliboval","slibovat","impf"," Will Toriki pay you the three hundred credit he promised?"," Dá ti Toriki tři sta ve zboží, jak sliboval?"
"understand","understand","chápal","chápat","impf"," “ I could understand it if there was wind along with it. ”"," "" Kdyby foukal vítr, chápal bych to. """
"sat","sit","sedět","sedět","impf"," The two men sat on in silence."," Pak zůstali oba muži tiše sedět."
"formed","form","vytvořily","vytvořit","pf"," Tied together, they formed a lifebuoy that preserved her life while at the same time it threatened to pound her to a jelly."," Svázané dohromady pak ořechy vytvořily jakýsi záchranný kruh, který ji udržoval při životě, zároveň však hrozil, že ji rozmačká napadrť."
"preserved","preserve","udržoval","udržovat","impf"," Tied together, they formed a lifebuoy that preserved her life while at the same time it threatened to pound her to a jelly."," Svázané dohromady pak ořechy vytvořily jakýsi záchranný kruh, který ji udržoval při životě, zároveň však hrozil, že ji rozmačká napadrť."
"threatened","threaten","hrozil","hrozit","impf"," Tied together, they formed a lifebuoy that preserved her life while at the same time it threatened to pound her to a jelly."," Svázané dohromady pak ořechy vytvořily jakýsi záchranný kruh, který ji udržoval při životě, zároveň však hrozil, že ji rozmačká napadrť."
"forced","force","nepřinutila","přinutit","pf"," Then he effected a corner in horseshoe nails, and they circulated at par with legal tender, four to the dollar, till an unexpected consignment of a hundred barrels or so broke the market and forced him to disgorge his stock at a loss."," Pak skoupil se spekulativními úmysly hřebíky do podkov, které obíhaly rovny zákonnému platidlu, čtyři za dolar, dokud nenadálá dodávka asi stovky sudů nezlikvidovala trh a nepřinutila jej rozprodat své zásoby se ztrátou."
"received","receive","dostal","dostat","pf"," After that the owner of the dogs bestirred himself, made complaint to Constantine, and from him received the loan of a policeman."," Majitel psů si poté pospíšil se stížností za Constantinem a dostal od něj k dispozici policistu."
"doubt","doubt","nepochyboval","pochybovat","impf"," Further, he had but little doubt that the owner of the dogs in question had taken his trail, and he wished to make American territory before the river broke."," Navíc nepochyboval, že skutečný majitel psů je mu v patách, a chtěl dosáhnout amerického území dříve, než řeka roztaje."
"wished","wish","chtěl","chtít","impf"," Further, he had but little doubt that the owner of the dogs in question had taken his trail, and he wished to make American territory before the river broke."," Navíc nepochyboval, že skutečný majitel psů je mu v patách, a chtěl dosáhnout amerického území dříve, než řeka roztaje."
"sent","send","Poslal","poslat","pf"," You have sent him away for three days, and robbed me of my last words to him. ”"," Poslal jsi ho na tři dny pryč a zbavil mě tak možnosti naposledy s ním promluvit. """
"Leave","leave","Nech","nechat","pf"," “ Leave a letter. ”"," "" Nech mu tu dopis. """
"tell","tell","Povím","povědět","pf"," “ I shall tell him all. ”"," "" Povím mu všechno. """
"returned","return","vrátil","vrátit","pf"," When he returned from the canoe, her outfit was packed, the letter written."," Když se vrátil od kanoe, byla její výstroj sbalená a dopis napsaný."
"read","read","přečíst","přečíst","pf"," “ Let me read it, ” he said, “ if you don ’ t mind. ”"," "" Dej mi ho přečíst, "" řekl, "" pokud ti to nevadí. """
"said","say","řekl","říci","pf"," “ Let me read it, ” he said, “ if you don ’ t mind. ”"," "" Dej mi ho přečíst, "" řekl, "" pokud ti to nevadí. """
"did","do","udělal","udělat","pf"," Why Montana Kid did this thing no man may know."," Proč to Montana Kid udělal, se nikdo nedozví."
"answered","answer","odpověděla","odpovědět","pf"," “ You are unfair, Grant, ” she answered gently."," "" Jsi nespravedlivý, Grante, "" odpověděla mu něžně."
"forget","forget","Zapomínáš","zapomínat","impf"," “ You forget that I was willing and that I desired."," "" Zapomínáš, že jsem se nechala, že jsem to tak chtěla."
"desired","desire","chtěla","chtít","impf"," “ You forget that I was willing and that I desired."," "" Zapomínáš, že jsem se nechala, že jsem to tak chtěla."
"stole","steal","neukradl","ukrást","pf"," Rex never stole me."," Rex mě neukradl."
"lost","lose","ztratil","ztratit","pf"," It was you who lost me."," To tys mě ztratil."
"went","go","Šla","jít","impf"," I went with him, willing and eager, with song on my lips."," Šla jsem s ním dobrovolně a ráda, s písničkou na rtech."
"accuse","accuse","obvinit","obvinit","pf"," As well accuse me of stealing him."," Mohl bys zrovna tak obvinit mě, že jsem ukradla jeho."
"stealing","steal","ukradla","ukrást","pf"," As well accuse me of stealing him."," Mohl bys zrovna tak obvinit mě, že jsem ukradla jeho."
