"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"said","say","říci","říci","pf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"help","help","pomohla","pomoci","pf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wanted","want","chce","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wanted","want","chce","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"wants","want","chce","chtít","impf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"move","move","přestěhovat","přestěhovat","pf"," "" Yes, "" said Mrs. Grubach with a sigh, "" I wanted to give her some help and I wanted the maid to help her too but she 's stubborn, she wants to move everything in herself."," "" Ano, "" řekla paní Grubachová a povzdechla si, "" chtěla jsem jí pomoci a říci také služebné, aby jí pomohla, ale ona je umíněná, chce si všechno přestěhovat sama."
"accepts","accept","bere","brát","impf"," I often feel it 's a burden for me to have Miss Montag as a tenant but Miss Bürstner accepts her into her room with herself. """," Mně je to často na obtíž, že mám slečnu Montagovou v podnájmu, ale slečna Bürstnerová si ji dokonce bere k sobě do pokoje. """
"tried","try","snažil","snažit","impf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"taking","take","vzal","vzít","pf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"took","take","vzal","vzít","pf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"looking","look","pohlédl","pohlédnout","pf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"lay","lay","položil","položit","pf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"raised","raise","zvedal","zvedat","impf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"rose","rise","zvedal","zvedat","impf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"raised","raise","postavil","postavit","pf"," Carefully and slowly turning his eyes upwards, he tried to learn what was taking place above him, took one of the papers from his desk without looking to see what it was, lay it on the flat of his hand and raised it slowly up as he rose up to the level of the two men himself."," Zvolna a opatrně vzhlédl a snažil se očima vyzvědět, co se děje nad ním, vzal s psacího stolu, aniž tam pohlédl, jeden z papírů, položil jej na dlaň, pomalu jej zvedal nahoru k pánům a zároveň se postavil."
"did","do","jednal","jednat","impf"," He had no particular plan in mind as he did this, but merely felt this was how he would act if only he had finished preparing that great document that was to remove his burden entirely."," Nemyslel přitom na nic určitého, jednal tak jen proto, že cítil, že se tak musí zachovat, až jednou dokončí své velké podání, jež ho úplně ospravedlní."
"act","act","jednal","jednat","impf"," He had no particular plan in mind as he did this, but merely felt this was how he would act if only he had finished preparing that great document that was to remove his burden entirely."," Nemyslel přitom na nic určitého, jednal tak jen proto, že cítil, že se tak musí zachovat, až jednou dokončí své velké podání, jež ho úplně ospravedlní."
"felt","feel","cítil","cítit","impf"," He had no particular plan in mind as he did this, but merely felt this was how he would act if only he had finished preparing that great document that was to remove his burden entirely."," Nemyslel přitom na nic určitého, jednal tak jen proto, že cítil, že se tak musí zachovat, až jednou dokončí své velké podání, jež ho úplně ospravedlní."
"finished","finish","dokončí","dokončit","pf"," He had no particular plan in mind as he did this, but merely felt this was how he would act if only he had finished preparing that great document that was to remove his burden entirely."," Nemyslel přitom na nic určitého, jednal tak jen proto, že cítil, že se tak musí zachovat, až jednou dokončí své velké podání, jež ho úplně ospravedlní."
"crush","crush","rozbít","rozbít","pf"," Was he not still free, so free that he could crush the entire court whenever he wanted, as least where it concerned him?"," Nezůstal by vždycky natolik svobodný, že by mohl celý ten soud ihned rozbít na padrť, aspoň pokud jde o jeho případ?"
"sounded","sound","znělo","znít","impf"," And her offer of help sounded sincere, and maybe it was n't quite worthless."," A jak mu nabízela pomoc, to znělo upřímně a snad to nebylo bez ceny."
