"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"opened","open","otevřelo","otevřít","pf"," At that second knock, a window on the third floor opened and the same Snail looked out."," Na druhé zaklepání se otevřelo okno o patro níž a vyhlédl z něho náš starý známý hlemýžď."
"answered","answer","odpověděl","odpovědět","pf"," "" My boy, "" answered the Snail in a calm, peaceful voice, "" my dear boy, I am a snail and snails are never in a hurry. """," "" Milý chlapče, "" odpověděl mu z okna ten klidný a netečný tvor, "" milý chlapče, já jsem hlemýžď a hlemýždi nemají nikdy naspěch. """
"closed","close","zavřelo","zavřít","pf"," And the window closed."," A okno se zase zavřelo."
"does","do","dělají","dělat","impf"," "" But how does one spend the day in the Land of Toys? """," "" Ale co v té Kratochvílii celé dny dělají? """
"goes","go","jde","jít","impf"," At night one goes to bed, and next morning, the good times begin all over again."," Večer se pak jde spát a ráno se začne nanovo."
"goes","go","začne","začít","pf"," At night one goes to bed, and next morning, the good times begin all over again."," Večer se pak jde spát a ráno se začne nanovo."
"begin","begin","začne","začít","pf"," At night one goes to bed, and next morning, the good times begin all over again."," Večer se pak jde spát a ráno se začne nanovo."
"Do","do","Půjdeš","jít","impf"," "" Do you want to go with me, then?"," "" Půjdeš tedy se mnou?"
"go","go","Půjdeš","jít","impf"," "" Do you want to go with me, then?"," "" Půjdeš tedy se mnou?"
"followed","follow","následovalo","následovat","impf"," An embarrassingly long silence followed these words, during which time the two friends looked at each other in a mocking way."," Po těch slovech následovalo dlouhé ticho, při kterém po sobě oba kamarádi šibalsky pokukovali."
"said","say","řekl","říci","pf"," Finally the Marionette, in a voice sweet as honey and soft as a flute, said to his companion :"," Konečně panáček medovým a sametovým hláskem řekl kamarádovi :"
"suffered","suffer","měl","mít","impf"," "" Tell me, Lamp-Wick, dear friend, have you ever suffered from an earache? """," "" Že jsem tak zvědavý, můj milý Knůtku : měl jsi někdy nějakou ušní nemoc? """
"want","want","Nechceš","chtít","impf"," "" Do you want to buy my shoes? """," "" Nechceš koupit moje střevíce? """
"buy","buy","koupit","koupit","pf"," "" Do you want to buy my shoes? """," "" Nechceš koupit moje střevíce? """
"said","say","řekl","říci","pf"," "" I do n't know what you are talking about, "" said the Marionette, who was beginning to tremble with fear."," "" Nerozumím ti, "" řekl panáček a začínal se třást strachy."
"beginning","begin","začínal","začínat","impf"," "" I do n't know what you are talking about, "" said the Marionette, who was beginning to tremble with fear."," "" Nerozumím ti, "" řekl panáček a začínal se třást strachy."
"explain","explain","Vysvětlím","vysvětlit","pf"," I 'll explain myself better, "" said the Parrot."," Vysvětlím to jasněji, "" řekl papoušek."
"said","say","řekl","říci","pf"," I 'll explain myself better, "" said the Parrot."," Vysvětlím to jasněji, "" řekl papoušek."
"want","want","Chceme","chtít","impf"," "" The play, the play, we want the play! """," "" Chceme představení, chceme představení! """
"want","want","chceme","chtít","impf"," "" The play, the play, we want the play! """," "" Chceme představení, chceme představení! """
"going","go","začaly","začít","pf"," The yelling was of no use, for the Marionettes, instead of going on with their act, made twice as much racket as before, and, lifting up Pinocchio on their shoulders, carried him around the stage in triumph."," Zbytečně si namáhali plíce, protože místo aby loutky začaly zase hrát, rámusily a povykovaly ještě víc a pak vzaly Pinocchia na ramena a triumfálně ho nosily po scéně."
"carried","carry","nosily","nosit","impf"," The yelling was of no use, for the Marionettes, instead of going on with their act, made twice as much racket as before, and, lifting up Pinocchio on their shoulders, carried him around the stage in triumph."," Zbytečně si namáhali plíce, protože místo aby loutky začaly zase hrát, rámusily a povykovaly ještě víc a pak vzaly Pinocchia na ramena a triumfálně ho nosily po scéně."
"laughing","laugh","smál","smát","impf"," But the Little Man, instead of laughing, became so loving toward the little animal that, with another kiss, he bit off half of his left ear."," Ale mužíček, místo aby se smál, pocítil k tomu neklidnému zvířeti takovou náklonnost, že mu jediným polibkem ukousl půlku druhého ucha."
"said","say","řekl","říci","pf"," "" You can mount now, my boy, "" he then said to Pinocchio."," Potom řekl panáčkovi :"
"setting","set","položila","položit","pf"," "" With pleasure, my boy! "" she answered, setting the two jugs on the ground before him."," "" Jen se napij, chlapče! "" řekla žena a položila oba džbány na zem."
"wiped","wipe","otřel","otřít","pf"," When Pinocchio had had his fill, he grumbled, as he wiped his mouth :"," Když se Pinocchio nalokal tolik, že byl nacucaný jako houba, otřel si pusu a potichu zamumlal :"
"hearing","hear","uslyšela","uslyšet","pf"," On hearing these words, the good little woman immediately said :"," Jak to ta dobrá ženuška uslyšela, hned řekla :"
"said","say","řekla","říci","pf"," On hearing these words, the good little woman immediately said :"," Jak to ta dobrá ženuška uslyšela, hned řekla :"
"help","help","pomůžeš","pomoci","pf"," "" If you help me to carry these jugs home, I 'll give you a slice of bread. """," "" Když mi pomůžeš odnést jeden džbán domů, dám ti pořádný kus chleba. """
"give","give","dám","dát","pf"," "" If you help me to carry these jugs home, I 'll give you a slice of bread. """," "" Když mi pomůžeš odnést jeden džbán domů, dám ti pořádný kus chleba. """
"dive","dive","skočit","skočit","pf"," The two fugitives were just about to dive into the sea when the Shark sneezed very suddenly and, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they found themselves thrown on their backs and dashed once more and very unceremoniously into the stomach of the monster."," A užuž se chystali skočit do moře, ale právě v nejlepším žralok kýchl a při tom kýchnutí sebou tak divoce škubl, že to Pinocchia s Geppettem srazilo zpátky, a znovu spadli obludě až na dno žaludku."
"asked","ask","zeptal","zeptat","pf"," "" And now? "" asked Pinocchio with a serious face."," "" A co teď? "" zeptal se Pinocchio a zvážněl."
"lost","lose","ztraceni","ztratit","pf"," "" Now we are lost. """," "" Teď, chlapče můj, jsme nadobro ztraceni. """
"lost","lose","ztraceni","ztratit","pf"," "" Why lost?"," "" Proč ztraceni?"
"touched","touch","zasáhla","zasáhnout","pf"," These words touched Pinocchio 's heart."," Ta slova Pinocchia hluboce zasáhla."
"lifted","lift","zvedl","zvednout","pf"," He lifted his eyes to his Fairy and said seriously :"," Rázně zvedl hlavu a řekl víle :"
"said","say","řekl","říci","pf"," He lifted his eyes to his Fairy and said seriously :"," Rázně zvedl hlavu a řekl víle :"
"started","start","začal","začít","pf"," As soon as the Marionette felt his new feet, he gave one leap from the table and started to skip and jump around, as if he had lost his head from very joy."," Sotva si panáček všiml, že má nohy, seskočil ze stolu, na kterém ležel, a začal skotačit a dovádět, jako by se z té velké radosti úplně pominul."
"Come","come","Pojď","jít","impf"," "" Come, Medoro, "" said the Fairy to him."," "" Pojď sem, Medore! "" přikázala víla pudlíkovi."
"set","set","dej","dát","pf"," "" Get my best coach ready and set out toward the forest."," "" Hned dej zapřahat můj nejkrásnější kočár a vydej se do lesa."
"reaching","reach","přijedeš","přijet","pf"," On reaching the oak tree, you will find a poor, half-dead Marionette stretched out on the grass."," Až přijedeš pod Velký dub, najdeš na zemi ubohého polomrtvého panáčka."
"find","find","najdeš","najít","pf"," On reaching the oak tree, you will find a poor, half-dead Marionette stretched out on the grass."," Až přijedeš pod Velký dub, najdeš na zemi ubohého polomrtvého panáčka."
"Lift","lift","zvedni","zvednout","pf"," Lift him up tenderly, place him on the silken cushions of the coach, and bring him here to me. """," Opatrně ho zvedni, ulož ho pohodlně na polštáře a přivez mi ho sem."
"place","place","ulož","uložit","pf"," Lift him up tenderly, place him on the silken cushions of the coach, and bring him here to me. """," Opatrně ho zvedni, ulož ho pohodlně na polštáře a přivez mi ho sem."
"bring","bring","přivez","přivézt","pf"," Lift him up tenderly, place him on the silken cushions of the coach, and bring him here to me. """," Opatrně ho zvedni, ulož ho pohodlně na polštáře a přivez mi ho sem."
"show","show","ukázal","ukázat","pf"," The Poodle, to show that he understood, wagged his silk-covered tail two or three times and set off at a quick pace."," Aby pudlík ukázal, že rozuměl, zavrtěl třikrát nebo čtyřikrát atlasovým pouzdrem, které měl vzadu, a vyrazil jako o závod."
"understood","understand","rozuměl","rozumět","impf"," The Poodle, to show that he understood, wagged his silk-covered tail two or three times and set off at a quick pace."," Aby pudlík ukázal, že rozuměl, zavrtěl třikrát nebo čtyřikrát atlasovým pouzdrem, které měl vzadu, a vyrazil jako o závod."
"playing","play","bavit","bavit","impf"," "" That of eating, drinking, sleeping, playing, and wandering around from morning till night. """," "" Jíst, pít, spát, bavit se a od rána do večera se jen povalovat. """
"tell","tell","řekl","říci","pf"," "" Let me tell you, for your own good, Pinocchio, "" said the Talking Cricket in his calm voice, "" that those who follow that trade always end up in the hospital or in prison. """," "" Tak abys věděl, "" řekl mluvící cvrček se svým obvyklým klidem, "" všichni, kdo tohle řemeslo dělají, skoro vždy skončí v nemocnici nebo ve vězení. """
"said","say","řekl","říci","pf"," "" Let me tell you, for your own good, Pinocchio, "" said the Talking Cricket in his calm voice, "" that those who follow that trade always end up in the hospital or in prison. """," "" Tak abys věděl, "" řekl mluvící cvrček se svým obvyklým klidem, "" všichni, kdo tohle řemeslo dělají, skoro vždy skončí v nemocnici nebo ve vězení. """
"end","end","skončí","skončit","pf"," "" Let me tell you, for your own good, Pinocchio, "" said the Talking Cricket in his calm voice, "" that those who follow that trade always end up in the hospital or in prison. """," "" Tak abys věděl, "" řekl mluvící cvrček se svým obvyklým klidem, "" všichni, kdo tohle řemeslo dělají, skoro vždy skončí v nemocnici nebo ve vězení. """
"wiped","wipe","utřel","utřít","pf"," And he wiped away a tear."," A utřel si slzu."
"stepped","step","Šel","jít","impf"," "" I stepped into this lonely field to take a few grapes and - """," "" Šel jsem na pole, abych si natrhal pár hroznů tohohle muškátového vína, a ... """
