"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"seek","seek","hledají","hledat","impf"," American women are far less lucky in that respect and point disgustedly at new relationships in which, they allege, ' patriarchal American men seek submissive partners ""."," Američanky zdaleka takové štěstí nemají a s odporem poukazují na nové svazky, ve kterých údajně "" patriarchální Američané hledají své submisivní protějšky ""."
"seeking","seek","nehledají","hledat","impf"," The angst-ridden feminism of American women has already succeeded in, frightening away tens of thousands of men, and the runaway Americans are by no means seeking partners in Europe alone."," Úzkostný feminismus amerických žen již dokázal odradit desetitisíce mužů a zběhlí Američané nehledají partnerky zdaleka jen v Evropě."
"suggested","suggest","navrhl","navrhnout","pf"," A year ago, just a couple of days after All Souls ' Day, Jaroslav Koran suggested I write a story for Playboy."," Před rokem mi pár dní po Dušičkách navrhl Jaroslav Kořán, abych mu napsal povídku pro Playboy."
"write","write","napsal","napsat","pf"," A year ago, just a couple of days after All Souls ' Day, Jaroslav Koran suggested I write a story for Playboy."," Před rokem mi pár dní po Dušičkách navrhl Jaroslav Kořán, abych mu napsal povídku pro Playboy."
"revealed","reveal","odhaloval","odhalovat","impf"," Muddy toes in leather sandals, a long hand-sewn skirt with bits of thread sticking out all round, and an enormous black T-shirt whose sagging neckline revealed over and over again her small naked breasts."," Zablácené prsty v kožených sandálech, vlastnoručně šitá dlouhá sukně, z níž po celém jejím obvodu visely nitě, a obrovské černé tílko, jehož vytahaný výstřih znova a znova odhaloval malá nahá ňadra."
"requested","request","žádal","žádat","impf"," The English words on the T-shirt requested us - if l translated the nonsense correctly - "" not to send girls ' souls coloured postcards from trips to moors ""."," Anglický nápis na tílku nás žádal - pokud jsem si to přeložil správně - abychom neposílali dívčím duším barevné pohlednice z výletu na vřesoviště."
"translated","translate","přeložil","přeložit","pf"," The English words on the T-shirt requested us - if l translated the nonsense correctly - "" not to send girls ' souls coloured postcards from trips to moors ""."," Anglický nápis na tílku nás žádal - pokud jsem si to přeložil správně - abychom neposílali dívčím duším barevné pohlednice z výletu na vřesoviště."
"send","send","neposílali","posílat","impf"," The English words on the T-shirt requested us - if l translated the nonsense correctly - "" not to send girls ' souls coloured postcards from trips to moors ""."," Anglický nápis na tílku nás žádal - pokud jsem si to přeložil správně - abychom neposílali dívčím duším barevné pohlednice z výletu na vřesoviště."
"sees","see","nevidí","vidět","impf"," A blind man sees nothing."," Slepý nevidí nic."
"fight","fight","bojovat","bojovat","impf"," "" It is necessary to fight people like you, "" she told me with unconcealed antipathy."," "" Proti lidem, jako jste vy, je nutný bojovat, "" řekla mi s neskrývanou antipatií."
"told","tell","řekla","říci","pf"," "" It is necessary to fight people like you, "" she told me with unconcealed antipathy."," "" Proti lidem, jako jste vy, je nutný bojovat, "" řekla mi s neskrývanou antipatií."
"asked","ask","tázal","tázat","impf"," "" But how? "" Oskar asked fervently."," "" Jenomže jak? "" tázal se Oskar zapáleně."
"lost","lose","ztracen","ztratit","pf"," He was lost."," Byl ztracen."
"got","get","Pochopil","pochopit","pf"," I realised it before we got to Pisek, where she mutely passed him her telephone number with a bewitching look."," Pochopil jsem to dřív, než mu v Písku s uhrančivým pohledem mlčky věnovala své telefonní číslo."
"stopped","stop","přestal","přestat","pf"," Oskar stopped visiting me and avoided me at work."," Oskar mě přestal navštěvovat a v podniku se mi vyhýbal."
"visiting","visit","navštěvovat","navštěvovat","impf"," Oskar stopped visiting me and avoided me at work."," Oskar mě přestal navštěvovat a v podniku se mi vyhýbal."
"avoided","avoid","vyhýbal","vyhýbat","impf"," Oskar stopped visiting me and avoided me at work."," Oskar mě přestal navštěvovat a v podniku se mi vyhýbal."
"started","start","začala","začít","pf"," Agata giggled, lost her breath and started to choke - red in the face and with horribly goggling eyes she came and fell at my feet with eloquent gestures;"," Agáta se zahihňala, zakuckala a začala se dusit - zrudla, vypoulila strašlivě oči a svezla se mi k nohám s výmluvnými posunky;"
"choke","choke","dusit","dusit","impf"," Agata giggled, lost her breath and started to choke - red in the face and with horribly goggling eyes she came and fell at my feet with eloquent gestures;"," Agáta se zahihňala, zakuckala a začala se dusit - zrudla, vypoulila strašlivě oči a svezla se mi k nohám s výmluvnými posunky;"
"stand","stand","nemám","mít","impf"," "" That 's more than I can stand, "" said Mrs Kralova."," "" Na tohle já nemám nervy, "" řekla paní Králová."
"said","say","řekla","říci","pf"," "" That 's more than I can stand, "" said Mrs Kralova."," "" Na tohle já nemám nervy, "" řekla paní Králová."
"whirling","whirl","kroužili","kroužit","impf"," Trakarova and Kilian were whirling round the dance floor."," Na parketu kroužili Trakařová s Kiliánem."
"whispered","whisper","zašeptala","zašeptat","pf"," "" Ah, Baloo, "" whispered Beata."," "" Ach, Bálú, "" zašeptala Beáta."
"Teach","teach","Nauč","naučit","pf"," "" Teach me the Master Words for this people. """," "" Nauč mě klíčová slova pro tento lid. """
"gave","give","Dal","dát","pf"," Although I gave Beata my telephone number at the publishing house, she did n't call even once during the first month."," Dal jsem Beátě sice telefonní číslo do redakce, ale během prvního měsíce ani jednou nezavolala."
"call","call","nezavolala","zavolat","pf"," Although I gave Beata my telephone number at the publishing house, she did n't call even once during the first month."," Dal jsem Beátě sice telefonní číslo do redakce, ale během prvního měsíce ani jednou nezavolala."
"helps","help","pomůže","pomoci","pf"," Though assured by the Christian experts that a personal friendship with God helps to overcome deep depression, Beata had failed to overcome hers."," Přes ujištění křesťanských odborníků, že osobní přátelství s Bohem pomůže přemoci těžkou depresi, Beáta svou depresi nepřemohla."
"overcome","overcome","přemoci","přemoci","pf"," Though assured by the Christian experts that a personal friendship with God helps to overcome deep depression, Beata had failed to overcome hers."," Přes ujištění křesťanských odborníků, že osobní přátelství s Bohem pomůže přemoci těžkou depresi, Beáta svou depresi nepřemohla."
"overcome","overcome","přemoci","přemoci","pf"," Though assured by the Christian experts that a personal friendship with God helps to overcome deep depression, Beata had failed to overcome hers."," Přes ujištění křesťanských odborníků, že osobní přátelství s Bohem pomůže přemoci těžkou depresi, Beáta svou depresi nepřemohla."
"overcome","overcome","nepřemohla","přemoci","pf"," Though assured by the Christian experts that a personal friendship with God helps to overcome deep depression, Beata had failed to overcome hers."," Přes ujištění křesťanských odborníků, že osobní přátelství s Bohem pomůže přemoci těžkou depresi, Beáta svou depresi nepřemohla."
"overcome","overcome","nepřemohla","přemoci","pf"," Though assured by the Christian experts that a personal friendship with God helps to overcome deep depression, Beata had failed to overcome hers."," Přes ujištění křesťanských odborníků, že osobní přátelství s Bohem pomůže přemoci těžkou depresi, Beáta svou depresi nepřemohla."
"read","read","četla","číst","impf"," Even though she was aware - if she had indeed read the manual - that suicide is no solution, she had gone ahead anyway."," Věděla sice - pokud příručku opravdu četla - že sebevražda není řešení, ale přesto to udělala."
"got","get","pochopit","pochopit","pf"," A moment later Agata got up, bored, and walked away, but Beata anxiously scrutinised my face - perhaps in search of the slightest hint of irony, but her effort was pointless as I would have been the last not to have appreciated the joy and relief that a sudden change from the spiritual to the rational could bring, or - in her father 's case - the change from the thin ice of metallic psychedelia to the firm ground of building inspection."," Agáta se po chvíli znuděně zvedla a odkráčela, ale Beáta bedlivě zkoumala můj obličej - pokud v něm snad pátrala po stopách nějaké ironie, byla to námaha zbytečná, neboť jsem byl ten poslední, kdo by nedokázal pochopit, jak radostný a úlevný může být náhlý přechod z duchovna do racionality, respektive - v případě jejího otce - z tenkého ledu metalické psychedelie na pevnou půdu stavebního dozoru."
