"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"see","see","neviděl","vidět","impf"," For several weeks I did n't see him or hear his voice on the phone - mostly I was in New York, trotting around with Jordan and trying to ingratiate myself with her senile aunt - but finally I went over to his house one Sunday afternoon."," Několik týdnů jsem ho neviděl, ani jsem neslyšel v telefonu jeho hlas - většinou jsem byl v New Yorku, bloumal jsem s Jordan a snažil jsem se vlichotit do přízně její stařecké tetě -, ale jednou v neděli odpoledne jsem k němu konečně zašel."
"hear","hear","neslyšel","slyšet","impf"," For several weeks I did n't see him or hear his voice on the phone - mostly I was in New York, trotting around with Jordan and trying to ingratiate myself with her senile aunt - but finally I went over to his house one Sunday afternoon."," Několik týdnů jsem ho neviděl, ani jsem neslyšel v telefonu jeho hlas - většinou jsem byl v New Yorku, bloumal jsem s Jordan a snažil jsem se vlichotit do přízně její stařecké tetě -, ale jednou v neděli odpoledne jsem k němu konečně zašel."
"trying","try","snažil","snažit","impf"," For several weeks I did n't see him or hear his voice on the phone - mostly I was in New York, trotting around with Jordan and trying to ingratiate myself with her senile aunt - but finally I went over to his house one Sunday afternoon."," Několik týdnů jsem ho neviděl, ani jsem neslyšel v telefonu jeho hlas - většinou jsem byl v New Yorku, bloumal jsem s Jordan a snažil jsem se vlichotit do přízně její stařecké tetě -, ale jednou v neděli odpoledne jsem k němu konečně zašel."
"brought","bring","přivedl","přivést","pf"," I had n't been there two minutes when somebody brought Tom Buchanan in for a drink."," Nebyl jsem tam ani dvě minuty, když někdo přivedl Toma Buchanana na skleničku."
"startled","startle","vyděsilo","vyděsit","pf"," I was startled, naturally, but the really surprising thing was that it had n't happened before."," To mě pochopitelně vyděsilo, ale překvapující vlastně bylo, že se to nestalo už dřív."
"tried","try","snažil","snažit","impf"," After the armistice he tried frantically to get home, but some complication or misunderstanding sent him to Oxford instead."," Po příměří se šíleně snažil dostat domů, ale jakymisi komplikacemi nebo nedorozuměním byl místo toho poslán do Oxfordu."
"get","get","dostat","dostat","pf"," After the armistice he tried frantically to get home, but some complication or misunderstanding sent him to Oxford instead."," Po příměří se šíleně snažil dostat domů, ale jakymisi komplikacemi nebo nedorozuměním byl místo toho poslán do Oxfordu."
"get","get","poslán","poslat","pf"," After the armistice he tried frantically to get home, but some complication or misunderstanding sent him to Oxford instead."," Po příměří se šíleně snažil dostat domů, ale jakymisi komplikacemi nebo nedorozuměním byl místo toho poslán do Oxfordu."
"sent","send","poslán","poslat","pf"," After the armistice he tried frantically to get home, but some complication or misunderstanding sent him to Oxford instead."," Po příměří se šíleně snažil dostat domů, ale jakymisi komplikacemi nebo nedorozuměním byl místo toho poslán do Oxfordu."
"worried","worry","trápil","trápit","impf"," He was worried now - there was a quality of nervous despair in Daisy 's letters."," A tam se trápil - z Daisyiných dopisů vytušil jakési nervosní zoufalství."
"see","see","Nechápala","chápat","impf"," She did n't see why he could n't come."," Nechápala, proč nemůže přijet."
"come","come","přijet","přijet","pf"," She did n't see why he could n't come."," Nechápala, proč nemůže přijet."
"feeling","feel","Pociťovala","pociťovat","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"feel","feel","Pociťovala","pociťovat","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"wanted","want","chtěla","chtít","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"see","see","vidět","vidět","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"feeling","feel","cítit","cítit","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"feel","feel","cítit","cítit","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"reassured","reassure","ujištěna","ujistit","pf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"doing","do","jedná","jednat","impf"," She was feeling the pressure of the world outside, and she wanted to see him and feel his presence beside her and be reassured that she was doing the right thing after all."," Pociťovala nátlak okolního světa a chtěla ho vidět, cítit ho vedle sebe a být ujištěna, že konec konců jedná správně."
"came","come","přišel","přijít","pf"," When it was almost morning the waiter came up to him with a funny look and says somebody wants to speak to him outside."," Když bylo skoro ráno, přišel k němu číšník s takovým divným výrazem a povídá, že s ním chce venku někdo mluvit."
"says","say","povídá","povídat","impf"," When it was almost morning the waiter came up to him with a funny look and says somebody wants to speak to him outside."," Když bylo skoro ráno, přišel k němu číšník s takovým divným výrazem a povídá, že s ním chce venku někdo mluvit."
"wants","want","chce","chtít","impf"," When it was almost morning the waiter came up to him with a funny look and says somebody wants to speak to him outside."," Když bylo skoro ráno, přišel k němu číšník s takovým divným výrazem a povídá, že s ním chce venku někdo mluvit."
"says","say","mluvit","mluvit","impf"," When it was almost morning the waiter came up to him with a funny look and says somebody wants to speak to him outside."," Když bylo skoro ráno, přišel k němu číšník s takovým divným výrazem a povídá, že s ním chce venku někdo mluvit."
"speak","speak","mluvit","mluvit","impf"," When it was almost morning the waiter came up to him with a funny look and says somebody wants to speak to him outside."," Když bylo skoro ráno, přišel k němu číšník s takovým divným výrazem a povídá, že s ním chce venku někdo mluvit."
"says","say","povídá","povídat","impf"," "" All right, "" says Rosy, and begins to get up, and I pulled him down in his chair."," ' Dobře, ' povídá Rosy a začíná se zvedat a já jsem ho stáhl zpátky na židli."
"begins","begin","začíná","začínat","impf"," "" All right, "" says Rosy, and begins to get up, and I pulled him down in his chair."," ' Dobře, ' povídá Rosy a začíná se zvedat a já jsem ho stáhl zpátky na židli."
"come","come","přijdou","přijít","pf"," ' "" Let the bastards come in here if they want you, Rosy, but do n't you, so help me, move outside this room. """," ' Ať ti zmetkové přijdou sem, když s tebou chtějí mluvit, Rosy, ale opovaž se jít ven z téhle místnosti. '"
"want","want","chtějí","chtít","impf"," ' "" Let the bastards come in here if they want you, Rosy, but do n't you, so help me, move outside this room. """," ' Ať ti zmetkové přijdou sem, když s tebou chtějí mluvit, Rosy, ale opovaž se jít ven z téhle místnosti. '"
"come","come","jít","jít","impf"," ' "" Let the bastards come in here if they want you, Rosy, but do n't you, so help me, move outside this room. """," ' Ať ti zmetkové přijdou sem, když s tebou chtějí mluvit, Rosy, ale opovaž se jít ven z téhle místnosti. '"
"do","do","jít","jít","impf"," ' "" Let the bastards come in here if they want you, Rosy, but do n't you, so help me, move outside this room. """," ' Ať ti zmetkové přijdou sem, když s tebou chtějí mluvit, Rosy, ale opovaž se jít ven z téhle místnosti. '"
"came","come","jezdili","jezdit","impf"," All these people came to Gatsby 's house in the summer."," Všichni ti lidé jezdili onoho léta ke Gatsbymu."
"called","call","navštívil","navštívit","pf"," It was the first time he had called on me, though I had gone to two of his parties, mounted in his hydroplane, and, at his urgent invitation, made frequent use of his beach."," Bylo to poprvé, co mě navštívil, ačkoliv já jsem byl u něho na dvou večírcích, jel jsem v jeho kluzáku a na jeho naléhavé pozvání jsem hojně používal jeho pláže."
"gone","go","jel","jet","impf"," It was the first time he had called on me, though I had gone to two of his parties, mounted in his hydroplane, and, at his urgent invitation, made frequent use of his beach."," Bylo to poprvé, co mě navštívil, ačkoliv já jsem byl u něho na dvou večírcích, jel jsem v jeho kluzáku a na jeho naléhavé pozvání jsem hojně používal jeho pláže."
"glanced","glance","pohlédl","pohlédnout","pf"," Involuntarily I glanced seaward - and distinguished nothing except a single green light, minute and far away, that might have been the end of a dock."," Mimoděk jsem pohlédl k moři - a nerozeznal jsem nic než jediné zelené světlo, nepatrné a velmi vzdálené, které mohlo označovat konec loděnice."
"joins","join","připojí","připojit","pf"," ABOUT halfway between West Egg and New York the motor road hastily joins the railroad and runs beside it for a quarter of a mile, so as to shrink away from a certain desolate area of land."," Asi v půli cesty mezi Západním Vejcem a New Yorkem připojí se silnice náhle k železniční trati a běží podél ní asi čtvrt míle, aby se vyhnula jedné zpustlé oblasti."
