"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"twist","twist","stočit","stočit","pf"," Or she could twist a few degrees and see the labels on Madox."," Anebo se mohla o pár stupňů stočit a vidět všechna ta označení na Madoxovi."
"see","see","vidět","vidět","impf"," Or she could twist a few degrees and see the labels on Madox."," Anebo se mohla o pár stupňů stočit a vidět všechna ta označení na Madoxovi."
"stumbled","stumble","narazila","narazit","pf"," we were the thin edge of a cult she had stumbled onto because of this marriage."," Představovali jsme skrovný začátek kultu, na který náhodou díky manželství narazila."
"meant","mean","neznamenala","znamenat","impf"," The words of her husband in praise of her meant nothing."," Slova jejího manžela, která ji vynášela, nic neznamenala."
"governed","govern","řízen","řídit","impf"," But I am a man whose life in many ways, even as an explorer, has been governed by words."," Já jsem však člověk, jehož život v mnoha směrech, dokonce i jako badatele, byl slovy řízen."
"recognize","recognize","poznat","poznat","pf"," There was nothing to recognize in him."," Nebylo, jak ho poznat."
"collects","collect","sebere","sebrat","pf"," Sometimes she collects several blankets and lies under them, enjoying them more for their weight than for the warmth they bring."," Občas Hana sebere několik přikrývek a leží pod nimi, víc vnímá jejich váhu než teplo, které poskytují."
"lies","lie","leží","ležet","impf"," Sometimes she collects several blankets and lies under them, enjoying them more for their weight than for the warmth they bring."," Občas Hana sebere několik přikrývek a leží pod nimi, víc vnímá jejich váhu než teplo, které poskytují."
"need","need","potřebuju","potřebovat","impf"," I badly need a serious drink. """," Strašně se potřebuju napít. """
"called","call","říká","říkat","impf"," By the way, I think this is called looting. """," Mimochodem se tomu říká drancování. """
"taught","teach","naučila","naučit","pf"," "" My country taught me all this."," "" To všechno mě naučila moje vlast."
"did","do","dělal","dělat","impf"," It 's what I did for them during the war. """," To jsem pro ně za války dělal. """
"sat","sit","posadila","posadit","pf"," Hana sat up, slightly dizzy, off balance."," Hana se posadila, trochu se jí točila hlava, motala se."
"wait","wait","čekat","čekat","impf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"wait","wait","čekat","čekat","impf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"wait","wait","čekat","čekat","impf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"wait","wait","čekat","čekat","impf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"see","see","uvidím","uvidět","pf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"coming","come","přijíždí","přijíždět","impf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"rescue","rescue","zachránit","zachránit","pf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"betraying","betray","vydali","vydat","pf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"betraying","betray","zradili","zradit","pf"," And wait for you, wait to see the silhouette of you in a canoe coming to rescue me from this place we all entered, betraying you."," A budu na tebe čekat, čekat, až uvidím tvoji siluetu v kanoi, jak mě přijíždí zachránit tady odtud, kam jsme se my vydali a tebe přitom zradili."
"taught","teach","naučili","naučit","pf"," They had taught him by now to raise his arms and drag strength into his body from the universe, the way the desert pulled down planes."," Už ho naučili, jak pozvednout paže a čerpat do svého těla sílu z vesmíru, tak jako poušť strhává dolů letadla."
"raise","raise","pozvednout","pozvednout","pf"," They had taught him by now to raise his arms and drag strength into his body from the universe, the way the desert pulled down planes."," Už ho naučili, jak pozvednout paže a čerpat do svého těla sílu z vesmíru, tak jako poušť strhává dolů letadla."
"carried","carry","Nesli","nést","impf"," He was carried in a palanquin of felt and branch."," Nesli ho na krytých nosítkách z plsti a větví."
"saw","see","viděl","vidět","impf"," He saw the moving veins of flamingos across his sight in the half-darkness of the covered sun."," V polotmě zakrytého slunce viděl, kam až dohlédl, pohybující se pásy plameňáků."
"worked","work","Pracoval","pracovat","impf"," I worked in the Department of Egyptology on my own book, Recentes Explorations dans le Desert Libyque, as the days progressed, coming closer and closer to the text as if the desert were there somewhere on the page, so I could even smell the ink as it emerged from the fountain pen."," Pracoval jsem v Egyptologickém oddělení na své vlastní knize, Récentes Explorations dans le Désert Libyque, a jak dny ubíhaly, byl jsem stále blíž textu, v němž jako by poušť byla někde na stránce, takže jsem dokonce cítil pach inkoustu vycházejícího z plnicího pera."
"smell","smell","cítil","cítit","impf"," I worked in the Department of Egyptology on my own book, Recentes Explorations dans le Desert Libyque, as the days progressed, coming closer and closer to the text as if the desert were there somewhere on the page, so I could even smell the ink as it emerged from the fountain pen."," Pracoval jsem v Egyptologickém oddělení na své vlastní knize, Récentes Explorations dans le Désert Libyque, a jak dny ubíhaly, byl jsem stále blíž textu, v němž jako by poušť byla někde na stránce, takže jsem dokonce cítil pach inkoustu vycházejícího z plnicího pera."
"catch","catch","nezachytí","zachytit","pf"," But she will not even catch his eye."," Ona však ani nezachytí jeho pohled."
"smiles","smile","Směje","smát","impf"," She smiles to everyone, to the objects in the room, praises a flower arrangement, worthless impersonal things."," Směje se na každého, na předměty v místnosti, chválí květinovou úpravu, bezcenné neosobní věcičky."
"praises","praise","chválí","chválit","impf"," She smiles to everyone, to the objects in the room, praises a flower arrangement, worthless impersonal things."," Směje se na každého, na předměty v místnosti, chválí květinovou úpravu, bezcenné neosobní věcičky."
"wants","want","chce","chtít","impf"," She misinterprets his behaviour, assuming this is what he wants, and doubles the size of the wall to protect herself."," Špatně si jeho chování vykládá, odhaduje, že právě to on chce, a zdvojnásobuje svou ochrannou zeď."
"bear","bear","nesnáší","snášet","impf"," But now he cannot bear this wall in her."," On však tu zeď v ní už nesnáší."
"tells","tell","říká","říkat","impf"," You built your walls too, she tells him, so I have my wall."," Ty sis taky vystavěl svoje zdi, říká mu ona, tak já mám svou."
"say","say","říkám","říkat","impf"," "" Japan is a part of Asia, I say, and the Sikhs have been brutalized by the Japanese in Malaya."," "" Japonsko patří k Asii, říkám, a Japonci v Malajsku sikhy týrali."
"says","say","Říká","říkat","impf"," He says the English are now hanging Sikhs who are fighting for independence. """," Říká, že sikhy, kteří bojují za nezávislost, Angličani teď věší. """
"fighting","fight","bojují","bojovat","impf"," He says the English are now hanging Sikhs who are fighting for independence. """," Říká, že sikhy, kteří bojují za nezávislost, Angličani teď věší. """
"goes","go","Odchází","odcházet","impf"," She walks into the daylight darkness of the villa and goes in to sit with the Englishman."," Odchází do té denní tmy ve vile, jde tam posedět s Angličanem."
"walks","walk","jde","jít","impf"," She walks into the daylight darkness of the villa and goes in to sit with the Englishman."," Odchází do té denní tmy ve vile, jde tam posedět s Angličanem."
