"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"hung","hang","viselo","viset","impf"," The August sun hung high in an August blue and cloudless sky, and behind the hedge a thrush sang, but it seemed to Adam that this was simply making it all much worse."," Srpnové slunce viselo vysoko na sytě modré srpnové obloze a kdesi za plotem zpíval drozd, ale Adamovi se zdálo, že všechny ty věci celou situaci ještě zhoršují."
"sang","sing","zpíval","zpívat","impf"," The August sun hung high in an August blue and cloudless sky, and behind the hedge a thrush sang, but it seemed to Adam that this was simply making it all much worse."," Srpnové slunce viselo vysoko na sytě modré srpnové obloze a kdesi za plotem zpíval drozd, ale Adamovi se zdálo, že všechny ty věci celou situaci ještě zhoršují."
"seemed","seem","zdálo","zdát","impf"," The August sun hung high in an August blue and cloudless sky, and behind the hedge a thrush sang, but it seemed to Adam that this was simply making it all much worse."," Srpnové slunce viselo vysoko na sytě modré srpnové obloze a kdesi za plotem zpíval drozd, ale Adamovi se zdálo, že všechny ty věci celou situaci ještě zhoršují."
"sat","sit","seděl","sedět","impf"," Dog sat at Adam ’ s feet."," Pes seděl Adamovi u nohou."
"tried","try","Pokoušel","pokoušet","impf"," He had tried to help, chiefly by exhuming a bone he had buried four days earlier, and dragging it to Adam ’ s feet, but all Adam had done was stare at it gloomily, and eventually Dog had taken it away and inhumed it once more."," Pokoušel se pomoci, hlavně tím, že exhumoval kost, kterou si v zahradě ukryl před několika dny a přivlekl ji Adamovi k nohám, ale když na ni Adam jen zachmuřeně zíral, Pes ji nakonec zase odvlekl a znovu inhumoval."
"help","help","pomoci","pomoci","pf"," He had tried to help, chiefly by exhuming a bone he had buried four days earlier, and dragging it to Adam ’ s feet, but all Adam had done was stare at it gloomily, and eventually Dog had taken it away and inhumed it once more."," Pokoušel se pomoci, hlavně tím, že exhumoval kost, kterou si v zahradě ukryl před několika dny a přivlekl ji Adamovi k nohám, ale když na ni Adam jen zachmuřeně zíral, Pes ji nakonec zase odvlekl a znovu inhumoval."
"buried","bury","ukryl","ukrýt","pf"," He had tried to help, chiefly by exhuming a bone he had buried four days earlier, and dragging it to Adam ’ s feet, but all Adam had done was stare at it gloomily, and eventually Dog had taken it away and inhumed it once more."," Pokoušel se pomoci, hlavně tím, že exhumoval kost, kterou si v zahradě ukryl před několika dny a přivlekl ji Adamovi k nohám, ale když na ni Adam jen zachmuřeně zíral, Pes ji nakonec zase odvlekl a znovu inhumoval."
"imagining","imagine","představoval","představovat","impf"," For the last thirty miles he had been imagining that a ton of burning metal, rubber, and leather was a fully-functioning automobile, and the Bentley had been resisting him fiercely."," Posledních padesát kilometrů si velmi živě představoval, že ta tuna hořícího kovu, gumy a kůže je plně funkční automobil, a bentley jeho představám zuřivě vzdoroval."
"resisting","resist","vzdoroval","vzdorovat","impf"," For the last thirty miles he had been imagining that a ton of burning metal, rubber, and leather was a fully-functioning automobile, and the Bentley had been resisting him fiercely."," Posledních padesát kilometrů si velmi živě představoval, že ta tuna hořícího kovu, gumy a kůže je plně funkční automobil, a bentley jeho představám zuřivě vzdoroval."
"keep","keep","udržovat","udržovat","impf"," The hard part had been to keep the whole thing rolling after the all-weather radials had burned away."," Nejtěžší na tom všem bylo udržovat tu věc ve slušné rychlosti i potom, co odešly univerzální radiálky."
"dropped","drop","přestal","přestat","pf"," Beside him the remains of the Bentley dropped suddenly on to its distorted wheel rims as he stopped imagining that it had tyres."," Vrak vedle něj najednou s temným zaduněním dopadl na zem, protože si Crowley přestal představovat, že má pneumatiky."
"stopped","stop","přestal","přestat","pf"," Beside him the remains of the Bentley dropped suddenly on to its distorted wheel rims as he stopped imagining that it had tyres."," Vrak vedle něj najednou s temným zaduněním dopadl na zem, protože si Crowley přestal představovat, že má pneumatiky."
"imagining","imagine","představovat","představovat","impf"," Beside him the remains of the Bentley dropped suddenly on to its distorted wheel rims as he stopped imagining that it had tyres."," Vrak vedle něj najednou s temným zaduněním dopadl na zem, protože si Crowley přestal představovat, že má pneumatiky."
"patted","pat","Pohladil","pohladit","pf"," He patted a metal surface hot enough to fry eggs on."," Pohladil povrch kovu, který byl stále ještě rozpálený tak, že by se na něm dala smažit vajíčka."
"put","put","položena","položit","pf"," However, a question so manifestly dim can only have been put in one country on this benighted planet - most of which, incidentally, I have seen during the last few hours."," Jenže tak dokonale nepřesně formulovaná otázka může být položena jen v jediné zemi na téhle neosvícené planetě - z níž jsem naneštěstí v několika minulých hodinách větší část procestoval."
"want","want","chtěla","chtít","impf"," ‘ Well, I want to speak to Ron Ormerod, ’ said Mrs Ormerod, a little testily."," "" Dobrá, ale já bych chtěla mluvit s Ronem Ormerodem, "" řekla paní Ormerodová opatrně."
"speak","speak","mluvit","mluvit","impf"," ‘ Well, I want to speak to Ron Ormerod, ’ said Mrs Ormerod, a little testily."," "" Dobrá, ale já bych chtěla mluvit s Ronem Ormerodem, "" řekla paní Ormerodová opatrně."
"said","say","mluvit","mluvit","impf"," ‘ Well, I want to speak to Ron Ormerod, ’ said Mrs Ormerod, a little testily."," "" Dobrá, ale já bych chtěla mluvit s Ronem Ormerodem, "" řekla paní Ormerodová opatrně."
"speak","speak","řekla","říci","pf"," ‘ Well, I want to speak to Ron Ormerod, ’ said Mrs Ormerod, a little testily."," "" Dobrá, ale já bych chtěla mluvit s Ronem Ormerodem, "" řekla paní Ormerodová opatrně."
"said","say","řekla","říci","pf"," ‘ Well, I want to speak to Ron Ormerod, ’ said Mrs Ormerod, a little testily."," "" Dobrá, ale já bych chtěla mluvit s Ronem Ormerodem, "" řekla paní Ormerodová opatrně."
"tried","try","snažil","snažit","impf"," Newt always tried to see the best in everyone, but it had occurred to him shortly after joining the WA that his superior and only fellow soldier was as well balanced as an upturned pyramid."," Newton se vždycky snažil vidět v každém to nejlepší, ale už nedlouho potom, co vstoupil do ALČ ( Armáda lovců čarodějnic ), došel k názoru, že jeho nadřízený je osobnost vyvážená asi jako pyramida postavená na špičku."
"see","see","vidět","vidět","impf"," Newt always tried to see the best in everyone, but it had occurred to him shortly after joining the WA that his superior and only fellow soldier was as well balanced as an upturned pyramid."," Newton se vždycky snažil vidět v každém to nejlepší, ale už nedlouho potom, co vstoupil do ALČ ( Armáda lovců čarodějnic ), došel k názoru, že jeho nadřízený je osobnost vyvážená asi jako pyramida postavená na špičku."
"joining","join","vstoupil","vstoupit","pf"," Newt always tried to see the best in everyone, but it had occurred to him shortly after joining the WA that his superior and only fellow soldier was as well balanced as an upturned pyramid."," Newton se vždycky snažil vidět v každém to nejlepší, ale už nedlouho potom, co vstoupil do ALČ ( Armáda lovců čarodějnic ), došel k názoru, že jeho nadřízený je osobnost vyvážená asi jako pyramida postavená na špičku."
"occurred","occur","došel","dojít","pf"," Newt always tried to see the best in everyone, but it had occurred to him shortly after joining the WA that his superior and only fellow soldier was as well balanced as an upturned pyramid."," Newton se vždycky snažil vidět v každém to nejlepší, ale už nedlouho potom, co vstoupil do ALČ ( Armáda lovců čarodějnic ), došel k názoru, že jeho nadřízený je osobnost vyvážená asi jako pyramida postavená na špičku."
"see","see","podívejte","podívat","pf"," ‘ Er, ’ said Crowley, ‘ well, you see, what happened was- ’"," "" Ehm, "" odkašlal si Crowley, "" no, podívejte, stalo se to prostě tak, že - """
"appreciate","appreciate","ocenit","ocenit","pf"," ‘ Now then, Adam Young, ’ said the Metatron, ‘ while we can of course appreciate your assistance at this point, we must add that Armageddon should take place now."," "" Tak a teď, Adame Youngu, "" promluvil Metatron, "" i když v této chvíli musíme ocenit tvou pomoc, musíme současně dodat, že Armageddon by měl začít teď."
"add","add","dodat","dodat","pf"," ‘ Now then, Adam Young, ’ said the Metatron, ‘ while we can of course appreciate your assistance at this point, we must add that Armageddon should take place now."," "" Tak a teď, Adame Youngu, "" promluvil Metatron, "" i když v této chvíli musíme ocenit tvou pomoc, musíme současně dodat, že Armageddon by měl začít teď."
"need","need","Musím","muset","impf"," Do I need to tell you what ’ s in it?"," Musím ti snad říkat, co v něm je?"
"tell","tell","říkat","říkat","impf"," Do I need to tell you what ’ s in it?"," Musím ti snad říkat, co v něm je?"
"pointed","point","ukázal","ukázat","pf"," It can turn you into that, he pointed to the mess on the carpet."," Promění tě to v něco takového, "" pokračoval a ukázal na odpuzující hromádku na koberci."
"hoped","hope","doufal","doufat","impf"," ‘ Maybe I am, ’ said Crowley, in a tone of voice which he hoped made it quite clear that bluffing was the last thing on his mind."," "" Možná ano, "" přikývl Crowley a doufal, že jeho tón dostatečně jasně naznačuje, že blufovat by ho ani ve snu nenapadlo."
"found","find","najít","najít","pf"," Where you found the real McCoy, the real grace and the real heart-stopping evil, was right inside the human mind."," To pravé místo, kde jste mohli najít skutečnou vznešenost, stejné jako ochromující Zlo, to místo bylo uvnitř lidského mozku."
"messed","mess","splést","splést","pf"," ‘ I don ’ t see how they could have messed it up, ’ said Crowley."," "" Nedokážu si představit, jak by to mohli nějak splést, "" vrtěl hlavou Crowley."
"contains","contain","máme","mít","impf"," But, to look on the bright side, all this only went to prove that evil contains the seeds of its own destruction."," Avšak máme - li se na to podívat z té lepší stránky, dokazovalo to, že zlo v sobě vždycky nese zárodek svého vlastního zániku."
