"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"chuckle","chuckle","usmívati","usmívat","impf"," At last there were only three eggs left, and Rikki-tikki began to chuckle to himself, when he heard Darzee 's wife screaming :"," Konečně zbývala již jen tři vejce a Riki - Tiki počal se radostně usmívati, když zaslechl Darzyho samičku ječící :"
"heard","hear","zaslechl","zaslechnout","pf"," At last there were only three eggs left, and Rikki-tikki began to chuckle to himself, when he heard Darzee 's wife screaming :"," Konečně zbývala již jen tři vejce a Riki - Tiki počal se radostně usmívati, když zaslechl Darzyho samičku ječící :"
"gone","go","šla","jít","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"come","come","šla","jít","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"gone","go","pojď","jít","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"come","come","pojď","jít","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"means","mean","chce","chtít","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"killing","kill","vraždit","vraždit","impf"," "" Rikki-tikki, I led Nagaina toward the house, and she has gone into the veranda, and - oh, come quickly - she means killing! """," "" Riki - Tiki, dovedla jsem Nagainu k domu, a ona šla na verandu - a - oh, pojď rychle, chce tam vraždit! """
"went","go","pokračovali","pokračovat","impf"," They went on chewing."," A pokračovali v přežvykování."
"hope","hope","Doufám","doufat","impf"," I hope you like it, young ' un. """," Doufám, že z toho máš radost, drahoušku, ne? """
"heard","hear","slyšel","slyšet","impf"," The young mule 's teeth snapped, and I heard him say something about not being afraid of any beefy old bullock in the world;"," Mezkovy zuby cvakly a slyšel jsem jej mumlati cosi, že se nebojí žádného starého hovězího vola na světě;"
"said","say","řekl","říci","pf"," That 's the worst kind of cowardice, "" said the troophorse."," To je nejhorší způsob zbabělosti, "" řekl jízdecký kůň."
"walking","walk","procházeli","procházet","impf"," They were standing head to head, or walking to and fro across the ground in couples, or rocking and swaying all by themselves - scores and scores of elephants."," Stáli hlavami k sobě anebo se procházeli v párech sem a tam po mýtině, anebo se kolébali a natřásali osaměle - tucty a tucty slonů."
"lay","lie","ležeti","ležet","impf"," Toomai knew that so long as he lay still on Kala Nag 's neck nothing would happen to him;"," Tumé věděl, že pokud bude ležeti tiše na krku Kala Nagově, nic se mu nestane;"
"thinking","think","nemyslili","myslit","impf"," and these elephants were not thinking of men that night."," a tito sloni za dnešní noci dokonce nemyslili na lidi."
"aching","ache","Bolí","bolet","impf"," My bones are aching for the land. """," Bolí mne kosti touhou po zemi. """
"came","come","přišli","přijít","pf"," And so they all came to the beaches where they had been born and heard the old seals, their fathers, fighting in the rolling mist."," A tak přišli všichni ke břehům, kde se zrodili a slyšeli staré lachtany, své otce, bojující ve válejících se mlhách."
"born","bear","zrodili","zrodit","pf"," And so they all came to the beaches where they had been born and heard the old seals, their fathers, fighting in the rolling mist."," A tak přišli všichni ke břehům, kde se zrodili a slyšeli staré lachtany, své otce, bojující ve válejících se mlhách."
"heard","hear","slyšeli","slyšet","impf"," And so they all came to the beaches where they had been born and heard the old seals, their fathers, fighting in the rolling mist."," A tak přišli všichni ke břehům, kde se zrodili a slyšeli staré lachtany, své otce, bojující ve válejících se mlhách."
"danced","dance","tančil","tančit","impf"," That night Kotick danced the Fire-dance with the yearling seals."," Té noci tančil Kotík ohnivý tanec s ročními lachtánky."
"jumps","jump","vyskočí","vyskočit","pf"," The sea is full of fire on summer nights all the way down from Novastoshnah to Lukannon, and each seal leaves a wake like burning oil behind him, and a flaming flash when he jumps, and the waves break in great phosphorescent streaks and swirls."," Moře je v letních nocích plno ohně na celé rozloze od Novastošny k Lukannonu, a každý lachtan zanechává za sebou pruh jako by hořícího oleje a vyskočí - li, zatryskne plamen a vlny se tříští v dlouhých fosforujících čarách a kruzích."
"said","say","řekl","říci","pf"," "" But it is not here, "" said the camel and the bullocks."," "" Ale vždyť tu žádná není, "" řekl velbloud spolu s oběma voly."
"said","say","řekl","říci","pf"," "" It 's vile stuff, "" said Billy."," "" Je to nepěkná věc, "" řekl Billy."
"followed","follow","sledoval","sledovat","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","sledoval","sledovat","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","sledoval","sledovat","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"said","say","řekl","říci","pf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"heard","hear","neslyšel","slyšet","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","viděl","vidět","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","viděl","vidět","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","vidělo","vidět","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"seen","see","vidělo","vidět","impf"," "" Forty years and five, "" said Machua Appa, "" have I followed my lord, the elephant, but never have I heard that any child of man had seen what this child has seen."," "" Čtyřicet let a pět sledoval jsem svého pána, slona, "" řekl Machua Appa, "" ale nikdy jsem neslyšel, aby lidský syn viděl, co vidělo toto dítě."
"say","say","říci","říci","pf"," By all the Gods of the Hills, it is - what can we say? "" and he shook his head."," U všech bohů hor, to je - co máme říci? "" a potřásal hlavou."
"got","get","přišli","přijít","pf"," When they got back to camp it was time for the evening meal."," Když přišli zpět do tábora, byl čas k večeři."
"heard","hear","slyšel","slyšet","impf"," At the bottom of the smooth plaster wall there was a brick pulled out to make a sluice for the bath-water, and as Rikki-tikki stole in by the masonry curb where the bath is put, he heard Nag and Nagaina whispering together outside in the moonlight."," U spodu hladké sádrové stěny byla vyňata cihla, aby byl zjednán odtok vodě z koupelny, a jak se Riki - Tiki plížil podél cihlové podezdívky, kde je zasazena vana, slyšel, jak si Nag s Nagainou šeptají venku v měsíčním světle."
"whispering","whisper","šeptají","šeptat","impf"," At the bottom of the smooth plaster wall there was a brick pulled out to make a sluice for the bath-water, and as Rikki-tikki stole in by the masonry curb where the bath is put, he heard Nag and Nagaina whispering together outside in the moonlight."," U spodu hladké sádrové stěny byla vyňata cihla, aby byl zjednán odtok vodě z koupelny, a jak se Riki - Tiki plížil podél cihlové podezdívky, kde je zasazena vana, slyšel, jak si Nag s Nagainou šeptají venku v měsíčním světle."
"said","say","pravila","pravit","pf"," "" When the house is emptied of people, "" said Nagaina to her husband, "" he will have to go away, and then the garden will be our own again."," "" Nebude - li v domě lidí, "" pravila Nagaina k svému manželu, "" odejde také on, a pak bude zahrada opět naše."
"go","go","odejde","odejít","pf"," "" When the house is emptied of people, "" said Nagaina to her husband, "" he will have to go away, and then the garden will be our own again."," "" Nebude - li v domě lidí, "" pravila Nagaina k svému manželu, "" odejde také on, a pak bude zahrada opět naše."
