"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"trust","trust","důvěřoval","důvěřovat","impf"," "" Myself I 'd trust him to the end of the Earth, "" said Ford."," "" Já osobně bych mu důvěřoval až do konce světa, "" uklidňoval ho Ford."
"said","say","Říkali","říkat","impf"," "" I thought you said you could just read his brain electronically, "" protested Ford."," "" Říkali jste přece, že dokážete v jeho mozku číst elektronicky, "" protestoval Ford."
"read","read","číst","číst","impf"," "" I thought you said you could just read his brain electronically, "" protested Ford."," "" Říkali jste přece, že dokážete v jeho mozku číst elektronicky, "" protestoval Ford."
"protested","protest","protestoval","protestovat","impf"," "" I thought you said you could just read his brain electronically, "" protested Ford."," "" Říkali jste přece, že dokážete v jeho mozku číst elektronicky, "" protestoval Ford."
"Treated","treat","Zpracovat","zpracovat","pf"," "" Treated, "" said Benji."," "" Zpracovat, "" doplnil Béda."
"Thank","thank","děkuju","děkovat","impf"," "" Thank you, "" shouted Arthur, tipping up his chair and backing away from the table in horror."," "" Pěkně děkuju! "" křičel Arthur a zděšeně vyskočil od stolu, až převrhl židli."
"shouted","shout","křičel","křičet","impf"," "" Thank you, "" shouted Arthur, tipping up his chair and backing away from the table in horror."," "" Pěkně děkuju! "" křičel Arthur a zděšeně vyskočil od stolu, až převrhl židli."
"said","say","řekl","říci","pf"," "" Er ... "" said the guard, "" er ... er ... I dunno."," "" Éé ..., "" řekl strážný, "" éé ... éé ... nevim."
"thought","think","myslel","myslet","impf"," Arthur rather thought he had."," Arthur si to skutečně myslel."
"asked","ask","Zeptali","zeptat","pf"," We asked his private brain care specialist Gag Halfrunt ... """," Zeptali jsme se jeho soukromého mozkového specialisty Gaga Halfrunta ... """
"got","get","nedostal","dostat","pf"," He said : "" Vell, Zaphod 's jist zis guy you know? "" but got no further because an electric pencil flew across the cabin and through the radio 's on/ off sensitive airspace."," "" No, fíte, Zafod je prostě takofá pšípad, "" ale dál se nedostal, protože kabinou prolétla elektrická tužka a proťala prostor před rádiem, citlivý na ovládání."
"turned","turn","otočil","otočit","pf"," Zaphod turned and glared at Trillian"," Zafod se otočil a zaškaredil se na Trillian."
"die","die","Neumřít","umřít","pf"," Not die as such?"," Neumřít tak docela?"
"picked","pick","sebral","sebrat","pf"," "" Well, maybe someone else might have picked them up later. """," "" Možná že by je pak někdo sebral. """
"think","think","přemýšlet","přemýšlet","impf"," "" Yeah, so if you 'd taken the trouble to think about the problem a bit longer it would have gone away. """," "" No vidíš, kdyby ses obtěžovala přemýšlet o vteřinu déle, problém by se byl vyřešil sám. """
"let","let","nechal","nechat","pf"," "" You 'd been happy to let them die? """," "" Ty bys je docela rád nechal umřít, viď? """
"die","die","umřít","umřít","pf"," "" You 'd been happy to let them die? """," "" Ty bys je docela rád nechal umřít, viď? """
"Come","come","Jdeme","jít","impf"," "" Come, "" said Zaphod and started back down into the crater."," "" Jdeme, "" řekl Zafod a vykročil do kráteru."
"said","say","řekl","říci","pf"," "" Come, "" said Zaphod and started back down into the crater."," "" Jdeme, "" řekl Zafod a vykročil do kráteru."
"see","see","Vidíme","vidět","impf"," "" We can see it, "" said Trillian."," "" Vidíme, "" řekla příkře Trillian."
"said","say","řekla","říci","pf"," "" We can see it, "" said Trillian."," "" Vidíme, "" řekla příkře Trillian."
"Come","come","Pojďte","jít","impf"," Come on. """," Pojďte. """
"hesitated","hesitate","váhali","váhat","impf"," They all hesitated."," Všichni tři trochu váhali."
"glanced","glance","pohlédl","pohlédnout","pf"," Fook sighed heavily and glanced across to Lunkwill."," Fuk ztěžka povzdechl a pohlédl na Lankvila."
"follow","follow","pochopit","pochopit","pf"," "" Earthman, "" he said, "" it is sometimes hard to follow your mode of speech."," "" Víš, pozemšťane, někdy je dost obtížné pochopit tvůj způsob vyjadřování."
"speak","speak","hovoříš","hovořit","impf"," Remember I have been asleep inside this planet of Magrathea for five million years and know little of these early sixties sit coms of which you speak."," Nezapomínej, že jsem pět miliónů let spal v této planetě, a o těch situačních komediích, o nichž hovoříš, nevím zhola nic."
"call","call","říkáš","říkat","impf"," These creatures you call mice, you see, they are not quite as they appear."," Tvorové, kterým ty říkáš myši, nejsou tak docela tím, čím se jeví."
"use","use","použít","použít","pf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"sail","sail","poplujete","plout","impf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"wet","wet","namočit","namočit","pf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"wrap","wrap","zahalit","zahalit","pf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"see","see","nevidíte","vidět","impf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"see","see","nevidíte","vidět","impf"," use it to sail a mini raft down the slow heavy river Moth; wet it for use in hand-tohand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the Ravenous Bugblatter Beast of Traal ( a mindboggingly stupid animal, it assumes that if you ca n't see it, it ca n't see you - daft as a bush, but very ravenous );"," Můžete ho použít jako plachtu, až poplujete na maličkém voru po proudu drsné řeky Moth, můžete ho namočit pro boj zblízka, nebo si jím zahalit hlavu, abyste necítili jedovaté pachy žravé obludy Blátotlačky z Traalu a nestřetli se s jejím pohledem ( je to nepředstavitelně tupé zvíře, myslí si, že když ji nevidíte, nevidá ani ona vás - blbá jak tágo, ale zato značně žravá )."
"reaches","reach","dosáhne","dosáhnout","pf"," As soon as the ship 's drive reaches Infinite Improbability it passes through every point in the Universe."," Jakmile pohon lodi dosáhne nekonečné nepravděpodobnosti, loď prolétá všemi body vesmíru."
"predicted","predict","předpověděl","předpovědět","pf"," It 's at the exact coordinates you predicted. """," Je přesně na těch souřadnicích, jak jsi předpověděl. """
"heard","hear","zaslechl","zaslechnout","pf"," Zaphod heard a noise and looked up."," Zafod zaslechl šramot, a vzhlédl."
"come","come","Pojď","jít","impf"," "" Hey, come and take a look at this. """," "" Pojď se na něco podívat. """
"went","go","šel","jít","impf"," Ford went and had a look at it."," Ford se tedy šel podívat."
"called","call","Zavolal","zavolat","pf"," He called the others over to look."," Zavolal ostatní, aby se také šli podívat."
"look","look","podívat","podívat","pf"," He called the others over to look."," Zavolal ostatní, aby se také šli podívat."
"shared","share","nesdíleli","sdílet","impf"," They[ ]came, shared his astonishment, but not his curiosity."," Žasli stějně jako Ford, ale jeho zvědavost nesdíleli."
