"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"swallowing","swallow","polykajíc","polykat","impf"," she was still crying, her head hanging down, and swallowing her tears."," Vzlykala stále s tváří sklopenou k zemi, polykajíc slzy."
"leaned","lean","naklonil","naklonit","pf"," He leaned towards her with determination this time."," Rozhodně se k ní naklonil."
"wanted","want","chtěla","chtít","impf"," She drew herself up as though she wanted to dash away."," Vzpřímila se, jako by chtěla vyskočit a utéci."
"kill","kill","zabít","zabít","pf"," Perhaps it would even have me kill her."," Snad i - zabít."
"say","say","říci","říci","pf"," I might say"," Mohl bych si snad říci :"
"take","take","vzít","vzít","pf"," Then I ’ d take her in my arms when it was dark, and carry her out and throw her over the cemetery wall like a coward."," A pak ji vzít do náručí, odnést ji ve tmě a přehodit zbaběle přes hřbitovní zeď."
"stretched","stretch","natáhl","natáhnout","pf"," “ Don ’ t you dare come near! ” he screamed in a jumpy voice and stretched out his hands in front of him."," "" Nepřibližuj se! "" vyvřískl přeskakujícím hlasem a natáhl před sebe ruce."
"struck","strike","udeřilo","udeřit","pf"," Something smooth struck him in the race."," A vtom ho cosi hebkého udeřilo do tváře."
"defend","defend","bránil","bránit","impf"," It laid about his head with dull blows and he put up both arms to defend himself."," Otloukalo mu to tvář dusavými ranami, bránil se jim oběma rukama."
"said","say","řekl","říci","pf"," “ There it is! ” said the voice from the dark room."," "" A tu máš! "" řekl ten ze tmy."
"falling","fall","Padá","padat","impf"," He is falling, falling deeper and deeper and there is no hope it will ever end, no hope it will fade away into the healing emptiness that has no shape or form."," Padá, padá stále hlouběji a bez naděje, že to skončí, že se to rozplyne v hojivé prázdnotě, která nemá tvar."
"falling","fall","Padá","padat","impf"," He is falling, falling deeper and deeper and there is no hope it will ever end, no hope it will fade away into the healing emptiness that has no shape or form."," Padá, padá stále hlouběji a bez naděje, že to skončí, že se to rozplyne v hojivé prázdnotě, která nemá tvar."
"falling","fall","padá","padat","impf"," He is falling, falling deeper and deeper and there is no hope it will ever end, no hope it will fade away into the healing emptiness that has no shape or form."," Padá, padá stále hlouběji a bez naděje, že to skončí, že se to rozplyne v hojivé prázdnotě, která nemá tvar."
"falling","fall","padá","padat","impf"," He is falling, falling deeper and deeper and there is no hope it will ever end, no hope it will fade away into the healing emptiness that has no shape or form."," Padá, padá stále hlouběji a bez naděje, že to skončí, že se to rozplyne v hojivé prázdnotě, která nemá tvar."
"end","end","skončí","skončit","pf"," He is falling, falling deeper and deeper and there is no hope it will ever end, no hope it will fade away into the healing emptiness that has no shape or form."," Padá, padá stále hlouběji a bez naděje, že to skončí, že se to rozplyne v hojivé prázdnotě, která nemá tvar."
"think","think","myslet","myslet","impf"," It hurts to think, it hurts to breathe, it hurts to be alive."," Bolest myslet, bolest dýchat, bolest být."
"breathe","breathe","dýchat","dýchat","impf"," It hurts to think, it hurts to breathe, it hurts to be alive."," Bolest myslet, bolest dýchat, bolest být."
"warming","warm","zahříval","zahřívat","impf"," But you need sense, you know, a man needs to use his own common sense, ” the customer was warming up to his theme."," Ale je třeba rozum, rozum do hrsti, "" zahříval se zákazník vlastními slovy."
"say","say","Řekl","říci","pf"," “ I ’ d say they don ’ t show sufficient gratitude for the protection the Reich offers them. ”"," "" Řekl bych, že nejsou dost vděčni za ochranu, kterou nám poskytuje Říše. """
"offers","offer","poskytuje","poskytovat","impf"," “ I ’ d say they don ’ t show sufficient gratitude for the protection the Reich offers them. ”"," "" Řekl bych, že nejsou dost vděčni za ochranu, kterou nám poskytuje Říše. """
"put","put","Položil","položit","pf"," He put his hand on her shoulder."," Položil jí ruce na ramena."
"shook","shake","Třásl","třást","impf"," He shook her as if trying to wake her up."," Třásl jimi, pokoušeje se ji probudit."
"trying","try","pokoušeje","pokoušet","impf"," He shook her as if trying to wake her up."," Třásl jimi, pokoušeje se ji probudit."
"wake","wake","probudit","probudit","pf"," He shook her as if trying to wake her up."," Třásl jimi, pokoušeje se ji probudit."
"come","come","došel","dojít","pf"," As if after days of fruitless searching he had come to where the horizon ends."," Jako by po dnech zbytečného hledání došel až tam, kde končí obzor."
"ends","end","končí","končit","impf"," As if after days of fruitless searching he had come to where the horizon ends."," Jako by po dnech zbytečného hledání došel až tam, kde končí obzor."
"hear","hear","slyší","slyšet","impf"," But you must live! He can hear a voice say."," Ale ty musíš žít, slyší hlas."
"come","come","přichází","přicházet","impf"," Where does that voice come from?"," Odkud přichází?"
"hear","hear","Slyšíš","slyšet","impf"," Can you hear me?"," Slyšíš?"
"listened","listen","naslouchal","naslouchat","impf"," It roused him from his curious stupor; half opening his eyes, the lids twitching, he listened."," Vytrhl ho z divného omámení, pootevřel oči, mžikaje víčky, naslouchal."
"came","come","přicházelo","přicházet","impf"," The halting sound of dragging shoes was somehow familiar; it came from faraway and got nearer."," Napadavé šoupání podešví bylo povědomé, přicházelo z dálky, blížilo se."
"facing","face","hleděla","hledět","impf"," She stood facing him, dressed to go out, in her shabby coat, her arms hanging by her side, and looked at him with round dark eyes."," Stála teď proti němu, ustrojená k odchodu, v chatrném kabátku, s rukama spuštěnýma podle těla, hleděla na něho temnýma kulatýma očima."
"looked","look","hleděla","hledět","impf"," She stood facing him, dressed to go out, in her shabby coat, her arms hanging by her side, and looked at him with round dark eyes."," Stála teď proti němu, ustrojená k odchodu, v chatrném kabátku, s rukama spuštěnýma podle těla, hleděla na něho temnýma kulatýma očima."
"doing","do","děláš","dělat","impf"," “ What are you doing?"," "" Co to děláš?"
"want","want","nechtěla","chtít","impf"," Surely you didn ’ t want ... ”"," Snad jsi nechtěla ...? """
"kissed","kiss","líbal","líbat","impf"," He caught her in his arms and kissed her cold lips."," Strhl ji do náruče a líbal na studená ústa."
"hiding","hide","schováváš","schovávat","impf"," “ What are you hiding for?"," "" Proč se schováváš?"
"went","go","Chodil","chodit","impf"," He went to school, read books, expected something or other of life, awkwardly longed for something or other, and had ordinary friends like himself."," Chodil do školy, četl knížky, sliboval si cosi od života, po čemsi neuměle toužil, měl obyčejné kamarády."
"read","read","četl","číst","impf"," He went to school, read books, expected something or other of life, awkwardly longed for something or other, and had ordinary friends like himself."," Chodil do školy, četl knížky, sliboval si cosi od života, po čemsi neuměle toužil, měl obyčejné kamarády."
"longed","long","toužil","toužit","impf"," He went to school, read books, expected something or other of life, awkwardly longed for something or other, and had ordinary friends like himself."," Chodil do školy, četl knížky, sliboval si cosi od života, po čemsi neuměle toužil, měl obyčejné kamarády."
"blinked","blink","mrkal","mrkat","impf"," He blinked feebly at the electric light over the kitchen table."," Osleple mrkal do žárovky nad kuchyňským stolem."
"sat","sit","seděli","sedět","impf"," His father and mother sat facing one another in silence."," Rodiče seděli naproti sobě a mlčeli."
"hear","hear","Neslyšíš","slyšet","impf"," Can ’ t you hear them? ” the man shook him by the shoulder."," Neslyšíš je? "" cloumal muž jeho rameny."
"allowed","allow","Nesmím","smět","impf"," I ’ m not allowed to let anybody out ... d ’ you hear me?"," Nesmím nikoho pustit ... slyšíš?"
"hear","hear","slyšíš","slyšet","impf"," I ’ m not allowed to let anybody out ... d ’ you hear me?"," Nesmím nikoho pustit ... slyšíš?"
"shooting","shoot","střílejí","střílet","impf"," you wouldn ’ t get very far. They ’ re shooting at sight ... they ’ re surrounding whole block of houses - maybe we ’ re surrounded too. They ’ re as thick as flies out there ... ”"," Daleko bys nedošel ... hned střílejí ... obkličují celé bloky, možná i nás ... je jich jako much ... """
"tasted","taste","Chutnal","chutnat","impf"," There were times when he tasted such fear that he longed to be able to crawl out of his own skin as if it were an infested garment."," Chutnal okamžiky takového strachu, že zatoužil vysvléknout se z vlastní kůže jako ze šatů prosáklých nákazou."
"longed","long","zatoužil","zatoužit","pf"," There were times when he tasted such fear that he longed to be able to crawl out of his own skin as if it were an infested garment."," Chutnal okamžiky takového strachu, že zatoužil vysvléknout se z vlastní kůže jako ze šatů prosáklých nákazou."
"allowed","allow","Nesmí","smět","impf"," She must not be allowed to know. He must carry the burden on his own shoulders, for if she found out the danger would be even greater."," Nesmí vědět, musí to sám vléci po světě, poněvadž kdyby to věděla, bylo by nebezpečí ještě větší."
"do","do","udělala","udělat","pf"," She might lose her head and do something unwise."," Snad by se zbláznila a udělala nerozvážnost."
"kissing","kiss","líbali","líbat","impf"," He said goodbye to his father at the door, they had their arms round each other and were kissing each other on the mouth, and old Rejsek slapped his son ostentatiously on the shoulder."," Loučil se s tatíkem mezi dveřmi, padali si do náručí, líbali se na ústa a starý Rejsek oplácával svého vojáka okázale po zádech."
"hugging","hug","objímala","objímat","impf"," With her right arm she held a small black attache case on her lap, hugging it as though she was afraid someone might take it off her."," Černý kufřík na klíně objímala pravou rukou, tiskla jej k hrudi, jako by se bála, aby jí ho někdo nevytrhl."
