"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"making","make","nedělají","dělat","impf"," "" They 're not making fun of her, "" Caroline said."," "" Oni si nedělají legraci z ní, "" upozornila ho Caroline."
"moving","move","Přesouvám","přesouvat","impf"," I 'm moving around a million little pieces of nothing, a million thoughts and feelings and memories inside my head, day after day, for years, there 's this enormous scaffolding and planning, like I 'm building a cathedral of toothpicks inside my head."," Přesouvám v hlavě sem a tam milion maličkatých kousíčků ničeho, milion myšlenek, pocitů a vzpomínek, dělám to den za dnem, rok za rokem, vyžaduje to spoustu plánování a stavby složitých lešení, je to, jako bych v hlavě budovala katedrálu z párátek."
"building","build","budovala","budovat","impf"," I 'm moving around a million little pieces of nothing, a million thoughts and feelings and memories inside my head, day after day, for years, there 's this enormous scaffolding and planning, like I 'm building a cathedral of toothpicks inside my head."," Přesouvám v hlavě sem a tam milion maličkatých kousíčků ničeho, milion myšlenek, pocitů a vzpomínek, dělám to den za dnem, rok za rokem, vyžaduje to spoustu plánování a stavby složitých lešení, je to, jako bych v hlavě budovala katedrálu z párátek."
"help","help","nepomáhá","pomáhat","impf"," And it does n't even help to keep a diary, because I ca n't make the words on the page have any effect on my brain."," A člověku nepomáhá ani to, když si začne vést deník, jelikož slova na stránce nemají na můj mozek sebemenší vliv."
"help","help","vést","vést","impf"," And it does n't even help to keep a diary, because I ca n't make the words on the page have any effect on my brain."," A člověku nepomáhá ani to, když si začne vést deník, jelikož slova na stránce nemají na můj mozek sebemenší vliv."
"keep","keep","nemají","mít","impf"," And it does n't even help to keep a diary, because I ca n't make the words on the page have any effect on my brain."," A člověku nepomáhá ani to, když si začne vést deník, jelikož slova na stránce nemají na můj mozek sebemenší vliv."
"write","write","napíšu","napsat","pf"," As soon as I write a thing down I leave it behind."," Jakmile něco napíšu na papír, je to, jako bych to zahodila do smetí."
"explained","explain","vysvětlovat","vysvětlovat","impf"," "" See, "" he explained, "" Eden wants to read the script this afternoon sometime, and financially, obviously, it 's critical that we- """," "" Hele, "" začal vysvětlovat, "" Eden chce ten scénář číst někdy dneska odpoledne a je přece jasný, že z finančního hlediska nutně potřebujeme - """
"wants","want","chce","chtít","impf"," "" See, "" he explained, "" Eden wants to read the script this afternoon sometime, and financially, obviously, it 's critical that we- """," "" Hele, "" začal vysvětlovat, "" Eden chce ten scénář číst někdy dneska odpoledne a je přece jasný, že z finančního hlediska nutně potřebujeme - """
"See","see","číst","číst","impf"," "" See, "" he explained, "" Eden wants to read the script this afternoon sometime, and financially, obviously, it 's critical that we- """," "" Hele, "" začal vysvětlovat, "" Eden chce ten scénář číst někdy dneska odpoledne a je přece jasný, že z finančního hlediska nutně potřebujeme - """
"read","read","číst","číst","impf"," "" See, "" he explained, "" Eden wants to read the script this afternoon sometime, and financially, obviously, it 's critical that we- """," "" Hele, "" začal vysvětlovat, "" Eden chce ten scénář číst někdy dneska odpoledne a je přece jasný, že z finančního hlediska nutně potřebujeme - """
"wants","want","potřebujeme","potřebovat","impf"," "" See, "" he explained, "" Eden wants to read the script this afternoon sometime, and financially, obviously, it 's critical that we- """," "" Hele, "" začal vysvětlovat, "" Eden chce ten scénář číst někdy dneska odpoledne a je přece jasný, že z finančního hlediska nutně potřebujeme - """
"left","leave","odjela","odjet","pf"," "" No, she left."," "" Ne, odjela."
"left","leave","odjela","odjet","pf"," She said hello and left. """," Pozdravila se s nimi a odjela. """
"moving","move","postupovali","postupovat","impf"," Colleagues far less capable than he were moving on to work for mutual funds, to be freelance money managers, or to start their own funds;"," Daleko méně schopní kolegové postupovali k dalším metám, dostávali místa ve vzájemných fondech, stávali se z nich finanční manažéři na volné noze, nebo dokonce zakládali vlastní fondy."
"like","like","líbí","líbit","impf"," "" I like it here. """," "" Mně se tady líbí. """
"stay","stay","zůstaneme","zůstat","pf"," "" So we 'll stay here, "" he said."," "" Tak tady zůstaneme, "" přikývl."
"think","think","myslela","myslet","impf"," She was naive enough, she told Denise, to think this ended the discussion."," A ona byla tak naivní, vysvětlovala jednou Denise, že si myslela, že tím diskuse na toto téma končí."
"ended","end","končí","končit","impf"," She was naive enough, she told Denise, to think this ended the discussion."," A ona byla tak naivní, vysvětlovala jednou Denise, že si myslela, že tím diskuse na toto téma končí."
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"relax","relax","odpočívej","odpočívat","impf"," And relax relax relax. """," A odpočívej, odpočívej, odpočívej. """
"lay","lie","ležel","ležet","impf"," It was as if when he lay in bed for a night certain humors pooled in the right or wrong places, like marinade around a flank steak, and in the morning his nerve endings either had enough of what they needed or did not;"," Bylo to, jako kdyby ležel celou noc v posteli naložený v nějakých tekutinách, jež na něj působily tu na správných, tu na špatných místech, jako na steak v marinádě, a ráno buď měla nervová zakončení to, co potřebovala, nebo neměla."
"needed","need","potřebovala","potřebovat","impf"," It was as if when he lay in bed for a night certain humors pooled in the right or wrong places, like marinade around a flank steak, and in the morning his nerve endings either had enough of what they needed or did not;"," Bylo to, jako kdyby ležel celou noc v posteli naložený v nějakých tekutinách, jež na něj působily tu na správných, tu na špatných místech, jako na steak v marinádě, a ráno buď měla nervová zakončení to, co potřebovala, nebo neměla."
"depend","depend","závisela","záviset","impf"," as if his mental clarity might depend on something as simple as whether he 'd lain on his side or on his back the night before;"," Jako kdyby jeho duševní svěžest závisela na něčem tak prostém, jako je to, jestli noc předtím ležel na boku, nebo na zádech."
"lain","lie","ležel","ležet","impf"," as if his mental clarity might depend on something as simple as whether he 'd lain on his side or on his back the night before;"," Jako kdyby jeho duševní svěžest závisela na něčem tak prostém, jako je to, jestli noc předtím ležel na boku, nebo na zádech."
"opened","open","Otevřela","otevřít","pf"," You opened their eyes to the kind of work a girl can do."," Otevřela jsi jim oči, takže teď konečně vědí, kolik práce dokáže holka jako ty postavit."
"tell","tell","říct","říci","pf"," I did n't tell you this before, but I had the feeling the men were dubious about getting a girl for the summer."," Nechtěl jsem ti to původně říct, ale měl jsem pocit, že mládenci trochu pochybovali, nakolik je správné brát na brigádu děvče."
"did","do","brát","brát","impf"," I did n't tell you this before, but I had the feeling the men were dubious about getting a girl for the summer."," Nechtěl jsem ti to původně říct, ale měl jsem pocit, že mládenci trochu pochybovali, nakolik je správné brát na brigádu děvče."
"expected","expect","čekali","čekat","impf"," I think they expected a lot of chattering and not much substance. """," Počítám, že čekali samé žvatlání a žádné výsledky. """
"worked","work","Pracoval","pracovat","impf"," "" I worked for an old Mennonite couple that had a big antique store."," "" Pracoval jsem pro jeden mennonitský pár, který měl obrovský obchod se starožitnostmi."
"used","use","Používali","používat","impf"," We used this stuff called Magic Mixture-paint thinner, wood alcohol, acetone, tung oil."," Používali jsme tehdy takový hnus, kterému jsme říkali Zázračná směs - ředidlo, dřevní líh, aceton a tonkový olej."
