"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"slowed","slow","zpomalil","zpomalit","pf"," The rock slowed, drifted sideways in a billow of snow, and hovered over the circle."," Kámen zpomalil, sklouzl v záplavě sněhového prachu stranou a zůstal viset ve vzduchu nad kruhem."
"came","come","došel","dojít","pf"," Rincewind was n't certain what a houri was, but after some thought he came to the conclusion that it was a little liquorice tube for sucking up the sherbet."," Mrakoplaš neměl ani ponětí o tom, co jsou to hurisky, ale nakonec došel k názoru, že to budou ty tenké lékořicové trubičky, kterými se pije šerbet."
"sucking","suck","pije","pít","impf"," Rincewind was n't certain what a houri was, but after some thought he came to the conclusion that it was a little liquorice tube for sucking up the sherbet."," Mrakoplaš neměl ani ponětí o tom, co jsou to hurisky, ale nakonec došel k názoru, že to budou ty tenké lékořicové trubičky, kterými se pije šerbet."
"find","find","najděte","najít","pf"," ‘ Just find me a knife, ’ said Rincewind."," "" Hlavně mi najděte ten nůž, "" nedal se vyvést z míry Mrakoplaš."
"started","start","Začal","začít","pf"," He started to tap stones."," Začal oklepávat jednotlivé kameny."
"looked","look","podívali","podívat","pf"," Twoflower and Bethan looked at each other, and shrugged."," Bethan a Dvoukvítek se na sebe podívali a s pokrčením ramen se vypravili uličkou."
"returned","return","vrátili","vrátit","pf"," A few minutes later they returned with a selection of knives, and Twoflower had even managed to find a sword."," Zanedlouho se vrátili s několika noži a Dvoukvítek nesl dokonce meč."
"left","leave","nechali","nechat","pf"," ‘ But we left some money, ’ said Twoflower."," "" Ale nechali jsme tam nějaké peníze, "" dodával Dvoukvítek."
"beginning","begin","začaly","začít","pf"," The Seal of Stasis was beginning to blister and curl up at the edges."," Pečeť Zácpy se na okrajích kroutila a začaly na ní naskakovat puchýře."
"came","come","dojeli","dojet","pf"," By late afternoon they came to the crest of a hill and looked down on the broad valley of the upper Smarl, the longest river on the Disc."," Pozdě odpoledne dojeli na vrcholek jakéhosi pahorku a před nimi se otevřel pohled na údolí horního Smarlu, nejdelší řeky na Ploše."
"said","say","řekl","říci","pf"," ‘ Shlup, ’ said Rincewind."," "" Ťap, "" řekl Mrakoplaš."
"say","say","Říká","říkat","impf"," With little legs, they say."," Říká se, že prý má stovky nožiček."
"say","say","Povídám","povídat","impf"," I say, Weems, any legs your side?"," Povídám, ty vidíš nějaký nožičky, Weemsi?"
"tears","tear","roztrhat","roztrhat","pf"," He does n't say much but what he does is, he tears bits off people."," On toho moc nenamluví, ale zato dokáže lidi roztrhat na kousky."
"admitted","admit","připustil","připustit","pf"," ‘ No, ’ he admitted."," "" Nebyl, "" připustil nakonec."
"said","say","odpověděl","odpovědět","pf"," ‘ Then I 'd be as good as him, would n't I? ’ said Twoflower, flourishing his looted sword."," "" Takže v tom případě tam budu stejně platný jako on, nebo ne? "" odpověděl Dvoukvítek a potěžkal ukořistěný meč."
"keeping","keep","držel","držet","impf"," Rincewind hopped after him, keeping as close to the wall as possible."," Mrakoplaš šel za ním a držel se tak blízko u zdi, jak to jen bylo možné."
"wanted","want","chtějí","chtít","impf"," ‘ You 're wanted dead or alive, I 'm not really bothered which, but some of the lads might want to have a little discussion with you about those trolls."," "" Tebe chtějí mrtvého, nebo živého, mně osobně je to koneckonců jedno, ale někteří z mých mládenců by se tě rádi zeptali na pár věciček o těch trolech."
"want","want","chtějí","chtít","impf"," ‘ You 're wanted dead or alive, I 'm not really bothered which, but some of the lads might want to have a little discussion with you about those trolls."," "" Tebe chtějí mrtvého, nebo živého, mně osobně je to koneckonců jedno, ale někteří z mých mládenců by se tě rádi zeptali na pár věciček o těch trolech."
"left","leave","Nechala","nechat","pf"," She left the words hanging, and walked away."," Nechala nedokončenou větu viset ve vzduchu a pomalu odešla."
"left","leave","odešla","odejít","pf"," She left the words hanging, and walked away."," Nechala nedokončenou větu viset ve vzduchu a pomalu odešla."
"said","say","prohlásil","prohlásit","pf"," ‘ Well, here 's another fine mess, ’ said Rincewind."," "" Tak, to jsme se dostali do pěknýho maléru, "" prohlásil Mrakoplaš."
"said","say","prohlásil","prohlásit","pf"," ‘ Twenty-seven, ’ said Twoflower."," "" Sedmadvacetkrát, "" prohlásil Dvoukvítek konverzačním tónem."
"beginning","begin","přijít","přijít","pf"," Worked it out? ’ said Rincewind, who was beginning to have the familiar feeling that the conversation had been mugged."," O jaký počet jsem měl přijít? "" vyptával se zmatený Mrakoplaš, který už měl zase známý pocit, že mu smysl konverzace nějak uniká."
"saw","see","viděl","vidět","impf"," Perhaps his time with Twoflower, who only saw things as they ought to be, had taught him to see things as they are."," Možná že to bylo tím, že Dvoukvítek, který viděl okolní svět, jaký by být měl, ho naučil vidět věci, jaké jsou."
"see","see","viděl","vidět","impf"," Perhaps his time with Twoflower, who only saw things as they ought to be, had taught him to see things as they are."," Možná že to bylo tím, že Dvoukvítek, který viděl okolní svět, jaký by být měl, ho naučil vidět věci, jaké jsou."
"taught","teach","naučil","naučit","pf"," Perhaps his time with Twoflower, who only saw things as they ought to be, had taught him to see things as they are."," Možná že to bylo tím, že Dvoukvítek, který viděl okolní svět, jaký by být měl, ho naučil vidět věci, jaké jsou."
"saw","see","vidět","vidět","impf"," Perhaps his time with Twoflower, who only saw things as they ought to be, had taught him to see things as they are."," Možná že to bylo tím, že Dvoukvítek, který viděl okolní svět, jaký by být měl, ho naučil vidět věci, jaké jsou."
"see","see","vidět","vidět","impf"," Perhaps his time with Twoflower, who only saw things as they ought to be, had taught him to see things as they are."," Možná že to bylo tím, že Dvoukvítek, který viděl okolní svět, jaký by být měl, ho naučil vidět věci, jaké jsou."
"drinking","drink","pít","pít","impf"," ‘ I could have been up there with the Moon Goddess by now, drinking mead out of a silver bowl, ’ she said petulantly."," "" Teď už jsem mohla být v království Měsíční bohyně a mohla jsem pít medovinu ze stříbrného poháru, "" prohlásila uraženě."
"said","say","prohlásila","prohlásit","pf"," ‘ I could have been up there with the Moon Goddess by now, drinking mead out of a silver bowl, ’ she said petulantly."," "" Teď už jsem mohla být v království Měsíční bohyně a mohla jsem pít medovinu ze stříbrného poháru, "" prohlásila uraženě."
"looked","look","Podívala","podívat","pf"," She looked up at Rincewind and scowled."," Podívala se na Mrakoplaše a zaškaredila se."
"heard","hear","zaslechl","zaslechnout","pf"," Perhaps it was a barely heard footstep behind him, perhaps it was movement reflected in her eyes – but he ducked."," Možná že za sebou zaslechl tichý krok, možná že se ten pohyb odrazil v dívčiných očích - prostě se vrhl k zemi."
"reflected","reflect","odrazil","odrazit","pf"," Perhaps it was a barely heard footstep behind him, perhaps it was movement reflected in her eyes – but he ducked."," Možná že za sebou zaslechl tichý krok, možná že se ten pohyb odrazil v dívčiných očích - prostě se vrhl k zemi."
"opened","open","otvíral","otvírat","impf"," Rincewind opened and shut his mouth for a few seconds before the right words managed to come out."," Mrakoplaš několik vteřin otvíral a zavíral ústa a teprve pak se mu na jazyku objevila první slova."
"shut","shut","zavíral","zavírat","impf"," Rincewind opened and shut his mouth for a few seconds before the right words managed to come out."," Mrakoplaš několik vteřin otvíral a zavíral ústa a teprve pak se mu na jazyku objevila první slova."
"looked","look","podíval","podívat","pf"," Twoflower looked at him with his head on one side."," Dvoukvítek naklonil hlavu na stranu a podíval se na něj."
"do","do","děláš","dělat","impf"," ‘ I 'm here because I do n't know any better, but what about you? ’"," Já jsem tady, protože mě nic lepšího nenapadlo, ale co tady děláš ty? """
"said","say","neříkej","říkat","impf"," ‘ Do n't, ’ said Rincewind."," "" Tak to neříkej, "" žádal ji Mrakoplaš."
"looked","look","podívali","podívat","pf"," They all looked at her."," Všichni se na ni podívali."
"began","begin","začalo","začít","pf"," What did happen was that the famous Discworld sunlight which, as has already been indicated, travels very slowly through the Disc 's powerful magical field, sloshed gently over the lands around the Rim and began its soft, silent battle against the retreating armies of the night."," Proslulé zeměplošské světlo, které, jak už bylo několikrát řečeno, putovalo v silném magickém poli Plochy velmi pomalu, začalo zaplavovat země na Okraji a pustilo se do vláčného a tichého boje s ustupující armádou noci."
"hesitate","hesitate","nezaváhala","zaváhat","pf"," Herrena did n't hesitate."," Herrena nezaváhala ani vteřinu."
"think","think","Myslím","myslet","impf"," ‘ I think I know, ’ said Bethan quietly."," "" Myslím, že to vím, "" ozvala se Bethan tiše."
"turned","turn","obrátil","obrátit","pf"," Twoflower turned to Rincewind, open-mouthed."," Dvoukvítek se s otevřenými ústy obrátil k Mrakoplašovi."
"run","run","utíkám","utíkat","impf"," ‘ I run away from things I 'm scared of, myself. ’"," Já před věcma, kterejch se bojím, utíkám. """
"jerked","jerk","trhlo","trhnout","pf"," With a snap of its lid the Luggage jerked into the air and came down running, catching Cohen a crack on the shins with one of its brass corners."," Zavazadlo prudce trhlo víkem, vymrštilo se do vzduchu, dopadlo na nožičky, vrhlo se na Cohena a jedním okovaným rohem mu roztrhlo lýtko."
"catching","catch","dopadlo","dopadnout","pf"," With a snap of its lid the Luggage jerked into the air and came down running, catching Cohen a crack on the shins with one of its brass corners."," Zavazadlo prudce trhlo víkem, vymrštilo se do vzduchu, dopadlo na nožičky, vrhlo se na Cohena a jedním okovaným rohem mu roztrhlo lýtko."
"get","get","dostali","dostat","pf"," ‘ How did you get here, actually? ’ said the druid."," "" A jak jste se sem vlastně dostali? "" vyzvídal druid."
"falling","fall","padali","padat","impf"," But if you mean why are we here as opposed to falling off the Disc, I have n't the faintest idea."," Ale jestli máš na mysli, proč jsme teď tady, místo abychom padali dolů do vesmíru, tak o tom nemám nejmenší tušení."
"think","think","myslím","myslet","impf"," ‘ Only I think we should wait until morning, ’ added Twoflower."," "" Já si jenom myslím, že bychom měli počkat do rána, "" opatrně nadhodil Dvoukvítek."
"think","think","měli","mít","impf"," ‘ Only I think we should wait until morning, ’ added Twoflower."," "" Já si jenom myslím, že bychom měli počkat do rána, "" opatrně nadhodil Dvoukvítek."
