"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"seeing","see","podívat","podívat","pf"," Frozen by a spectacle that would be absolutely invisible if those same characters, suddenly motionless, were not offering us, as though in the hollow of a goblet, the possibility of seeing in the depths of a mirror the unforeseen double of what they are observing."," Strnulé v důsledku podívané, která by byla naprosto neviditelná, kdyby nám ty samé postavy, pojednou nehybné, neutvořily průzor nad ohybem oblouku, kterým se můžeme podívat do zrcadla na dvojnásob nečekaný výjev toho, co vidí."
"seeing","see","vidí","vidět","impf"," Frozen by a spectacle that would be absolutely invisible if those same characters, suddenly motionless, were not offering us, as though in the hollow of a goblet, the possibility of seeing in the depths of a mirror the unforeseen double of what they are observing."," Strnulé v důsledku podívané, která by byla naprosto neviditelná, kdyby nám ty samé postavy, pojednou nehybné, neutvořily průzor nad ohybem oblouku, kterým se můžeme podívat do zrcadla na dvojnásob nečekaný výjev toho, co vidí."
"project","project","navrhuje","navrhovat","impf"," Though it is in opposition to the ' bourgeois ' theories of economics, and though this opposition leads it to use the project of a radical reversal of History as a weapon against them, that conflict and that project nevertheless have as their condition of possibility, not the reworking of all History, but an event that any archaeology can situate with precision, and that prescribed simultaneously, and according to the same mode, both nineteenth-century bourgeois economics and nineteenth-century revolutionary economics."," Pokud se staví proti "" buržoazním "" ekonomickým teoriím a pokud v opozici k nim navrhuje radikální převrat Historie, má tento konflikt a tento projekt jako podmínku možnosti nikoli převzetí vší Historie, nýbrž událost, kterou archeologie může určit s naprostou přesností a která určila zároveň a stejným způsobem buržoazní a revoluční ekonomii 19. století."
"enumerate","enumerate","vyčíslit","vyčíslit","pf"," For example, when one studies the reproductive organs of a plant, it is sufficient, but indispensable, to enumerate the stamens and pistil ( or to record their absence, according to the case ), to define the form they assume, according to what geometrical figure they are distributed in the flower ( circle, hexagon, triangle ), and what their size is in relation to the other organs."," Když například budeme zkoumat pohlavní orgány rostlin, bude nutné a postačující jmenovat a vyčíslit tyčinky a pestík ( nebo případně konstatovat jejich nepřítomnost ), určit jejich tvar a geometrický obrazec, který v okvětí vytvářejí ( kruh, šestiúhelník, trojúhelník ), jaká je jejich velikost vzhledem k ostatním orgánům."
"define","define","určit","určit","pf"," For example, when one studies the reproductive organs of a plant, it is sufficient, but indispensable, to enumerate the stamens and pistil ( or to record their absence, according to the case ), to define the form they assume, according to what geometrical figure they are distributed in the flower ( circle, hexagon, triangle ), and what their size is in relation to the other organs."," Když například budeme zkoumat pohlavní orgány rostlin, bude nutné a postačující jmenovat a vyčíslit tyčinky a pestík ( nebo případně konstatovat jejich nepřítomnost ), určit jejich tvar a geometrický obrazec, který v okvětí vytvářejí ( kruh, šestiúhelník, trojúhelník ), jaká je jejich velikost vzhledem k ostatním orgánům."
"called","call","nazvat","nazvat","pf"," This new configuration may, I suppose, be called ' rationalism '; one might say, if one 's mind is filled with ready-made concepts, that the seventeenth century marks the disappearance of the old superstitious or magical beliefs and the entry of nature, at long last, into the scientific order."," Pokud chceme, můžeme tuto novou konfiguraci samozřejmě nazvat "" racionalismem "" a můžeme, pokud v hlavě nemáme nic jiného než hotové pojmy, říci, že v 17. století zmizely staré pověry a magie a konečně se objevila příroda ve vědeckém řádu."
"say","say","říci","říci","pf"," This new configuration may, I suppose, be called ' rationalism '; one might say, if one 's mind is filled with ready-made concepts, that the seventeenth century marks the disappearance of the old superstitious or magical beliefs and the entry of nature, at long last, into the scientific order."," Pokud chceme, můžeme tuto novou konfiguraci samozřejmě nazvat "" racionalismem "" a můžeme, pokud v hlavě nemáme nic jiného než hotové pojmy, říci, že v 17. století zmizely staré pověry a magie a konečně se objevila příroda ve vědeckém řádu."
"grasp","grasp","pochopit","pochopit","pf"," But what we must grasp and attempt to reconstitute are the modifications that affected knowledge itself, at that archaic level which makes possible both knowledge itself and the mode of being of what is to be known."," Ale je třeba pochopit a pokusit se promyslet na archaické úrovni, jež umožňuje poznání a modus bytí toho, co má být poznáno, právě ty změny, které proměnily vědění samo."
"makes","make","pochopit","pochopit","pf"," But what we must grasp and attempt to reconstitute are the modifications that affected knowledge itself, at that archaic level which makes possible both knowledge itself and the mode of being of what is to be known."," Ale je třeba pochopit a pokusit se promyslet na archaické úrovni, jež umožňuje poznání a modus bytí toho, co má být poznáno, právě ty změny, které proměnily vědění samo."
"attempt","attempt","pokusit","pokusit","pf"," But what we must grasp and attempt to reconstitute are the modifications that affected knowledge itself, at that archaic level which makes possible both knowledge itself and the mode of being of what is to be known."," Ale je třeba pochopit a pokusit se promyslet na archaické úrovni, jež umožňuje poznání a modus bytí toho, co má být poznáno, právě ty změny, které proměnily vědění samo."
