"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"remove","remove","sundá","sundat","pf"," Willy soon spotted me, slowed down, and momentarily gave the impression that he might remove his rucksack and chat for a while."," Willy mě brzy zpozoroval, zpomalil a chvíli se zdálo, že sundá batoh a zastaví se na kus řeči."
"contained","contain","obsahuje","obsahovat","impf"," Then I realized that the phosphate groups in Linus ' model were not ionized, but that each group contained a bound hydrogen atom and so had no net charge."," Pak jsem poznal, že fosfátové skupiny Linusova modelu nejsou ionizovány, ale že každá obsahuje vázaný atom vodíku a nemá tedy jasný náboj."
"contained","contain","nemá","mít","impf"," Then I realized that the phosphate groups in Linus ' model were not ionized, but that each group contained a bound hydrogen atom and so had no net charge."," Pak jsem poznal, že fosfátové skupiny Linusova modelu nejsou ionizovány, ale že každá obsahuje vázaný atom vodíku a nemá tedy jasný náboj."
"held","hold","držely","držet","impf"," The hydrogens were part of the hydrogen bonds that held together the three intertwined chains."," Vodíky byly součástí vodíkových vazeb, které držely pohromadě tři propletené řetězce."
"done","do","neudělal","udělat","pf"," On the other hand, it was equally obvious that I had not done anything which was going to tell us what a gene was or how it reproduced."," Na druhé straně bylo jasné, že jsem neudělal nic, co by směřovalo k objasnění, co je gen nebo jak se reprodukuje."
"welcomed","welcome","Uvítal","uvítat","pf"," I thus welcomed Herman 's suggestion that I go that spring to the Zoological Station at Naples, where he had decided to spend the months of April and May."," Uvítal jsem proto Hermanův návrh, abych strávil toto jaro v Zoologické stanici v Neapoli, kde chtěl pobývat v dubnu a květnu."
"spend","spend","strávil","strávit","pf"," I thus welcomed Herman 's suggestion that I go that spring to the Zoological Station at Naples, where he had decided to spend the months of April and May."," Uvítal jsem proto Hermanův návrh, abych strávil toto jaro v Zoologické stanici v Neapoli, kde chtěl pobývat v dubnu a květnu."
"exist","exist","neexistuje","existovat","impf"," There was no point in doing nothing in Copenhagen, where spring does not exist."," Nicnedělání v Kodani, kde jaro neexistuje, nemělo smysl."
"lack","lack","chyběly","chybět","impf"," Not only did we lack the purine and pyrimidine components, but we had never had the shop put together any phosphorus atoms."," Nejenže nám chyběly purinové a pyrimidinové složky, ale nepodařilo se nám zhotovit ani fosforové atomy."
"needed","need","potřeboval","potřebovat","impf"," Since our machinist needed at least three days merely to turn out the more simple phosphorus atoms, I went back to Clare after lunch to hammer out the final draft of my genetics manuscript."," Protože náš mechanik potřeboval nejméně další tři dny, aby vyrobil jednodušší atomy fosforu, vrátil jsem se do Clare, abych vypulíroval konečnou verzi své genetické práce."
"charmed","charm","okouzlil","okouzlit","pf"," Later, when I cycled over to Pop 's for dinner, I found Bertrand and my sister talking to Peter Pauling, who the week before had charmed Pop into giving him dining rights."," Když jsem později přijel na kole na oběd k Pop, uviděl jsem Bertranda a svou sestru, jak se baví s Peterem Paulingem, který před týdnem okouzlil Pop tak, že mu poskytla stravovací práva."
"giving","give","poskytla","poskytnout","pf"," Later, when I cycled over to Pop 's for dinner, I found Bertrand and my sister talking to Peter Pauling, who the week before had charmed Pop into giving him dining rights."," Když jsem později přijel na kole na oběd k Pop, uviděl jsem Bertranda a svou sestru, jak se baví s Peterem Paulingem, který před týdnem okouzlil Pop tak, že mu poskytla stravovací práva."
"vanish","vanish","zmizet","zmizet","pf"," Then the beastly uncertainty as to whether Mg ++ ions were important could vanish."," Pak by mohla zmizet nepříjemná nejistota o významu iontů Mg + +."
"start","start","začít","začít","pf"," With this accomplished, another round of model building could start and, given luck, it might occur by Christmas."," Kdybychom toho dosáhli, mohlo by se začít s další stavbou modelů, a kdyby nám přálo štěstí, mohlo k tomu dojít o vánocích."
"occur","occur","dojít","dojít","pf"," With this accomplished, another round of model building could start and, given luck, it might occur by Christmas."," Kdybychom toho dosáhli, mohlo by se začít s další stavbou modelů, a kdyby nám přálo štěstí, mohlo k tomu dojít o vánocích."
"disproved","disprove","vyvráceny","vyvrátit","pf"," Ideas put forward with conviction were likely to be the products of wild crystallographers who delighted in being in a field where their ideas could not be easily disproved."," Přesvědčivě předkládané ideje byly spíše výplody zbrklých krystalografů, kteří těžili z toho, že pracují v oboru, kde jejich myšlenky nemohou být tak snadno vyvráceny."
"understand","understand","porozumět","porozumět","pf"," Thus, although virtually all biochemists, including Herman, were unable to understand the arguments of the X-ray people, there was little uneasiness."," Ačkoli skutečně nikdo z biochemiků, včetně Hermana, nebyl schopen porozumět důkazům rentgenových krystalografů, nijak je to nezneklidňovalo."
"learn","learn","učit","učit","impf"," It made no sense to learn complicated mathematical methods in order to follow baloney."," Nemělo smysl učit se náročným matematickým metodám kvůli sledování nějakých obrazců."
"do","do","dělat","dělat","impf"," As a result, none of my teachers had ever considered the possibility that I might do postdoctoral research with an X-ray crystallographer."," Výsledkem bylo, že žádného z mých učitelů ani nenapadlo, že bych mohl svůj postdoktorský výzkum dělat spolu s nějakým rentgenovým krystalografem."
"gone","go","pokračovali","pokračovat","impf"," For even if the answer had been yes, our model building would have gone ahead."," Ale i kdyby jeho odpověd byla kladná, v sestavování modelů bychom stejně pokračovali."
"see","see","pozoroval","pozorovat","impf"," Almost every afternoon, knowing that I was on the tennis court, he would fretfully twist his head away from his work to see the polynucleotide backbone unattended."," Téměř každé odpoledne, kdy věděl, že jsem na tenise, odvracel mrzutě hlavu od práce a pozoroval polynukleotidový nosič."
"doubles","double","zdvojnásobí","zdvojnásobit","pf"," Knowing that Griffith was interested in theoretical schemes for gene replication, he popped out with the idea that the perfect biological principle was the self-replication of the gene - that is, the ability of a gene to be exactly copied when the chromosome number doubles during cell division."," Protože věděl, že Griffith se zajímá o teoretická schémata genové replikace, vyrukoval s myšlenkou, že dokonalým biologickým principem je autoreplikace genu - to jest schopnost genu přesně se okopírovat, když se v průběhu buněčného dělení počet chromozomů zdvojnásobí."
"inviting","invite","zvala","zvát","impf"," The reply, inviting him to lunch, was unexpectedly cheerful, and so Francis looked forward to a realistic discussion of DNA."," Odpověď, která jej zároveň zvala na oběd, byla neočekávaně přívětivá, a tak se Francis těšil na věcnou diskusi o DNA."
"made","make","Udělal","udělat","pf"," However, he made the mistake of tactfully appearing not too interested in DNA by starting to talk about proteins."," Udělal však chybu, když začal vyhýbavě mluvit o proteinech, aby nevyvolal dojem, že se příliš zajímá o DNA."
"starting","start","začal","začít","pf"," However, he made the mistake of tactfully appearing not too interested in DNA by starting to talk about proteins."," Udělal však chybu, když začal vyhýbavě mluvit o proteinech, aby nevyvolal dojem, že se příliš zajímá o DNA."
"talk","talk","mluvit","mluvit","impf"," However, he made the mistake of tactfully appearing not too interested in DNA by starting to talk about proteins."," Udělal však chybu, když začal vyhýbavě mluvit o proteinech, aby nevyvolal dojem, že se příliš zajímá o DNA."
"made","make","nevyvolal","vyvolat","pf"," However, he made the mistake of tactfully appearing not too interested in DNA by starting to talk about proteins."," Udělal však chybu, když začal vyhýbavě mluvit o proteinech, aby nevyvolal dojem, že se příliš zajímá o DNA."
"starting","start","nevyvolal","vyvolat","pf"," However, he made the mistake of tactfully appearing not too interested in DNA by starting to talk about proteins."," Udělal však chybu, když začal vyhýbavě mluvit o proteinech, aby nevyvolal dojem, že se příliš zajímá o DNA."
