"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"take","take","žádám","žádat","impf"," That is why I am asking you to look after the affair and take all possible steps to protect Judas of Karioth. '"," Proto si žádám, abys zasáhl a učinil všecka opatření na ochranu Jidáše Iškariotského. """
"said","say","slíbil","slíbit","pf"," ' The hegemon 's orders will be carried out, ' said Arthanius, ' but I can assure the hegemon that these villains have set themselves a very difficult task."," "" Vladařův příkaz bude vykonán, "" slíbil Afranius, "" ale musím vladaře uklidnit : zločinci budou moci jen stěží uskutečnit svůj záměr."
"assure","assure","slíbil","slíbit","pf"," ' The hegemon 's orders will be carried out, ' said Arthanius, ' but I can assure the hegemon that these villains have set themselves a very difficult task."," "" Vladařův příkaz bude vykonán, "" slíbil Afranius, "" ale musím vladaře uklidnit : zločinci budou moci jen stěží uskutečnit svůj záměr."
"assure","assure","uklidnit","uklidnit","pf"," ' The hegemon 's orders will be carried out, ' said Arthanius, ' but I can assure the hegemon that these villains have set themselves a very difficult task."," "" Vladařův příkaz bude vykonán, "" slíbil Afranius, "" ale musím vladaře uklidnit : zločinci budou moci jen stěží uskutečnit svůj záměr."
"pointed","point","Ukazoval","ukazovat","impf"," The narrator pointed in the direction of the moon, which had long ago disappeared from the balcony."," Ukazoval k měsíci, který už dávno míjel balkón."
"follow","follow","následovala","následovat","impf"," Magician, choirmaster, wizard, or the devil knows what, Koroviev bowed and with a broad sweep of his lamp invited Margarita to follow him."," Mág, regenschori, kouzelník, tlumočník a kdoví, čím vlastně ve skutečnosti byl, zkrátka Korovjev, se ukláněl, široce mával svítilnou a pobízel Markétku, aby ho následovala."
"decided","decide","rozhodl","rozhodnout","pf"," The head and the professor 's forecast reminded him of Pontius Pilate, so to sound more convincing Ivan decided to give the story of the Procurator in full, from the moment when he had emerged in his white, red-lined cloak into the arcade of Herod 's palace."," Hlava a konzultantovo proroctví ho přivedly k myšlence na Piláta Pontského a pro větší přesvědčivost se rozhodl vyložit celý příběh o prokurátorovi od okamžiku, kdy Pilát v bílém plášti s purpurovou podšívkou kráčel sloupovím paláce Heroda Velikého."
"answered","answer","odpověděl","odpovědět","pf"," ' I agree, ' answered Berlioz, ' but I 'm afraid that no one is in a position to prove the authenticity of your version either. '"," "" Správně, "" odpověděl, "" ale obávám se, že stejně tak nikdo nemůže dokázat věrohodnost toho, co jste nám vyprávěl. """
"bent","bend","naklonili","naklonit","pf"," They bent towards him from both sides and he began, this time without a trace of his accent which seemed to come and go without rhyme or reason :"," Když k němu naklonili hlavy, každý z jedné strany, prohlásil už bez cizího přízvuku, který se čertví proč náhle objevoval a hned zase mizel :"
"recommend","recommend","neradil","radit","impf"," ' My precious queen, ' squeaked Koroviev, ' I do n't recommend anybody to meet him even without his revolver!"," "" Drahá královno, "" pištěl Korovjev, "" já bych to nikomu neradil, ani kdyby tenhle neměl v ruce vůbec nic!"
"bet","bet","Sázím","sázet","impf"," ' I bet I can shoot better than that. '"," "" Sázím se, že přetrumfnu rekord se sedmičkou. """
"stop","stop","přestat","přestat","pf"," And they could not stop."," Chtěli přestat a nešlo to!"
"uncovered","uncover","objevila","objevit","pf"," At the sound of his voice a door creaked and a young woman, her head uncovered, appeared on the verandah in the evening dusk."," V odpověď zaskřípaly dveře a na terase se objevila ve večerním soumraku mladá žena bez závoje."
"appeared","appear","objevila","objevit","pf"," At the sound of his voice a door creaked and a young woman, her head uncovered, appeared on the verandah in the evening dusk."," V odpověď zaskřípaly dveře a na terase se objevila ve večerním soumraku mladá žena bez závoje."
"leaned","lean","Naklonila","naklonit","pf"," She leaned over the railings, looking anxiously to see who had arrived."," Naklonila se přes zábradlí a neklidně pátrala v šeru, kdo to přišel."
"see","see","přišel","přijít","pf"," She leaned over the railings, looking anxiously to see who had arrived."," Naklonila se přes zábradlí a neklidně pátrala v šeru, kdo to přišel."
"arrived","arrive","přišel","přijít","pf"," She leaned over the railings, looking anxiously to see who had arrived."," Naklonila se přes zábradlí a neklidně pátrala v šeru, kdo to přišel."
"Recognising","recognise","poznala","poznat","pf"," Recognising the visitor, she gave him a welcoming smile, nodded and waved."," Když poznala příchozího, mile se usmála, kývla hlavou a zamávala."
"nodded","nod","kývla","kývnout","pf"," Recognising the visitor, she gave him a welcoming smile, nodded and waved."," Když poznala příchozího, mile se usmála, kývla hlavou a zamávala."
"waved","wave","zamávala","zamávat","pf"," Recognising the visitor, she gave him a welcoming smile, nodded and waved."," Když poznala příchozího, mile se usmála, kývla hlavou a zamávala."
"asked","ask","zeptal","zeptat","pf"," ' Are you alone? ' asked Arthanius softly in Greek."," "" Jsi sama? "" zeptal se tiše řecky Afranius."
"believed","believe","věřil","věřit","impf"," The more Varenukha embroidered his account with picturesque and revolting details, the less Rimsky believed him."," A jak by ne : čím věrnější a barvitější byly ty odporné podrobnosti, kterými administrátor zpestřoval svoje vyprávění, tím méně mu ředitel věřil."
"gone","go","nejel","jet","impf"," Varenukha had never gone to Pushkino, and Stepa had never been there either."," Varenucha nejel do Puškina a ani Sťopa tam neflámoval."
"trailing","trail","vláčel","vláčet","impf"," ' Well, I 'm damned! ' muttered Kuzmin, trailing the hem of his overall across the floor and fingering the pieces of paper."," "" Čert aby se v tom vyznal! "" zabručel, překvapené otáčel v prstech viněty a vláčel za sebou cíp pláště."
"wanted","want","chtěl","chtít","impf"," But what can he have wanted out of me?"," Jenom nechápu, co ode mě vlastně chtěl."
"stole","steal","ukradl","ukrást","pf"," Perhaps he stole my overcoat! '"," Že ukradl kabát! """
"wrapped","wrap","zabalil","zabalit","pf"," The meticulous and efficient Vassily Stepanovich wrapped the money in newspaper, tied it up with string, put it into his briefcase and following his standing instructions avoided taking a bus or tram but went instead to the nearby taxi-rank."," Přesný a svědomitý Vasilij Stěpanovič zabalil peníze do novinového papíru, převázal balíček motouzem, strčil do aktovky a znalý předpisů nešel na autobus nebo na tramvaj, ale zamířil ke stanovišti taxíků."
"went","go","nešel","jít","impf"," The meticulous and efficient Vassily Stepanovich wrapped the money in newspaper, tied it up with string, put it into his briefcase and following his standing instructions avoided taking a bus or tram but went instead to the nearby taxi-rank."," Přesný a svědomitý Vasilij Stěpanovič zabalil peníze do novinového papíru, převázal balíček motouzem, strčil do aktovky a znalý předpisů nešel na autobus nebo na tramvaj, ale zamířil ke stanovišti taxíků."
"show","show","předváděl","předvádět","impf"," To show people a talking cat one only had to know the first principles of ventriloquy, and clearly Koroviev 's abilities went far beyond basic principles."," K tomu, aby někdo předváděl divákům takové zvíře, stačí zvládnout základy břichomluvectví, a nikdo nepochyboval, že Korovjevovo umění je daleko přesahovalo."
"pushing","push","Nestrkej","strkat","impf"," ' Stop pushing and grabbing or I 'll punch your face in! '"," "" Nestrkej se, nebo do tebe taky strčím! """
"pushing","push","strčím","strčit","pf"," ' Stop pushing and grabbing or I 'll punch your face in! '"," "" Nestrkej se, nebo do tebe taky strčím! """
"appeared","appear","objevila","objevit","pf"," A policeman 's helmet appeared in the dress circle and a member of the audience was led away."," Vzápětí se objevila v lóži milicionářská helma a kohosi vyváděli."
"stopped","stop","skončilo","skončit","pf"," The excitement rose and might have got out of hand if Faggot had not stopped the rain of money by suddenly blowing into the air."," Rozruch se šířil jako lavina a nikdo neví, jak by to všecko skončilo, kdyby Fagot jediným fouknutím nezastavil průtrž bankovek."
"left","leave","opustili","opustit","pf"," Two young men, grinning purposefully, left their seats and made straight for the bar."," Dva mladíci na sebe významně, čtverácky zamrkali, opustili svá místa a zamířili rovnou do bufetu."
"get","get","nedostaneš","dostat","pf"," Apart from that the perch at the Coliseum are three days old and what 's more if you go to the Coliseum there 's no guarantee you wo n't get a bunch of grapes thrown in your face by the first young man to burst in from Theatre Street."," A pak, v Koloseu ti dají tři dny staré candáty a ještě nemáš jistotu, jestli nedostaneš po hubě hroznem vína od prvního mladíka, který tam vtrhne z Divadelního průjezdu."
"burst","burst","vtrhne","vtrhnout","pf"," Apart from that the perch at the Coliseum are three days old and what 's more if you go to the Coliseum there 's no guarantee you wo n't get a bunch of grapes thrown in your face by the first young man to burst in from Theatre Street."," A pak, v Koloseu ti dají tři dny staré candáty a ještě nemáš jistotu, jestli nedostaneš po hubě hroznem vína od prvního mladíka, který tam vtrhne z Divadelního průjezdu."
"shoot","shoot","střílet","střílet","impf"," ' I ca n't shoot properly when people are whispering about me behind my back! ' shouted Behemoth, trying to stick back into place a large handful of fur that had been torn off his back."," "" Nemůžu střílet, když mi někdo vejrá do ruky, "" hulákal Kňour a pokoušel se uhladit obrovský vytržený chomáč chlupů na zádech."
"trying","try","pokoušel","pokoušet","impf"," ' I ca n't shoot properly when people are whispering about me behind my back! ' shouted Behemoth, trying to stick back into place a large handful of fur that had been torn off his back."," "" Nemůžu střílet, když mi někdo vejrá do ruky, "" hulákal Kňour a pokoušel se uhladit obrovský vytržený chomáč chlupů na zádech."
"bet","bet","Sázím","sázet","impf"," ' I bet you, ' said Woland with a smile at Margarita, ' that he did that on purpose."," "" Sázím se, "" řekl Woland a usmál se na Markétu, "" že to udělal naschvál."
"said","say","řekl","říci","pf"," ' I bet you, ' said Woland with a smile at Margarita, ' that he did that on purpose."," "" Sázím se, "" řekl Woland a usmál se na Markétu, "" že to udělal naschvál."
