"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"lay","lie","leží","ležet","impf"," Though he knew that more than ten thousand steps still lay ahead of him, and could picture the steeply ascending curve in his mind 's eye, the fact that he could see only a small portion of it made the prospect more bearable."," Ačkoli dobře věděl, že před ním stále ještě leží víc než deset tisíc schodů, a dovedl si před očima vybavit strmě se zvedající křivku, skutečnost, že viděl jenom její malou část, dělala obraz snesitelnější."
"see","see","viděl","vidět","impf"," Though he knew that more than ten thousand steps still lay ahead of him, and could picture the steeply ascending curve in his mind 's eye, the fact that he could see only a small portion of it made the prospect more bearable."," Ačkoli dobře věděl, že před ním stále ještě leží víc než deset tisíc schodů, a dovedl si před očima vybavit strmě se zvedající křivku, skutečnost, že viděl jenom její malou část, dělala obraz snesitelnější."
"made","make","dělala","dělat","impf"," Though he knew that more than ten thousand steps still lay ahead of him, and could picture the steeply ascending curve in his mind 's eye, the fact that he could see only a small portion of it made the prospect more bearable."," Ačkoli dobře věděl, že před ním stále ještě leží víc než deset tisíc schodů, a dovedl si před očima vybavit strmě se zvedající křivku, skutečnost, že viděl jenom její malou část, dělala obraz snesitelnější."
"climb","climb","šplhat","šplhat","impf"," The great temptation was to climb too quickly in this low gravity; every step was so easy that it was very hard to adopt a slow, plodding rhythm."," Ve slabé gravitaci bylo veliké pokušení šplhat příliš rychle, každý krok byl tak snadný, že člověk jenom těžko přijímal pomalý rytmus, připomínající spíš plahočení."
"adopt","adopt","přijímal","přijímat","impf"," The great temptation was to climb too quickly in this low gravity; every step was so easy that it was very hard to adopt a slow, plodding rhythm."," Ve slabé gravitaci bylo veliké pokušení šplhat příliš rychle, každý krok byl tak snadný, že člověk jenom těžko přijímal pomalý rytmus, připomínající spíš plahočení."
"said","say","řekl","říci","pf"," ' I am, ' said the Exec coldly, as he flipped open his helmet."," "" Já, "" řekl chladně zástupce kapitána, když trhnutím otevřel přílbu."
"think","think","nemyslíš","myslet","impf"," ' You do n't think I 'd leave the bridge while I 'm on watch, do you? '"," "" Přece si nemyslíš, že bych opustil můstek, zatímco bych měl hlídku, nebo snad ano? """
"leave","leave","opustil","opustit","pf"," ' You do n't think I 'd leave the bridge while I 'm on watch, do you? '"," "" Přece si nemyslíš, že bych opustil můstek, zatímco bych měl hlídku, nebo snad ano? """
"think","think","měl","mít","impf"," ' You do n't think I 'd leave the bridge while I 'm on watch, do you? '"," "" Přece si nemyslíš, že bych opustil můstek, zatímco bych měl hlídku, nebo snad ano? """
"reached","reach","Sáhl","sáhnout","pf"," He reached into his suit carry-all, and pulled out a small can still bearing the label : CONCENTRATED ORANGE JUICE : TO MAKE FIVE LITRES."," Sáhl do velkého kapsáře na svém obleku a vytáhl malou plechovku, stále ještě nesoucí nálepku ZAHUŠTĚNÁ POMERANČOVÁ ŠŤÁVA, POSTAČUJE NA PŘÍPRAVU PĚTI LITRŮ."
"pulled","pull","vytáhl","vytáhnout","pf"," He reached into his suit carry-all, and pulled out a small can still bearing the label : CONCENTRATED ORANGE JUICE : TO MAKE FIVE LITRES."," Sáhl do velkého kapsáře na svém obleku a vytáhl malou plechovku, stále ještě nesoucí nálepku ZAHUŠTĚNÁ POMERANČOVÁ ŠŤÁVA, POSTAČUJE NA PŘÍPRAVU PĚTI LITRŮ."
"waiting","wait","čeká","čekat","impf"," The skipper is waiting for it. '"," Kapitán už na ni čeká. """
"found","find","Zjistil","zjistit","pf"," ' Have you found something? '"," "" Zjistil jste něco? """
"let","let","dovolit","dovolit","pf"," At all costs, he must not let Rama overwhelm him."," Za žádnou cenu nesmí dovolit, aby je Ráma ohromil a zdrtil."
"answered","answer","odpověděl","odpovědět","pf"," ' No, ' he answered, ' there 's nothing down here."," "" Ne, "" odpověděl, "" tady dole nic není."
"promised","promise","slíbil","slíbit","pf"," ' I 'll see to that, Jimmy, ' promised the Commander."," "" Dohlédnu na to, Jimmy, "" slíbil kapitán."
"land","land","přistát","přistát","pf"," barring a catastrophic structural failure, he could always land and walk back to base in a few hours."," kdyby odhalil nějakou závažnou konstrukční vadu, mohl kdykoli přistát a během několika hodin dojít nazpátek na základnu."
"existed","exist","neexistovala","existovat","impf"," That option no longer existed."," Teď taková možnost volby už neexistovala."
"produce","produce","tvořit","tvořit","impf"," I wonder what it will produce tomorrow? '"," Rád bych věděl, co bude tvořit zítra? """
"appeared","appear","zdálo","zdát","impf"," At first, it appeared that something had gone through the camp, overturning equipment, even collecting smaller objects and carrying them away."," Na první pohled se zdálo, že se něco přehnalo jejich táborem, zpřevracelo zařízení, dokonce posbíralo menší předměty a odneslo je pryč."
"found","find","zjistil","zjistit","pf"," As they drifted through the last airlock and floated out along the weightless axis of Rama, Lt Calvert found himself, as he so often did, in the middle of a movie flashback."," Když propluli poslední přechodovou kabinou a vznášeli se ve stavu beztíže podél Rámovy osy, poručík Calvert zjistil - jak se mu ostatně stávalo často - že se už zase ocitl uprostřed historického filmu."
"found","find","ocitl","ocitnout","pf"," As they drifted through the last airlock and floated out along the weightless axis of Rama, Lt Calvert found himself, as he so often did, in the middle of a movie flashback."," Když propluli poslední přechodovou kabinou a vznášeli se ve stavu beztíže podél Rámovy osy, poručík Calvert zjistil - jak se mu ostatně stávalo často - že se už zase ocitl uprostřed historického filmu."
"wondered","wonder","uvažoval","uvažovat","impf"," He sometimes wondered if he should attempt to cure himself of this habit, but he could not see that it had any disadvantages."," Občas uvažoval o tom, jestli by se neměl pokusit z tohoto zlozvyku vyléčit, jenže nepozoroval, že by s sebou přinášel nějaké nevýhody."
"attempt","attempt","pokusit","pokusit","pf"," He sometimes wondered if he should attempt to cure himself of this habit, but he could not see that it had any disadvantages."," Občas uvažoval o tom, jestli by se neměl pokusit z tohoto zlozvyku vyléčit, jenže nepozoroval, že by s sebou přinášel nějaké nevýhody."
"cure","cure","vyléčit","vyléčit","pf"," He sometimes wondered if he should attempt to cure himself of this habit, but he could not see that it had any disadvantages."," Občas uvažoval o tom, jestli by se neměl pokusit z tohoto zlozvyku vyléčit, jenže nepozoroval, že by s sebou přinášel nějaké nevýhody."
"see","see","nepozoroval","pozorovat","impf"," He sometimes wondered if he should attempt to cure himself of this habit, but he could not see that it had any disadvantages."," Občas uvažoval o tom, jestli by se neměl pokusit z tohoto zlozvyku vyléčit, jenže nepozoroval, že by s sebou přinášel nějaké nevýhody."
"save","save","zachrání","zachránit","pf"," It could make even the dullest situations interesting and - who could tell? - one day it might save his life."," Dokonce i ty nejjednotvárnější chvíle si uměl proměnit v zajímavé a - kdoví? - jednoho krásného dne mu možná zachrání život."
"remember","remember","vzpomene","vzpomenout","pf"," He would remember what Fairbanks or Connery or Hiroshi had done in similar circumstances ..."," Třeba si vzpomene, co za podobných okolností podnikli Fairbanks nebo Connery anebo Hiroshi ..."
"think","think","neměla","mít","impf"," But there were no piton-guns aboard Endeavour, and no one could think of any other practical way of driving the necessary hundreds of spikes into that hard, mirror surface."," Ale Endeavour neměla na palubě nastřelovač skob a nikdo nedokázal přijít na žádný jiný v praxi použitelný způsob, jak zavést potřebné stovky stupů do tvrdého, jako zrcadlo hladkého povrchu."
"controlling","control","řídí","řídit","impf"," ' One other point, Boris. What 's controlling Rama now? '"," "" Ten druhý bod, Borisi : co teď Rámu řídí? """
"explain","explain","vysvětlovalo","vysvětlovat","impf"," That would explain why there are no signs of biological life-forms. '"," To by vysvětlovalo, proč tu není ani známky po biologických formách života. """
"thought","think","pomyslil","pomyslit","pf"," it was too bad, he thought with grim humour, that his audience was so small, and could not appreciate the finer details of his performance."," bylo velice mrzuté, pomyslil si s černým humorem, že měl tak málo diváků a že neuměli docenit jemné detaily jeho umění."
"thought","think","měl","mít","impf"," it was too bad, he thought with grim humour, that his audience was so small, and could not appreciate the finer details of his performance."," bylo velice mrzuté, pomyslil si s černým humorem, že měl tak málo diváků a že neuměli docenit jemné detaily jeho umění."
"remained","remain","zůstal","zůstat","pf"," He was going down in a wide spiral, and as long as its pitch remained fairly flat his chances of survival were good."," Snášel se po široké spirále, a pokud by jí takový mírný sklon zůstal, měl dobré šance, že to přežije."
"arrived","arrive","dorazil","dorazit","pf"," Dr Carlisle Perera 's arrived twice - once via the Survey 's own network, and once by PLANETCOM, RAMA PRIORITY."," Návrh dr. Carlisla Perery dorazil hned dvakrát - jednou prostřednictvím vlastní komunikační sítě Kosmického průzkumu, a jednou přes PLANETKOM, jako BLESKOVÝ HOVOR S RÁMOU."
"taken","take","trvalo","trvat","impf"," It had taken the scientist approximately five minutes of thought and one millisecond of computer time."," Vědci trvalo najít řešení přibližně pět minut a počítači jednu milisekundu strojového času."
