"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"missed","miss","chybělo","chybět","impf"," The only thing he occasionally missed were the smells of the land, which at home had told him as he woke what nature and the weather had in store."," Jediné, co mu tu občas chybělo, byly právě přírodní pachy, které mu kdysi už při probouzení oznamovaly stav přírody a počasí."
"felt","feel","Pocítil","pocítit","pf"," He felt himself CALMING DOWN, although home was still more than an hour away."," Pocítil, že se už UKLIDNIL, ačkoliv mu domů zbývala dobrá hodina."
"tied","tie","přivázal","přivázat","pf"," Then, with the help of the others, he tied all four limbs to the cornerposts of the bed."," Už s pomocí ostatních pak přivázal všechny čtyři končetiny k rohovým sloupkům postele."
"lay","lie","Ležela","ležet","impf"," She lay stretched out like on a medieval rack, unable either to move or speak."," Ležela napjatá jako na středověkém žebříku, nemohla se hnout ani promluvit."
"move","move","hnout","hnout","pf"," She lay stretched out like on a medieval rack, unable either to move or speak."," Ležela napjatá jako na středověkém žebříku, nemohla se hnout ani promluvit."
"speak","speak","promluvit","promluvit","pf"," She lay stretched out like on a medieval rack, unable either to move or speak."," Ležela napjatá jako na středověkém žebříku, nemohla se hnout ani promluvit."
"rolled","roll","valil","valit","impf"," The boy just rolled his eyes and swallowed with excitement."," Kluk jen valil oči a polykal vzrušením."
"swallowed","swallow","polykal","polykat","impf"," The boy just rolled his eyes and swallowed with excitement."," Kluk jen valil oči a polykal vzrušením."
"count","count","počítala","počítat","impf"," The newly announced German doctrine seemed to count on this possibility, at least in Kroloff 's version."," S tím aspoň počítala ohlášená nová německá doktrína, s níž ho ihned seznámil Kroloff."
"took","take","Vzala","vzít","pf"," It took his breath away."," Vzala mu dech."
"convinced","convince","přesvědčeni","přesvědčit","pf"," According to absolutely reliable sources, British prime minister Churchill and the new American president Truman were convinced that Stalin intended to establish Communist regimes in all the territories occupied by the Red Army, thus building a bridgehead that would let him quickly conquer the rest of Europe."," Podle naprosto spolehlivých zdrojů měli být britský ministerský předseda Churchill a nový americký president Truman mezitím přesvědčeni, že Stalin hodlá rozšířit komunistický režim na všecka území obsazená Rudou armádou, aby si vytvořil předmostí k rychlému dobytí zbytku Evropy."
"intended","intend","hodlá","hodlat","impf"," According to absolutely reliable sources, British prime minister Churchill and the new American president Truman were convinced that Stalin intended to establish Communist regimes in all the territories occupied by the Red Army, thus building a bridgehead that would let him quickly conquer the rest of Europe."," Podle naprosto spolehlivých zdrojů měli být britský ministerský předseda Churchill a nový americký president Truman mezitím přesvědčeni, že Stalin hodlá rozšířit komunistický režim na všecka území obsazená Rudou armádou, aby si vytvořil předmostí k rychlému dobytí zbytku Evropy."
"establish","establish","vytvořil","vytvořit","pf"," According to absolutely reliable sources, British prime minister Churchill and the new American president Truman were convinced that Stalin intended to establish Communist regimes in all the territories occupied by the Red Army, thus building a bridgehead that would let him quickly conquer the rest of Europe."," Podle naprosto spolehlivých zdrojů měli být britský ministerský předseda Churchill a nový americký president Truman mezitím přesvědčeni, že Stalin hodlá rozšířit komunistický režim na všecka území obsazená Rudou armádou, aby si vytvořil předmostí k rychlému dobytí zbytku Evropy."
"building","build","vytvořil","vytvořit","pf"," According to absolutely reliable sources, British prime minister Churchill and the new American president Truman were convinced that Stalin intended to establish Communist regimes in all the territories occupied by the Red Army, thus building a bridgehead that would let him quickly conquer the rest of Europe."," Podle naprosto spolehlivých zdrojů měli být britský ministerský předseda Churchill a nový americký president Truman mezitím přesvědčeni, že Stalin hodlá rozšířit komunistický režim na všecka území obsazená Rudou armádou, aby si vytvořil předmostí k rychlému dobytí zbytku Evropy."
"waiting","wait","čekali","čekat","impf"," After her first appearance in the German Theater 's troupe, two Viennese petty officers were waiting for her afterward by the back door, offering her an evening out."," Už jak se poprvé objevila ve sboru Německého divadla, čekali na ni pak u zadního vchodu dva poddůstojníci z Vídně, kteří jí nabídli šarmantní večer."
"offering","offer","nabídli","nabídnout","pf"," After her first appearance in the German Theater 's troupe, two Viennese petty officers were waiting for her afterward by the back door, offering her an evening out."," Už jak se poprvé objevila ve sboru Německého divadla, čekali na ni pak u zadního vchodu dva poddůstojníci z Vídně, kteří jí nabídli šarmantní večer."
"say","say","vyslovit","vyslovit","pf"," When he rang the bell he did not even have the chance to say his name before her voice broke in :"," Po zazvonění nestačil ani vyslovit jméno, když se ozval její hlas."
"worn","wear","měl","mít","impf"," This time she was wrapped in the white bath towel he had worn the day before;"," Tentokrát ho čekala ovinuta v bílé osušce, kterou měl včera on;"
"set","set","položit","položit","pf"," He set up a military storehouse at my place, she said mockingly, and Buback did not dare to ask the next logical question."," Založil u mě armádní sklad! vysmívala se mu, a Buback se neodvážil položit další logickou otázku."
"considered","consider","uvažoval","uvažovat","impf"," He considered the matter quickly."," Spěšně uvažoval."
"swallowed","swallow","spolkla","spolknout","pf"," However many she 'd swallowed, her condition indicated that they had not yet dissolved completely."," Ať už jich spolkla kolik chtěla, její stav podle veškeré jeho zkušenosti nenapovídal, že už se v ní rozpustily."
"dissolved","dissolve","rozpustily","rozpustit","pf"," However many she 'd swallowed, her condition indicated that they had not yet dissolved completely."," Ať už jich spolkla kolik chtěla, její stav podle veškeré jeho zkušenosti nenapovídal, že už se v ní rozpustily."
"grabbed","grab","Popadl","popadnout","pf"," He grabbed her by the hands and pulled her up forcefully."," Popadl ji za ruce a násilím zvedal sám."
"hauled","haul","vléct","vléci","impf"," He hauled her over to the sink so as not to have to drag her down the stairs to the toilet."," Dotáhl ji k umyvadlu, aby ji nemusel vléct po schodech dolů na záchod."
"drag","drag","vléct","vléci","impf"," He hauled her over to the sink so as not to have to drag her down the stairs to the toilet."," Dotáhl ji k umyvadlu, aby ji nemusel vléct po schodech dolů na záchod."
"count","count","spočítat","spočítat","pf"," To dispell the shock, he had them count up their money."," Aby přišli k sobě, nechal je spočítat, kolik mají dohromady peněz."
"left","leave","vyrazil","vyrazit","pf"," When he 'd left the runt 's yesterday for the radio station, he 'd completely forgotten he was broke."," Než včera vyrazil od toho prcka k rozhlasu, úplně zapomněl, že je na mizině."
"left","leave","zapomněl","zapomenout","pf"," When he 'd left the runt 's yesterday for the radio station, he 'd completely forgotten he was broke."," Než včera vyrazil od toho prcka k rozhlasu, úplně zapomněl, že je na mizině."
"forgotten","forget","zapomněl","zapomenout","pf"," When he 'd left the runt 's yesterday for the radio station, he 'd completely forgotten he was broke."," Než včera vyrazil od toho prcka k rozhlasu, úplně zapomněl, že je na mizině."
"drop","drop","opustit","opustit","pf"," - If the Germans see the second murder the same way we do, they might drop the theory that this is the work of the Czech Resistance."," - Pokud budou Němci hodnotit druhou vraždu jako my, mohou opustit tezi, že jde o akty českého odboje."
"do","do","jde","jít","impf"," - If the Germans see the second murder the same way we do, they might drop the theory that this is the work of the Czech Resistance."," - Pokud budou Němci hodnotit druhou vraždu jako my, mohou opustit tezi, že jde o akty českého odboje."
"objected","object","namítl","namítnout","pf"," - But then there 'd be no reason ..., Morava objected, but fell silent when the superintendent put his index finger to his lips."," - Ale to by pak neměli důvod ... namítl Morava a zmlkl, když si dal vrchní komisař před ústa ukazováček."
"put","put","dal","dát","pf"," - But then there 'd be no reason ..., Morava objected, but fell silent when the superintendent put his index finger to his lips."," - Ale to by pak neměli důvod ... namítl Morava a zmlkl, když si dal vrchní komisař před ústa ukazováček."
"assume","assume","Předpokládám","předpokládat","impf"," - I assume, Beran said, - that out of simple collegiality they wo n't recall the chief detective just yet."," - Předpokládám, řekl Beran, - že od nás pana vrchního kriminálního radu neodvolají už z prosté kolegiality."
"said","say","řekl","říci","pf"," - I assume, Beran said, - that out of simple collegiality they wo n't recall the chief detective just yet."," - Předpokládám, řekl Beran, - že od nás pana vrchního kriminálního radu neodvolají už z prosté kolegiality."
