"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"called","call","zavolal","zavolat","pf"," “ Mr Utterson, sir, asking to see you, ” he called; and even as he did so, once more violently signed to the lawyer to give ear."," "" Prosím, je tu pan Utterson, přeje si s vámi mluvit, pane doktore, "" zavolal a přitom znovu ještě důrazněji advokátovi naznačil, aby nastražil uši."
"haunted","haunt","strašila","strašit","impf"," The figure in these two phases haunted the lawyer all night; and if at any time he dozed over, it was but to see it glide more stealthily through sleeping houses, or move the more swiftly, and still the more swiftly, even to dizziness, through wider labyrinths of lamp-lighted city, and at every street corner crush a child and leave her screaming."," Ta postava v těchto dvou obdobách strašila advokáta celou noc, a jestliže chvilkami podřimoval, viděl ji znovu, jak se pokradmu plíží spícími domy, nebo zas rychleji, a ještě rychleji, až závratně rychle se žene rozsáhlejším bludištěm osvětleného města a na každém rohu ulice podupá dítě a nechá je tam křičící ležet."
"see","see","viděl","vidět","impf"," The figure in these two phases haunted the lawyer all night; and if at any time he dozed over, it was but to see it glide more stealthily through sleeping houses, or move the more swiftly, and still the more swiftly, even to dizziness, through wider labyrinths of lamp-lighted city, and at every street corner crush a child and leave her screaming."," Ta postava v těchto dvou obdobách strašila advokáta celou noc, a jestliže chvilkami podřimoval, viděl ji znovu, jak se pokradmu plíží spícími domy, nebo zas rychleji, a ještě rychleji, až závratně rychle se žene rozsáhlejším bludištěm osvětleného města a na každém rohu ulice podupá dítě a nechá je tam křičící ležet."
"leave","leave","nechá","nechat","pf"," The figure in these two phases haunted the lawyer all night; and if at any time he dozed over, it was but to see it glide more stealthily through sleeping houses, or move the more swiftly, and still the more swiftly, even to dizziness, through wider labyrinths of lamp-lighted city, and at every street corner crush a child and leave her screaming."," Ta postava v těchto dvou obdobách strašila advokáta celou noc, a jestliže chvilkami podřimoval, viděl ji znovu, jak se pokradmu plíží spícími domy, nebo zas rychleji, a ještě rychleji, až závratně rychle se žene rozsáhlejším bludištěm osvětleného města a na každém rohu ulice podupá dítě a nechá je tam křičící ležet."
"said","say","řekl","říci","pf"," “ The doctor was confined to the house, ” Poole said, “ and saw no one. ”"," Podle toho, co mu řekl Poole, doktor nevycházel z domu a nikoho nepřijímal."
"say","say","řekl","říci","pf"," “ It is, as you say, rather quaint, ” returned Guest."," "" Věru, dost zvláštní, jak jste řekl, "" přisvědčil Guest."
"speak","speak","řekl","říci","pf"," “ I wouldn ’ t speak of this note, you know, ” said the master."," "" Víte, já bych se o tom dopise radši nezmiňoval, "" řekl advokát."
"said","say","řekl","říci","pf"," “ I wouldn ’ t speak of this note, you know, ” said the master."," "" Víte, já bych se o tom dopise radši nezmiňoval, "" řekl advokát."
"locked","lock","zamkl","zamknout","pf"," But no sooner was Mr Utterson alone that night than he locked the note into his safe, where it reposed from that time forward."," Ale jakmile pan Utterson večer osaměl, ihned dopis zamkl do nedobytné pokladny, kde od té doby odpočíval."
"reposed","repose","odpočíval","odpočívat","impf"," But no sooner was Mr Utterson alone that night than he locked the note into his safe, where it reposed from that time forward."," Ale jakmile pan Utterson večer osaměl, ihned dopis zamkl do nedobytné pokladny, kde od té doby odpočíval."
"displayed","display","neprojevoval","projevovat","impf"," The power of the drug had not been always equally displayed."," Účinek drogy se neprojevoval vždycky stejně."
"conquered","conquer","nepřekonal","překonat","pf"," Even at that time, I had not yet conquered my aversion to the dryness of a life of study."," Ani tehdy jsem ještě nepřekonal nechuť k suchopárnému životu vědce."
"lighten","lighten","ulehčit","ulehčit","pf"," I could not think that this earth contained a place for sufferings and terrors so unmanning; and you can do but one thing, Utterson, to lighten this destiny, and that is to respect my silence. ”"," Nebyl bych si dovedl představit, že jsou tady na zemi někde možné takové útrapy a hrůzy nad lidské síly, a chceš - li mi můj osud ulehčit, Uttersone, můžeš udělat jen jedno, a to je - mít ohled na mé mlčení. """
"do","do","udělat","udělat","pf"," I could not think that this earth contained a place for sufferings and terrors so unmanning; and you can do but one thing, Utterson, to lighten this destiny, and that is to respect my silence. ”"," Nebyl bych si dovedl představit, že jsou tady na zemi někde možné takové útrapy a hrůzy nad lidské síly, a chceš - li mi můj osud ulehčit, Uttersone, můžeš udělat jen jedno, a to je - mít ohled na mé mlčení. """
"think","think","mít","mít","impf"," I could not think that this earth contained a place for sufferings and terrors so unmanning; and you can do but one thing, Utterson, to lighten this destiny, and that is to respect my silence. ”"," Nebyl bych si dovedl představit, že jsou tady na zemi někde možné takové útrapy a hrůzy nad lidské síly, a chceš - li mi můj osud ulehčit, Uttersone, můžeš udělat jen jedno, a to je - mít ohled na mé mlčení. """
"contained","contain","mít","mít","impf"," I could not think that this earth contained a place for sufferings and terrors so unmanning; and you can do but one thing, Utterson, to lighten this destiny, and that is to respect my silence. ”"," Nebyl bych si dovedl představit, že jsou tady na zemi někde možné takové útrapy a hrůzy nad lidské síly, a chceš - li mi můj osud ulehčit, Uttersone, můžeš udělat jen jedno, a to je - mít ohled na mé mlčení. """
"get","get","dostanu","dostat","pf"," Make a clean breast of this in confidence; and I make no doubt I can get you out of it. ”"," Svěř se mi upřímně mezi čtyřma očima a nepochybuj, že tě z toho dostanu. """
"said","say","odpověděl","odpovědět","pf"," “ My good Utterson, ” said the doctor, “ this is very good of you, this is downright good of you, and I cannot find words to thank you in."," "" Milý Uttersone, jsi moc hodný, "" odpověděl doktor, "" jsi opravdu hodný a nenalézám slov, abych ti poděkoval."
"thank","thank","poděkoval","poděkovat","pf"," “ My good Utterson, ” said the doctor, “ this is very good of you, this is downright good of you, and I cannot find words to thank you in."," "" Milý Uttersone, jsi moc hodný, "" odpověděl doktor, "" jsi opravdu hodný a nenalézám slov, abych ti poděkoval."
"seem","seem","zdá","zdát","impf"," “ You seem pretty sure of him, ” said he; „ and for your sake, I hope you may be right."," "" Tak se zdá, jako by sis tím byl úplně jistý, "" řekl, "" a v tvém zájmu doufám, že snad máš pravdu."
"said","say","řekl","říci","pf"," “ You seem pretty sure of him, ” said he; „ and for your sake, I hope you may be right."," "" Tak se zdá, jako by sis tím byl úplně jistý, "" řekl, "" a v tvém zájmu doufám, že snad máš pravdu."
"hope","hope","doufám","doufat","impf"," “ You seem pretty sure of him, ” said he; „ and for your sake, I hope you may be right."," "" Tak se zdá, jako by sis tím byl úplně jistý, "" řekl, "" a v tvém zájmu doufám, že snad máš pravdu."
"appear","appear","objevit","objevit","pf"," If it came to a trial, your name might appear. ”"," Kdyby se to dostalo před soud, mohlo by se objevit tvé jméno. """
"advise","advise","poradit","poradit","pf"," But there is one thing on which you may advise me."," Ale v jedné věci bys mi mohl poradit."
"received","receive","Dostal","dostat","pf"," I have - I have received a letter; and I am at a loss whether I should show it to the police."," Dostal jsem - dostal jsem dopis a jsem na rozpacích, mám - li jej předložit na policii."
"received","receive","dostal","dostat","pf"," I have - I have received a letter; and I am at a loss whether I should show it to the police."," Dostal jsem - dostal jsem dopis a jsem na rozpacích, mám - li jej předložit na policii."
"show","show","předložit","předložit","pf"," I have - I have received a letter; and I am at a loss whether I should show it to the police."," Dostal jsem - dostal jsem dopis a jsem na rozpacích, mám - li jej předložit na policii."
"waiting","wait","čekat","čekat","impf"," Poole, my butler, has his orders; you will find him waiting your arrival with a locksmith."," Můj sluha Poole už má pokyny - bude na tebe čekat se zámečníkem."
"lay","lie","leželo","ležet","impf"," Right in the midst there lay the body of a man sorely contorted and still twitching."," Právě uprostřed leželo tělo muže, zle zkroucené, a ještě sebou škubalo."
"turned","turn","obrátili","obrátit","pf"," They drew near on tiptoe, turned it on its back, and beheld the face of Edward Hyde."," Přistoupili k němu po špičkách, obrátili je naznak a uviděli tvář Edwarda Hyda."
"beheld","behold","uviděli","uvidět","pf"," They drew near on tiptoe, turned it on its back, and beheld the face of Edward Hyde."," Přistoupili k němu po špičkách, obrátili je naznak a uviděli tvář Edwarda Hyda."
"rewarded","reward","odměněna","odměnit","pf"," And at last his patience was rewarded."," Konečně byla jeho trpělivost odměněna."
"drink","drink","vypít","vypít","pf"," I had but to drink the cup, to doff at once the body of the noted professor, and to assume, like a thick cloak, that of Edward Hyde."," Stačilo vypít pohár, abych shodil zevnější podobu věhlasného profesora, a v té chvíli jsem se jako tlustým pláštěm přikryl tělesnou schránkou Edwarda Hyda."
