"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"told","tell","řekl","říci","pf"," Tomas told the patient, the patient told the professor, the professor told his wife, and Tereza had a ticket waiting for her once a week."," Tomáš řekl pacientovi, pacient řekl profesorovi, profesor řekl své ženě a Tereza měla vždycky jednou týdně rezervovánu vstupenku."
"walked","walk","Šla","jít","impf"," She walked there."," Šla pěšky."
"detested","detest","Nenáviděla","nenávidět","impf"," She detested the trams constantly packed with people pushing into one another 's hate-filled embraces, stepping on one another 's feet, tearing off one another 's coat buttons, and shouting insults."," Nenáviděla tramvaje ustavičně přeplněné, kde se na sebe v objetí plném zášti tiskli lidé, šlapali si na nohy, trhali si knoflíky od kabátů a křičeli na sebe nadávky."
"pushing","push","tiskli","tisknout","impf"," She detested the trams constantly packed with people pushing into one another 's hate-filled embraces, stepping on one another 's feet, tearing off one another 's coat buttons, and shouting insults."," Nenáviděla tramvaje ustavičně přeplněné, kde se na sebe v objetí plném zášti tiskli lidé, šlapali si na nohy, trhali si knoflíky od kabátů a křičeli na sebe nadávky."
"stepping","step","šlapali","šlapat","impf"," She detested the trams constantly packed with people pushing into one another 's hate-filled embraces, stepping on one another 's feet, tearing off one another 's coat buttons, and shouting insults."," Nenáviděla tramvaje ustavičně přeplněné, kde se na sebe v objetí plném zášti tiskli lidé, šlapali si na nohy, trhali si knoflíky od kabátů a křičeli na sebe nadávky."
"tearing","tear","trhali","trhat","impf"," She detested the trams constantly packed with people pushing into one another 's hate-filled embraces, stepping on one another 's feet, tearing off one another 's coat buttons, and shouting insults."," Nenáviděla tramvaje ustavičně přeplněné, kde se na sebe v objetí plném zášti tiskli lidé, šlapali si na nohy, trhali si knoflíky od kabátů a křičeli na sebe nadávky."
"shouting","shout","křičeli","křičet","impf"," She detested the trams constantly packed with people pushing into one another 's hate-filled embraces, stepping on one another 's feet, tearing off one another 's coat buttons, and shouting insults."," Nenáviděla tramvaje ustavičně přeplněné, kde se na sebe v objetí plném zášti tiskli lidé, šlapali si na nohy, trhali si knoflíky od kabátů a křičeli na sebe nadávky."
"lost","lose","ztratila","ztratit","pf"," Her soul had lost its onlooker 's curiosity, its malice and pride; it had retreated deep into the body again, to the farthest gut, waiting desperately for someone to call it out."," Její duše ztratila zvědavost diváka, svou zlomyslnost a pýchu : byla už zase kdesi hluboko v těle, v jeho nejposlednější útrobě a čekala zoufale, zda na ni někdo zavolá, aby vystoupila ven."
"waiting","wait","čekala","čekat","impf"," Her soul had lost its onlooker 's curiosity, its malice and pride; it had retreated deep into the body again, to the farthest gut, waiting desperately for someone to call it out."," Její duše ztratila zvědavost diváka, svou zlomyslnost a pýchu : byla už zase kdesi hluboko v těle, v jeho nejposlednější útrobě a čekala zoufale, zda na ni někdo zavolá, aby vystoupila ven."
"call","call","zavolá","zavolat","pf"," Her soul had lost its onlooker 's curiosity, its malice and pride; it had retreated deep into the body again, to the farthest gut, waiting desperately for someone to call it out."," Její duše ztratila zvědavost diváka, svou zlomyslnost a pýchu : byla už zase kdesi hluboko v těle, v jeho nejposlednější útrobě a čekala zoufale, zda na ni někdo zavolá, aby vystoupila ven."
"felt","feel","Cítila","cítit","impf"," She still felt on her anus the touch of the paper she had used to wipe herself."," Cítila ještě na svém konečníku dotek papíru, kterým se utírala."
"wipe","wipe","utírala","utírat","impf"," She still felt on her anus the touch of the paper she had used to wipe herself."," Cítila ještě na svém konečníku dotek papíru, kterým se utírala."
"operated","operate","Operovali","operovat","impf"," He was operated on in the presence of the police, who, when they realized he was doomed anyway, lost interest in him and let him die in the arms of his wife."," Operovali ho za asistence policie, která když zjistila, že romanopisec je odsouzen k smrti, přestala se o něho zajímat a nechala ho zemřít v rukou jeho ženy."
"doomed","doom","odsouzen","odsoudit","pf"," He was operated on in the presence of the police, who, when they realized he was doomed anyway, lost interest in him and let him die in the arms of his wife."," Operovali ho za asistence policie, která když zjistila, že romanopisec je odsouzen k smrti, přestala se o něho zajímat a nechala ho zemřít v rukou jeho ženy."
"let","let","nechala","nechat","pf"," He was operated on in the presence of the police, who, when they realized he was doomed anyway, lost interest in him and let him die in the arms of his wife."," Operovali ho za asistence policie, která když zjistila, že romanopisec je odsouzen k smrti, přestala se o něho zajímat a nechala ho zemřít v rukou jeho ženy."
"die","die","zemřít","zemřít","pf"," He was operated on in the presence of the police, who, when they realized he was doomed anyway, lost interest in him and let him die in the arms of his wife."," Operovali ho za asistence policie, která když zjistila, že romanopisec je odsouzen k smrti, přestala se o něho zajímat a nechala ho zemřít v rukou jeho ženy."
"died","die","umírali","umírat","impf"," But many also died without being directly subjected to persecution;"," Ale umírali i ti, které nikdo přímo nepronásledoval."
"pervading","pervade","pronikala","pronikat","impf"," the hopelessness pervading the entire country penetrated the soul to the body, shattering the latter."," Beznaděj, která se zmocnila země, pronikala přes duši k tělům a drtila je."
"penetrated","penetrate","pronikala","pronikat","impf"," the hopelessness pervading the entire country penetrated the soul to the body, shattering the latter."," Beznaděj, která se zmocnila země, pronikala přes duši k tělům a drtila je."
"shattering","shatter","drtila","drtit","impf"," the hopelessness pervading the entire country penetrated the soul to the body, shattering the latter."," Beznaděj, která se zmocnila země, pronikala přes duši k tělům a drtila je."
"ran","run","utíkali","utíkat","impf"," Some ran desperately from the favour of a regime that wanted to endow them with the honour of displaying them side by side with its new leaders."," Někteří zoufale utíkali před přízní režimu, který je chtěl obdaroval poctami a donutit tak, aby se ukázali po boku nových vládců."
"wanted","want","chtěl","chtít","impf"," Some ran desperately from the favour of a regime that wanted to endow them with the honour of displaying them side by side with its new leaders."," Někteří zoufale utíkali před přízní režimu, který je chtěl obdaroval poctami a donutit tak, aby se ukázali po boku nových vládců."
"displaying","display","ukázali","ukázat","pf"," Some ran desperately from the favour of a regime that wanted to endow them with the honour of displaying them side by side with its new leaders."," Někteří zoufale utíkali před přízní režimu, který je chtěl obdaroval poctami a donutit tak, aby se ukázali po boku nových vládců."
