"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"apologize","apologize","omluvil","omluvit","pf"," I was already very late for a party at Pavel Kohout 's place, and I telephoned to apologize; Pavel was annoyed, but I could n't very well explain over the phone why talking to Jirous was more important to me at that moment."," Už jsem měl být dávno na nějakém večírku u Pavla Kohouta, omluvil jsem se a Pavel se na mne mrzel, ale já mu těžko mohl do telefonu vysvětlovat, proč tohle setkání je pro mne momentálně důležitější."
"explain","explain","vysvětlovat","vysvětlovat","impf"," I was already very late for a party at Pavel Kohout 's place, and I telephoned to apologize; Pavel was annoyed, but I could n't very well explain over the phone why talking to Jirous was more important to me at that moment."," Už jsem měl být dávno na nějakém večírku u Pavla Kohouta, omluvil jsem se a Pavel se na mne mrzel, ale já mu těžko mohl do telefonu vysvětlovat, proč tohle setkání je pro mne momentálně důležitější."
"paid","pay","placen","platit","impf"," But this progress - if it really is progress - is not free : it is obviously being paid for by a decline my ability to be quite simply happy as a physical being."," Ten pokrok ovšem - je - li tu opravdu - není zadarmo : zřejmě je placen oním úbytkem schopnosti být jako fyzická osoba docela prostě šťasten."
"avoid","avoid","vyhýbali","vyhýbat","impf"," Their appearance at the congress ended in precisely the kind of global political confrontation that we had tried to avoid, although it was considerably more open and more principled than all such confrontations before, which had always been hopelessly mired in compromise."," To znamená, že jejich vystoupení přece jen bylo nakonec tou globální politickou konfrontací, které jsme se my vyhýbali, byť nepoměrně otevřenější a principiálnější než všechny dosavadní podobné náběhy, beznadějně vždy utopené v kompromisech."
"think","think","máme","mít","impf"," At the time, we did n't quite know what to think of it."," My sami jsme tehdy nevěděli přesně, co si o tom máme myslet."
"think","think","myslet","myslet","impf"," At the time, we did n't quite know what to think of it."," My sami jsme tehdy nevěděli přesně, co si o tom máme myslet."
"passed","pass","pominulo","pominout","pf"," But that soon passed."," To ale brzy pominulo."
"called","call","zavolal","zavolat","pf"," Once the commander of my company, after seeing our performance, called me into his tent and told me that I had played Škrovánek so convincingly that this amounted to a confession of who I really was."," vzpomínám si například, jak mě můj velitel roty poté, co shlédl naše představení, zavolal do svého stanu a sdělil mi, že jsem prý toho záporného Škrovánka zahrál tak přesvědčivě, že jsem mu vlastně napověděl, kým ve skutečnosti jsem."
"told","tell","sdělil","sdělit","pf"," Once the commander of my company, after seeing our performance, called me into his tent and told me that I had played Škrovánek so convincingly that this amounted to a confession of who I really was."," vzpomínám si například, jak mě můj velitel roty poté, co shlédl naše představení, zavolal do svého stanu a sdělil mi, že jsem prý toho záporného Škrovánka zahrál tak přesvědčivě, že jsem mu vlastně napověděl, kým ve skutečnosti jsem."
"played","play","zahrál","zahrát","pf"," Once the commander of my company, after seeing our performance, called me into his tent and told me that I had played Škrovánek so convincingly that this amounted to a confession of who I really was."," vzpomínám si například, jak mě můj velitel roty poté, co shlédl naše představení, zavolal do svého stanu a sdělil mi, že jsem prý toho záporného Škrovánka zahrál tak přesvědčivě, že jsem mu vlastně napověděl, kým ve skutečnosti jsem."
"explain","explain","vysvětloval","vysvětlovat","impf"," I tried in vain to explain to him that Lieutenant Škrovánek had ambitions to become company commander, whereas I had no such ambitions, since my only desire was to get through my hitch in the army with a minimum of fuss."," Marně jsem mu vysvětloval, že nadporučík Škrovánek je ambiciózní důstojník, který usiluje o funkci velitele roty, že já ale takové ambice nemám, protože mou jedinou touhou je v klidu přežít vojnu."
"thought","think","přemýšlel","přemýšlet","impf"," I thought about how one day I would describe the incredibly absurd situations I got into."," přemýšlel jsem, jak jednou popíšu neuvěřitelně absurdní situace, do nichž jsem se tam dostával;"
"describe","describe","popíšu","popsat","pf"," I thought about how one day I would describe the incredibly absurd situations I got into."," přemýšlel jsem, jak jednou popíšu neuvěřitelně absurdní situace, do nichž jsem se tam dostával;"
"rendering","render","podám","podat","pf"," I looked forward at the very least to rendering some colorful, Hrabalesque eyewitness account of the countless, weirdly complex human destinies I encountered there."," těšil jsem se, že podám nějaké přinejmenším hrabalovsky barvité svědectví o tom bezpočtu prazvláštně zauzlených lidských osudů, s nimiž jsem se tam setkal;"
"encountered","encounter","setkal","setkat","pf"," I looked forward at the very least to rendering some colorful, Hrabalesque eyewitness account of the countless, weirdly complex human destinies I encountered there."," těšil jsem se, že podám nějaké přinejmenším hrabalovsky barvité svědectví o tom bezpočtu prazvláštně zauzlených lidských osudů, s nimiž jsem se tam setkal;"
"make","make","dělat","dělat","impf"," And I was frustrated by not being able to make even some rudimentary notes on paper."," trápilo mne, že si o tom všem nemůžu dělat aspoň telegrafické poznámky na kus papíru."
"write","write","nenapíšu","napsat","pf"," But when I got out again, I suddenly realized that I would probably never write anything about prison."," A když jsem se pak octl venku, zjistili jsem najednou, že o vězení zřejmě nikdy nic nenapíšu."
"began","begin","nezačal","začít","pf"," Sometimes I even wonder whether the original reason I began writing, or why I try to do anything at all, was simply to overcome this fundamental experience of not belonging, of embarrassment, of fitting in nowhere, of absurdity - or, rather, to learn how to live with it."," Někdy si dokonce říkám, jestli jsem prapůvodně nezačal psát a vůbec o něco usilovat vlastně jen proto, abych nějak překonal svůj základní zážitek nepatřičnosti, trapnosti, nezařazenosti, prostě absurdity, respektive abych s ním dokázal žít."
"writing","write","psát","psát","impf"," Sometimes I even wonder whether the original reason I began writing, or why I try to do anything at all, was simply to overcome this fundamental experience of not belonging, of embarrassment, of fitting in nowhere, of absurdity - or, rather, to learn how to live with it."," Někdy si dokonce říkám, jestli jsem prapůvodně nezačal psát a vůbec o něco usilovat vlastně jen proto, abych nějak překonal svůj základní zážitek nepatřičnosti, trapnosti, nezařazenosti, prostě absurdity, respektive abych s ním dokázal žít."
"overcome","overcome","překonal","překonat","pf"," Sometimes I even wonder whether the original reason I began writing, or why I try to do anything at all, was simply to overcome this fundamental experience of not belonging, of embarrassment, of fitting in nowhere, of absurdity - or, rather, to learn how to live with it."," Někdy si dokonce říkám, jestli jsem prapůvodně nezačal psát a vůbec o něco usilovat vlastně jen proto, abych nějak překonal svůj základní zážitek nepatřičnosti, trapnosti, nezařazenosti, prostě absurdity, respektive abych s ním dokázal žít."
