"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"killed","kill","zabíjela","zabíjet","impf"," They killed privately, dropping bodies when no one was looking."," Ta zabíjela v ústraní a pohazovala těla, když se nikdo nedíval."
"looking","look","nedíval","dívat","impf"," They killed privately, dropping bodies when no one was looking."," Ta zabíjela v ústraní a pohazovala těla, když se nikdo nedíval."
"kill","kill","zabijete","zabít","pf"," “ That you are going to brand and kill these men in PUBLIC? ”"," "" Že ty lidi ocejchujete a zabijete veřejně? """
"depends","depend","záleží","záležet","impf"," Although it depends what you consider public."," I když záleží na tom, co považujete za veřejné."
"consider","consider","považujete","považovat","impf"," Although it depends what you consider public."," I když záleží na tom, co považujete za veřejné."
"go","go","nechodí","chodit","impf"," I realize not many people go to church anymore. ”"," Uvědomuji si, že dnes už do kostela moc lidí nechodí. """
"pointed","point","ukázal","ukázat","pf"," Langdon spun to the newsman and pointed to the satellite arm."," Langdon se obrátil k reportérovi a ukázal na satelitní anténu."
"Move","move","Přesuňte","přesunout","pf"," “ Move the truck."," "" Přesuňte to auto."
"help","help","pomoct","pomoci","pf"," I need help. ”"," Potřebuju pomoct. """
"explained","explain","objasnil","objasnit","pf"," Langdon explained."," Langdon mu to objasnil."
"help","help","pomoci","pomoci","pf"," We have medicines that will help! ”"," Máme s sebou léky, které by mu mohly pomoci! """
"allow","allow","nedovolili","dovolit","pf"," Frau and Herr Kohler would not allow it."," Manželé Kohlerovi to však nedovolili."
"believe","believe","Nevěřili","věřit","impf"," They did not believe in medicine."," Nevěřili na lékařství."
"prayed","pray","Modlili","modlit","impf"," They prayed harder."," Modlili se ještě usilovněji."
"take","take","vzít","vzít","pf"," After all, God had blessed them with this boy, why would God take the child away?"," Koneckonců, Bůh jim jejich syna daroval, jak by jim ho tedy mohl vzít?"
"buried","bury","pohřbili","pohřbít","pf"," He wondered why they had buried it underground."," Byl by rád věděl, proč jej pohřbili pod zem."
"relieved","relieve","ulevilo","ulevit","pf"," When the elevator thumped to a stop, Langdon was relieved to feel TERRA FIRMA beneath his feet."," Když výtah s žuchnutím zastavil, Langdonovi se ulevilo, že má pod nohama zase pevnou zem."
"find","find","Najdeme","najít","pf"," “ We will find them, ” Olivetti assured."," "" Najdeme je, "" ujišťoval ho Olivetti."
"lost","lose","Ztratili","ztratit","pf"," We 've lost two battles, signore, but we 're winning the war."," Ztratili jsme dvě bitvy, signore, ale válku vyhráváme."
"winning","win","vyhráváme","vyhrávat","impf"," We 've lost two battles, signore, but we 're winning the war."," Ztratili jsme dvě bitvy, signore, ale válku vyhráváme."
"intended","intend","hodlali","hodlat","impf"," The Illuminati had intended to turn this evening into a media circus."," Ilumináti hodlali z tohoto večera udělat mediální pozdvižení."
"thwarted","thwart","zmařili","zmařit","pf"," So far we have thwarted their plan."," Jejich plán jsme jim zatím zmařili."
"recovered","recover","objevena","objevit","pf"," Both cardinals ' bodies have been recovered without incident."," Těla obou kardinálů byla objevena bez incidentu."
"running","run","procházel","procházet","impf"," As Rocher headed down the hall, a guard appeared, running toward him."," Když procházel vestibulem spatřil gardistu, který mu běžel vstříc."
"running","run","běžel","běžet","impf"," As Rocher headed down the hall, a guard appeared, running toward him."," Když procházel vestibulem spatřil gardistu, který mu běžel vstříc."
"recognized","recognize","poznal","poznat","pf"," Even by candlelight Rocher recognized Lieutenant Chartrand."," I ve slabém světle svíček poznal Rocher poručíka Chartranda."
"called","call","volal","volat","impf"," “ Captain, ” Chartrand called, holding out a cellular phone."," "" Pane kapitáne, "" volal Chartrand s mobilním telefonem v ruce."
"help","help","pomoct","pomoci","pf"," We 've got a caller here who says he has information that can help us."," Někdo tvrdí, že má informaci, která by nám mohla pomoct."
"phoned","phone","Volá","volat","impf"," He phoned on one of the Vatican 's private extensions."," Volá na jednu z vatikánských soukromých linek."
"needed","need","museli","muset","impf"," Galileo 's Illuminati needed to protect themselves from the Vatican, so they founded an ultrasecret Illuminati meeting place here in Rome."," Galileovi ilumináti se museli před Vatikánem ukrývat, a proto si v Římě našli supertajné místo, kde se scházeli."
"called","call","říkali","říkat","impf"," They called it The Church of Illumination. ”"," Místu říkali Chrám iluminace čili Osvícení. """
"calling","call","nazvat","nazvat","pf"," “ Pretty bold calling a satanic lair a CHURCH. ”"," "" Pěkná drzost, nazvat satanistické doupě chrámem. """
"coming","come","přichází","přicházet","impf"," It seemed to be coming from the end of the hallway in front of them."," Zdálo se, že přichází odněkud z konce chodby, kterou procházeli."
"yell","yell","křičet","křičet","impf"," Langdon finally asked, having to yell."," Když se Langdon konečně odhodlal k otázce, už musel křičet."
"approaching","approach","blížili","blížit","impf"," He felt like they were approaching an active volcano."," Měl pocit, jako kdyby se blížili k činné sopce."
"replied","reply","odpověděl","odpovědět","pf"," “ Free Fall Tube, ” Kohler replied, his hollow voice cutting the air effortlessly."," "" Vakuová trubice pro volný pád, "" odpověděl Kohler, jehož dutý hlas byl přes všechen ten hluk zřetelný."
"offered","offer","nenabídl","nabídnout","pf"," He offered no other explanation."," Žádné další vysvětlení nenabídl."
"ask","ask","neptal","ptát","impf"," Langdon did n't ask."," Langdon se neptal."
"seemed","seem","zdálo","zdát","impf"," He was exhausted, and Maximilian Kohler seemed disinterested in winning any hospitality awards."," Byl vyčerpaný a zdálo se mu, že Maximilián Kohler nemá zrovna zájem získat cenu za pohostinnost."
"winning","win","získat","získat","pf"," He was exhausted, and Maximilian Kohler seemed disinterested in winning any hospitality awards."," Byl vyčerpaný a zdálo se mu, že Maximilián Kohler nemá zrovna zájem získat cenu za pohostinnost."
"reminded","remind","připomněl","připomenout","pf"," Langdon reminded himself why he was here."," Langdon si připomněl, proč tu vlastně je."
"resounded","resound","zněl","znít","impf"," The voice in his head resounded like peals of thunder."," Hlas, ozývající se v jeho hlavě, zněl jako rachot hromu."
"cried","cry","zvolal","zvolat","pf"," “ Yes! ” the camerlegno cried out."," "" Ano! "" zvolal camerlengo."
"Take","take","Vezmi","vzít","pf"," Take me now! ”"," Vezmi si mě hned! """
"followed","follow","Následovalo","následovat","impf"," It was in the silence that followed that the camerlegno felt himself falling into the abyss."," Následovalo mlčení, během něhož měl camerlengo pocit, že padá do propasti."
"falling","fall","padá","padat","impf"," It was in the silence that followed that the camerlegno felt himself falling into the abyss."," Následovalo mlčení, během něhož měl camerlengo pocit, že padá do propasti."
"called","call","nazýval","nazývat","impf"," Peter 's faith in God was so steadfast that Jesus called Peter “ the rock ” - the unwavering disciple on whose shoulders Jesus would build his church."," Petrova víra v Boha byla tak pevná, že ho Ježíš nazýval "" skálou "" - neochvějným žákem, na jehož ramenou vybuduje svou církev."
"build","build","vybuduje","vybudovat","pf"," Peter 's faith in God was so steadfast that Jesus called Peter “ the rock ” - the unwavering disciple on whose shoulders Jesus would build his church."," Petrova víra v Boha byla tak pevná, že ho Ježíš nazýval "" skálou "" - neochvějným žákem, na jehož ramenou vybuduje svou církev."
"realized","realize","uvědomil","uvědomit","pf"," On this very location, Langdon realized - Vatican Hill - Peter had been crucified and buried."," Jak si Langdon uvědomil, přesně na tomto místě - na Vatikánském pahorku - byl Petr ukřižován a pohřben."
"buried","bury","pohřben","pohřbít","pf"," On this very location, Langdon realized - Vatican Hill - Peter had been crucified and buried."," Jak si Langdon uvědomil, přesně na tomto místě - na Vatikánském pahorku - byl Petr ukřižován a pohřben."
"built","build","postavili","postavit","pf"," The early Christians built a small shrine over his tomb."," Nad jeho hrobem postavili prvotní křesťané malý svatostánek."
"culminating","culminate","vyvrcholil","vyvrcholit","pf"," As Christianity spread, the shrine got bigger, layer upon layer, culminating in this colossal basilica."," Jak se křesťanství rozšiřovalo, kostelík se zvětšoval, na témže místě se nad starým postavil nový, až nakonec ten řetěz vyvrcholil dnešní kolosální bazilikou."
"built","build","vybudována","vybudovat","pf"," The entire Catholic faith had been built, quite literally, upon St. Peter."," Celá katolická církev je tak doslova vybudována na svatém Petru."
"wondered","wonder","uvažovala","uvažovat","impf"," Sylvie wondered if she should page Kohler, wherever the hell he was, and tell him to turn on the news."," Sylvie uvažovala, má - li začít Kohlera shánět, ať už je sakra kdekoli, a říct mu, aby si pustil zprávy."
"tell","tell","říct","říci","pf"," Sylvie wondered if she should page Kohler, wherever the hell he was, and tell him to turn on the news."," Sylvie uvažovala, má - li začít Kohlera shánět, ať už je sakra kdekoli, a říct mu, aby si pustil zprávy."
"heard","hear","slyšel","slyšet","impf"," Had he heard?"," Nebo to už slyšel?"
"heard","hear","slyšel","slyšet","impf"," Of course, he 'd heard."," Ale ano, určitě to slyšel."
