"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"pressed","press","stiskl","stisknout","pf"," The Vogon Captain pressed a communicator button which connected him with the remains of his crew."," Vogon stiskl tlačítko komunikátoru, jenž ho spojoval s chabými zbytky posádky."
"connected","connect","spojoval","spojovat","impf"," The Vogon Captain pressed a communicator button which connected him with the remains of his crew."," Vogon stiskl tlačítko komunikátoru, jenž ho spojoval s chabými zbytky posádky."
"swearing","swear","nadával","nadávat","impf"," At that precise moment Zaphod Beeblebrox was in his cabin swearing very loudly."," Právě v tu chvíli Zafod Bíblbrox ve své kabině pustě nadával."
"said","say","odpověděl","odpovědět","pf"," “ For all I know, ” said Gargravarr ’ s ethereal voice, “ I ’ m probably at one."," "" Co já vím, možná že právě na nějakém večírku jsem, "" odpověděl nadpozemský hlas."
"goes","go","Chodí","chodit","impf"," It goes to a lot of parties without me."," Chodí na spousty večírků beze mě."
"try","try","Snažte","snažit","impf"," “ Can you try and understand, ” he said, “ that it ’ s just since we ’ ve arrived that they ’ ve started dying out! ”"," "" Snažte se to pochopit : začali vymírat teprve potom, co jsme přišli! """
"understand","understand","pochopit","pochopit","pf"," “ Can you try and understand, ” he said, “ that it ’ s just since we ’ ve arrived that they ’ ve started dying out! ”"," "" Snažte se to pochopit : začali vymírat teprve potom, co jsme přišli! """
"started","start","začali","začít","pf"," “ Can you try and understand, ” he said, “ that it ’ s just since we ’ ve arrived that they ’ ve started dying out! ”"," "" Snažte se to pochopit : začali vymírat teprve potom, co jsme přišli! """
"arrived","arrive","přišli","přijít","pf"," “ Can you try and understand, ” he said, “ that it ’ s just since we ’ ve arrived that they ’ ve started dying out! ”"," "" Snažte se to pochopit : začali vymírat teprve potom, co jsme přišli! """
"muttered","mutter","zamumlal","zamumlat","pf"," “ He should be, ” muttered Ford."," "" Měl by být, "" zamumlal Ford."
"left","leave","nechali","nechat","pf"," And look what else they ’ ve left me. ”"," Podívej, co mi tu ještě nechali. """
"say","say","Říkám","říkat","impf"," “ I do say so."," "" Říkám."
"means","mean","znamená","znamenat","impf"," That means that these natives, these apemen are an integral part of the computer program, and that we and the Golgafrinchans are not. ”"," To znamená, že tihle domorodci, tihle opolidé, jsou nedílnou součástí programu počítače, což my a Golgafrinčamané nejsme. """
"replace","replace","nahradí","nahradit","pf"," “ But the cavemen are dying out and the Golgafrinchans are obviously set to replace them. ”"," "" Ale jeskynní lidé vymírají a je jasné, že Golgafrinčamané je nahradí. """
"see","see","chápeš","chápat","impf"," So do you see what this means? ”"," Takže jistě chápeš, co to znamená? """
"thought","think","pomyslel","pomyslet","pf"," Didn ’ t look too bad, thought Zaphod."," Tak zle to zas nevypadá, pomyslel si Zafod."
"said","say","řekl","říci","pf"," “ OK, OK, ” said Zaphod."," "" Nojo, nojo, "" řekl Zafod."
"opened","open","Otevřel","otevřít","pf"," He opened the door of the box and stepped in."," Otevřel dveře a vstoupil."
"waited","wait","čekal","čekat","impf"," Inside the box he waited."," A čekal."
"turned","turn","obrátila","obrátit","pf"," The black ship glided smoothly forward out of its bay, turned, and moved down the central causeway swiftly and quietly."," Černá raketa hladce vyklouzla z kóje, obrátila se a hbitě a tiše sjela po hlavní cestě."
"accelerated","accelerate","zrychlila","zrychlit","pf"," At the end it accelerated rapidly, flung itself into the temporal launch chamber and began the long journey back into the distant past."," Na jejím konci prudce zrychlila, vřítila se do časové odpalovací komory a vyrazila na dlouhou cestu zpět do vzdálené minulosti."
"looked","look","podíval","podívat","pf"," Arthur looked."," Arthur se podíval."
"saw","see","Viděl","vidět","impf"," He saw the solid wall of blue ice."," Viděl souvislou stěnu z modrého ledu."
"seen","see","díval","dívat","impf"," I ’ ve already seen it. ”"," Už jsem se na něj díval. """
"cried","cry","křičeli","křičet","impf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"go","go","jdou","jít","impf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"pestering","pester","otravovali","otravovat","impf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"stop","stop","přestali","přestat","pf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"break","break","přestali","přestat","pf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"break","break","propukli","propuknout","pf"," And when the travellers cried out, saying why didn ’ t they go away and get on with writing some poems instead of pestering people with all this rock-throwing business, they would suddenly stop, and then break into one of the seven hundred and ninety-four great Song Cycles of Vassilian."," A když poutníci křičeli, ať jdou pryč a hledí si psaní básní, místo aby otravovali lidi házením kamení a jinými pitomostmi, básníci najednou přestali házet a z ničeho nic propukli v recitaci některého ze sedmi set devadesáti čtyř Vassillijských epických cyklů."
"like","like","Chceš","chtít","impf"," Would you like me to go and stick my head in a bucket of water?"," Chceš, abych strčil hlavu do kýblu s vodou?"
"stick","stick","strčil","strčit","pf"," Would you like me to go and stick my head in a bucket of water?"," Chceš, abych strčil hlavu do kýblu s vodou?"
"Wait","wait","Počkej","počkat","pf"," Wait a minute. ”"," Počkej chvíli. """
"saying","say","říká","říkat","impf"," “ What ’ s he saying? ” asked Trillian."," "" Co říká? "" zajímala se Trillian."
"use","use","užívat","užívat","impf"," “ At the End of the Universe you have to use the past tense a lot, ” said Zaphod, “ cos everything ’ s been done you know."," "" Na konci vesmíru musíš hodně užívat minulý čas, protože už je po všem."
"asked","ask","zeptal","zeptat","pf"," “ Is that Zaphod Beeblebrox? ” asked one iguana of another iguana."," "" Není to Zafod Bíblbrox? "" zeptal se jeden leguán druhého."
"think","think","Myslím","myslet","impf"," “ I think so, ” replied the second iguana."," "" Myslím, že jo? "" odpověděl druhý leguán."
"replied","reply","odpověděl","odpovědět","pf"," “ I think so, ” replied the second iguana."," "" Myslím, že jo? "" odpověděl druhý leguán."
"said","say","řekl","říci","pf"," “ Well doesn ’ t that just take the biscuit, ” said the first iguana."," "" To je teda gól, "" řekl zase první."
"gone","go","dělá","dělat","impf"," He didn ’ t know if it was gone or was still there or what it was doing."," Nevěděl, jestli hlas zmizel, nebo zůstal, nebo co vlastně dělá."
"doing","do","dělá","dělat","impf"," He didn ’ t know if it was gone or was still there or what it was doing."," Nevěděl, jestli hlas zmizel, nebo zůstal, nebo co vlastně dělá."
"saying","say","Říkáš","říkat","impf"," “ So you keep saying. ”"," "" Říkáš ty. """
"see","see","chápeš","chápat","impf"," “ You get this bath, see?"," "" Máš tu vanu, chápeš?"
"Imagine","imagine","Představ","představit","pf"," Imagine you ’ ve got this bath."," Představ si, že máš vanu."
"telling","tell","říkám","říkat","impf"," Will you try to comprehend what I ’ m telling you?"," "" Tak budeš už konečně poslouchat, co říkám?"
