"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"told","tell","Sdělil","sdělit","pf"," I also told her that certain wicked and designing persons - I hope you recognize yourself - would come to her and tell her these things, and I warned her how to treat them."," Sdělil jsem jí rovněž, že ji vyhledají jistí darebáci se zlotřilými úmysly - doufám, že se poznáváte - a budou jí ty historky vyprávět, a připravil jsem ji na to, jak je má přijmout."
"tell","tell","Sdělil","sdělit","pf"," I also told her that certain wicked and designing persons - I hope you recognize yourself - would come to her and tell her these things, and I warned her how to treat them."," Sdělil jsem jí rovněž, že ji vyhledají jistí darebáci se zlotřilými úmysly - doufám, že se poznáváte - a budou jí ty historky vyprávět, a připravil jsem ji na to, jak je má přijmout."
"hope","hope","doufám","doufat","impf"," I also told her that certain wicked and designing persons - I hope you recognize yourself - would come to her and tell her these things, and I warned her how to treat them."," Sdělil jsem jí rovněž, že ji vyhledají jistí darebáci se zlotřilými úmysly - doufám, že se poznáváte - a budou jí ty historky vyprávět, a připravil jsem ji na to, jak je má přijmout."
"told","tell","vyprávět","vyprávět","impf"," I also told her that certain wicked and designing persons - I hope you recognize yourself - would come to her and tell her these things, and I warned her how to treat them."," Sdělil jsem jí rovněž, že ji vyhledají jistí darebáci se zlotřilými úmysly - doufám, že se poznáváte - a budou jí ty historky vyprávět, a připravil jsem ji na to, jak je má přijmout."
"tell","tell","vyprávět","vyprávět","impf"," I also told her that certain wicked and designing persons - I hope you recognize yourself - would come to her and tell her these things, and I warned her how to treat them."," Sdělil jsem jí rovněž, že ji vyhledají jistí darebáci se zlotřilými úmysly - doufám, že se poznáváte - a budou jí ty historky vyprávět, a připravil jsem ji na to, jak je má přijmout."
"heard","hear","Slyšel","slyšet","impf"," You have heard of post-hypnotic suggestion, Mr. Holmes?"," Slyšel jste už o posthypnotickém vlivu, pane Holmesi?"
"remember","remember","Pamatuješ","pamatovat","impf"," You remember the kind of numb cold which used to come at evening, a deadly, sickening sort of cold, very different from a crisp healthy frost."," Pamatuješ se, jak se tam s večerem snášel takový ochromující chlad, hrozivý, nebezpečný, docela jiný než jiskřivý zdravý mrazík."
"revealing","reveal","odhalil","odhalit","pf"," “ You place me in a most serious dilemma for I am perfectly certain that you would be proud to take over the case if I could give you the facts, and yet a promise forbids me from revealing them all."," "" Stavíte mne před velice vážné dilema, neboť jsem si naprosto jist, že byste se s oprávněnou hrdostí ujal této věci, kdybych vás mohl seznámit s fakty, avšak daný slib mi nedovoluje, abych vám je odhalil všechny."
"heard","hear","slyšel","slyšet","impf"," In the first place, you have no doubt heard of General de Merville? ”"," Za prvé tedy předpokládám, že jste už slyšel o generálu de Mervillovi? """
"enters","enter","vejde","vejít","pf"," “ When a gentleman of virile appearance enters my room with such tan upon his face as an English sun could never give, and with his handkerchief in his sleeve instead of in his pocket, it is not difficult to place him."," "" Když ke mně vejde pán mužného zjevu, snědý ve tváři tak, jak by se na anglickém slunci nikdy neopálil, s kapesníkem v rukávu namísto v kapse, není těžké ho zařadit."
"place","place","zařadit","zařadit","pf"," “ When a gentleman of virile appearance enters my room with such tan upon his face as an English sun could never give, and with his handkerchief in his sleeve instead of in his pocket, it is not difficult to place him."," "" Když ke mně vejde pán mužného zjevu, snědý ve tváři tak, jak by se na anglickém slunci nikdy neopálil, s kapesníkem v rukávu namísto v kapse, není těžké ho zařadit."
"wear","wear","Nosíte","nosit","impf"," You wear a short beard, which shows that you were not a regular."," Nosíte bradku, což ukazuje, že nejste voják z povolání."
"shows","show","ukazuje","ukazovat","impf"," You wear a short beard, which shows that you were not a regular."," Nosíte bradku, což ukazuje, že nejste voják z povolání."
"shown","show","prozradila","prozradit","pf"," As to Middlesex, your card has already shown me that you are a stockbroker from Throgmorton Street."," A pokud jde o ten Middlesex : vaše navštívenka mi prozradila, že jste burzovní makléř ze Throgmorton Street."
"burden","burden","nezatěžuji","zatěžovat","impf"," Speaking of my old friend and biographer, I would take this opportunity to remark that if I burden myself with a companion in my various little inquiries it is not done out of sentiment or caprice, but it is that Watson has some remarkable characteristics of his own to which in his modesty he has given small attention amid his exaggerated estimates of my own performances."," A když už padla zmínka o mém starém příteli a životopisci, využiji příležitosti, abych čtenáře ujistil, že se nezatěžuji přítomností společníka při svých všelijakých výzkumných výpravách ani ze sentimentality, ani z rozmaru, ale proto, že Watson má jisté pozoruhodné osobní vlastnosti, jimž ve své skromnosti nevěnuje pozornost, zatímco přehnaně vychvaluje mé vlastní výkony."
"given","give","nevěnuje","věnovat","impf"," Speaking of my old friend and biographer, I would take this opportunity to remark that if I burden myself with a companion in my various little inquiries it is not done out of sentiment or caprice, but it is that Watson has some remarkable characteristics of his own to which in his modesty he has given small attention amid his exaggerated estimates of my own performances."," A když už padla zmínka o mém starém příteli a životopisci, využiji příležitosti, abych čtenáře ujistil, že se nezatěžuji přítomností společníka při svých všelijakých výzkumných výpravách ani ze sentimentality, ani z rozmaru, ale proto, že Watson má jisté pozoruhodné osobní vlastnosti, jimž ve své skromnosti nevěnuje pozornost, zatímco přehnaně vychvaluje mé vlastní výkony."
"suffered","suffer","trpěl","trpět","impf"," Are we assured that the apprehension from which this young man has no doubt suffered terribly since his exposure to its contagion may not produce a physical effect which simulates that which it fears?"," Jak můžeme vědět, že obavy, jimiž tento mladý muž bezpochyby hrozně trpěl od té doby, kdy byl vystaven nákaze, nevyvolaly fyzické projevy, které napodobily to, čeho se děsil?"
"produce","produce","nevyvolaly","vyvolat","pf"," Are we assured that the apprehension from which this young man has no doubt suffered terribly since his exposure to its contagion may not produce a physical effect which simulates that which it fears?"," Jak můžeme vědět, že obavy, jimiž tento mladý muž bezpochyby hrozně trpěl od té doby, kdy byl vystaven nákaze, nevyvolaly fyzické projevy, které napodobily to, čeho se děsil?"
"simulates","simulate","napodobily","napodobit","pf"," Are we assured that the apprehension from which this young man has no doubt suffered terribly since his exposure to its contagion may not produce a physical effect which simulates that which it fears?"," Jak můžeme vědět, že obavy, jimiž tento mladý muž bezpochyby hrozně trpěl od té doby, kdy byl vystaven nákaze, nevyvolaly fyzické projevy, které napodobily to, čeho se děsil?"
"go","go","jděte","jít","impf"," My last word to you is, go your own way and let me go mine."," Říkám vám naposled : jděte si svou cestou a mne nechte na pokoji."
"go","go","jděte","jít","impf"," My last word to you is, go your own way and let me go mine."," Říkám vám naposled : jděte si svou cestou a mne nechte na pokoji."
"let","let","nechte","nechat","pf"," My last word to you is, go your own way and let me go mine."," Říkám vám naposled : jděte si svou cestou a mne nechte na pokoji."
"says","say","řeknou","říci","pf"," I disregard the blusterer, but this is the sort of man who says rather less than he means. ”"," Chvastounů si nevšímám, ale baron je z těch, kdo řeknou málo, a tím víc toho mají za lubem. """
"read","read","četl","číst","impf"," Each pigeon-hole had its label, and his eyes as he glanced along them read a long series of such titles as “ Fords ”, “ Harbour-defences ”, “ Aeroplanes ”, “ Ireland ”, “ Egypt ”, “ Portsmouth forts ”, “ The Channel ”, “ Kosythe ” and a score of others."," Každá přihrádka byla označena štítkem, a jak po nich přejížděl očima, četl nápisy jako "" Brody "", "" Obranná opatření v přístavech "", "" Letouny "", "" Irsko "", "" Egypt "", "" Portsmouthské bašty "", "" Kanál La Manche "", "" Kosythe "" a mnoho dalších."
"said","say","řekl","říci","pf"," “ Colossal! ” said the secretary."," "" Kolosální! "" řekl vyslanecký rada."
"bear","bear","snést","snést","pf"," Oh, God in heaven, this pain is more than I can bear! ”"," Ach, bože na nebesích, taková bolest se nedá snést! """
"clear","clear","očistit","očistit","pf"," All suspicion of me had passed from his mind in the presence of this shock, and he clung to my hands as if I might have the power even yet to clear those dead-fish eyes which glazed up at me."," Po tomto otřesu zapomněl na všechno podezření vůči mé osobě a chytal se mých rukou, jako by bylo v mé moci ještě očistit ty skelné oči, které na mne zíraly pohledem leklé ryby."
"stealing","steal","ukradl","ukrást","pf"," “ And stealing his private papers."," "" A ukradl jeho soukromé dokumenty. """
"enlarge","enlarge","rozšířil","rozšířit","pf"," “ My dear sir, if you did anything so foolish you would probably enlarge the two limited titles of our village inns by giving us ‘ The Dangling Prussian ’ as a signpost."," "" Vážený pane, kdybyste se dopustil takové nepředloženosti, rozšířil byste patrně omezený rejstřík názvů našich venkovských hostinců tím, že byste nám poskytl návěští ' U oběšeného Prušáka '."
