"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"given","give","dala","dát","pf"," They would be going to England, Heloise said at last to her child, after she ’ d promised Kitty Teresa to look out for another position for her and had given old Hannah notice."," Pojedou do Anglie, řekla Heloise nakonec svému dítěti, když slíbila Kitty Terese, že se jí poohlédne po nové práci, a když dala staré Hannah výpověď."
"asked","ask","zeptala","zeptat","pf"," ‘ For long, is it? ’ Lucy asked, knowing the answer."," "" Na dlouho, že ano? "" zeptala se Lucy, i když už znala odpověď."
"want","want","nechceme","chtít","impf"," ‘ We don ’ t want it to be. ’"," "" To nechceme. """
"come","come","jezdit","jezdit","impf"," They ’ ll have to come on bicycles if the car gives out."," Jestli jim vůz vypoví službu, budou muset jezdit na bicyklech."
"come","come","nedojde","dojít","pf"," Not that it would come to that, of course;"," Ale na to přirozeně nedojde;"
"closed","close","zavřel","zavřít","pf"," ‘ Condon ’ s closed, ’ Sister Antony said."," "" Condonův obchod zavřel, "" řekla sestra Antony."
"said","say","řekla","říci","pf"," ‘ Condon ’ s closed, ’ Sister Antony said."," "" Condonův obchod zavřel, "" řekla sestra Antony."
"meant","mean","Myslela","myslet","impf"," ‘ I meant young when he left. ’"," "" Myslela jsem, že byl mladý, když odjel. """
"left","leave","odjel","odjet","pf"," ‘ I meant young when he left. ’"," "" Myslela jsem, že byl mladý, když odjel. """
"Say","say","Řekni","říci","pf"," ‘ Say about Father Leahy. ’"," "" Řekni to o otci Leahyovi. """
"tried","try","snažil","snažit","impf"," Beneath the wide spread of a beech tree in the garden, while his pupils managed not to listen to what Ralph tried to teach them, the girl who had come out of the house he hadn ’ t thought was there haunted every morning and every sleepy afternoon."," Ta dívka, která vyšla z domu, jehož existence ho tak překvapila, Ralpha zaměstnávala každé ráno a každé ospalé odpoledne pod širokou korunou buku na zahradě, zatímco se jeho žákům dařilo pouštět druhým uchem ven to, co se je Ralph snažil naučit."
"teach","teach","naučit","naučit","pf"," Beneath the wide spread of a beech tree in the garden, while his pupils managed not to listen to what Ralph tried to teach them, the girl who had come out of the house he hadn ’ t thought was there haunted every morning and every sleepy afternoon."," Ta dívka, která vyšla z domu, jehož existence ho tak překvapila, Ralpha zaměstnávala každé ráno a každé ospalé odpoledne pod širokou korunou buku na zahradě, zatímco se jeho žákům dařilo pouštět druhým uchem ven to, co se je Ralph snažil naučit."
"boiling","boil","vařit","vařit","impf"," At the range she pushed the saucepan of potatoes on to the heat and poured boiling water over the cabbage she had cut up."," Na kamnech dala vařit hrnec s bramborami a nakrájené zelí zalila vařící vodou."
"heard","hear","zaslechla","zaslechnout","pf"," She laid out knives and forks on the table and then heard Henry ’ s footsteps in the passage."," Vyložila nože a vidličky na stůl a pak zaslechla v průchodu Henryho kroky."
"looked","look","podívala","podívat","pf"," When she looked round from the range he was standing in the doorway."," Když se podívala od kamen, stál ve dveřích."
"said","say","neodpověděl","odpovědět","pf"," ‘ What ’ s that? ’ she said, and he didn ’ t make any kind of reply, only came on into the kitchen."," "" Co to je? "" zeptala se, a on vůbec neodpověděl, jen vešel do kuchyně."
"began","begin","Začala","začít","pf"," She took up petit-point embroidery, discovering she had a natural skill for it when she began to teach herself the stitches."," Začala vyšívat drobným gobelínovým stehem, a když se tomu učila, zjistila, že má přirozený talent."
"teach","teach","učila","učit","impf"," She took up petit-point embroidery, discovering she had a natural skill for it when she began to teach herself the stitches."," Začala vyšívat drobným gobelínovým stehem, a když se tomu učila, zjistila, že má přirozený talent."
"took","take","zjistila","zjistit","pf"," She took up petit-point embroidery, discovering she had a natural skill for it when she began to teach herself the stitches."," Začala vyšívat drobným gobelínovým stehem, a když se tomu učila, zjistila, že má přirozený talent."
"discovering","discover","zjistila","zjistit","pf"," She took up petit-point embroidery, discovering she had a natural skill for it when she began to teach herself the stitches."," Začala vyšívat drobným gobelínovým stehem, a když se tomu učila, zjistila, že má přirozený talent."
"came","come","chodily","chodit","impf"," The silks, and the linen she decorated with them, came by post from a Dublin shop, Ancrin ’ s, which specialized in domestic crafts."," Hedvábí i lněné plátno, které používala jako podkladový materiál, jí chodily poštou z dublinského obchodu Ancrin ' s, který se specializoval na domácí řemesla."
"found","find","Našla","najít","pf"," She had found one of their catalogues, sent for by her mother, forgotten in the pages of The Irish Dragoon."," Našla jejich katalog, který si nechala posílat její matka, zapomenutý mezi stránkami románu Irský dragoun."
"sent","send","posílat","posílat","impf"," She had found one of their catalogues, sent for by her mother, forgotten in the pages of The Irish Dragoon."," Našla jejich katalog, který si nechala posílat její matka, zapomenutý mezi stránkami románu Irský dragoun."
"saw","see","zhlédla","zhlédnout","pf"," On her thirty-ninth birthday she and her father saw Nicholas Nickleby in the smart new cinema in Enniseala that had replaced the Picture House."," O svých devětatřicátých narozeninách spolu s otcem zhlédla Mikuláše Nicklebyho v elegantním novém kině v Enniseale, které nahradilo to předchozí."
"replaced","replace","nahradilo","nahradit","pf"," On her thirty-ninth birthday she and her father saw Nicholas Nickleby in the smart new cinema in Enniseala that had replaced the Picture House."," O svých devětatřicátých narozeninách spolu s otcem zhlédla Mikuláše Nicklebyho v elegantním novém kině v Enniseale, které nahradilo to předchozí."
"sat","sit","seděli","sedět","impf"," They sat together far into the night when they returned to Lahardane, as sometimes now they did."," Po návratu do Lahardanu seděli spolu hluboko do noci, jak se teď někdy stávalo."
"done","do","dělala","dělat","impf"," A few weeks later, on a fine November afternoon, they tended together the family graves at Kilauran, which Lucy in the past had always done on her own."," O pár týdnů později spolu jednoho hezkého listopadového odpoledne opečovávali rodinné hroby v Kilauranu, což Lucy v minulosti vždycky dělala sama."
"whispered","whisper","zašeptala","zašeptat","pf"," ‘ Dear Ralph, ’ she whispered, ‘ you must not love me. ’"," "" Drahý Ralphe, "" zašeptala, "" nesmíš mě milovat. """
"love","love","milovat","milovat","impf"," ‘ Dear Ralph, ’ she whispered, ‘ you must not love me. ’"," "" Drahý Ralphe, "" zašeptala, "" nesmíš mě milovat. """
"help","help","pomoct","pomoci","pf"," ‘ I cannot help it. ’"," "" Nemůžu si pomoct. """
"write","write","Napíšeš","napsat","pf"," ‘ One day, when you marry, will you write and tell me?"," "" Napíšeš mi, až se jednou oženíš?"
"marry","marry","oženíš","oženit","pf"," ‘ One day, when you marry, will you write and tell me?"," "" Napíšeš mi, až se jednou oženíš?"
"imagine","imagine","představovat","představovat","impf"," So that I know and can imagine that too."," Abych věděla a mohla si to taky představovat."
"write","write","napíšeš","napsat","pf"," And will you write when each child is born?"," A napíšeš mi, až se ti narodí děti?"
"tell","tell","řekneš","říci","pf"," And tell me your wife ’ s name and give some slight description of her?"," A řekneš mi manželčino jméno a popíšeš mi ji aspoň trochu?"
"arrived","arrive","dorazil","dorazit","pf"," On the day Lucy Gault ’ s letter arrived in the house above the Bank of Ireland there was a new recruit at the army Camp that Ralph often passed on his evening walks."," Onoho dne, kdy dorazil dopis Lucy Gaultové do domu nad pobočkou Bank of Ireland, se ve vojenském táboře, jejž Ralph často míjel na večerních procházkách, přihlásil nový rekrut."
"passed","pass","míjel","míjet","impf"," On the day Lucy Gault ’ s letter arrived in the house above the Bank of Ireland there was a new recruit at the army Camp that Ralph often passed on his evening walks."," Onoho dne, kdy dorazil dopis Lucy Gaultové do domu nad pobočkou Bank of Ireland, se ve vojenském táboře, jejž Ralph často míjel na večerních procházkách, přihlásil nový rekrut."
"pointing","point","ukázal","ukázat","pf"," He looked over his shoulder, pointing down at the five stone steps in case she would trip."," Ohlédl se přes rameno a ukázal na pět kamenných schodů, aby na nich snad nezakopla."
"think","think","myslet","myslet","impf"," ‘ We have to think of her, Everard. ’"," "" Musíme myslet na ni, Everarde. """
"said","say","řekla","říci","pf"," And in the kitchen Bridget said :"," A v kuchyni Bridget řekla :"
"gone","go","odešli","odejít","pf"," ‘ The Morells have gone from Clashmore. ’"," "" Morellovi odešli z Clashmoru. """
"heard","hear","Slyšel","slyšet","impf"," ‘ I heard. ’"," "" Slyšel jsem. """
"called","call","říkalo","říkat","impf"," Henry ’ s slow enunciation reached Lucy in the dog passage, which was what the passage that led from the kitchen to the back door was called."," Henryho pomalá artikulace zastihla Lucy v psím průchodu, jak se říkalo průchodu z kuchyně k zadním dveřím."
"heard","hear","slyšel","slyšet","impf"," ‘ I heard that all right. ’"," "" Jasně, slyšel jsem to. """
