"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"decide","decide","rozhodnout","rozhodnout","pf"," But I am saying that it is a tricky question to decide which[ ]parts of behaviour are rule-governed and which are not."," Tvrdím však, že je velmi obtížné rozhodnout, které typy chování se řídí a které se naopak neřídí jistými pravidly."
"assume","assume","předpokládat","předpokládat","impf"," And[ ]we can ’ t just assume all meaningful behaviour has some system of rules underlying it."," Nelze prostě jen tak předpokládat, že každé smysluplné chování se zakládá na systému pravidel."
"want","want","nechtěl","chtít","impf"," Perhaps this is a good place to say that though I am not[ ]optimistic about the overall research project of cognitivism, I do think that a lot of insights are likely to be gained from the effort, and I certainly do not want to discourage anyone from trying to prove me wrong."," Je možná vhodná příležitost poznamenat, že přes svou skepsi vůči výzkumnému programu kognitivismu jako celku jsem přesvědčen, že tato snaha může přinést celou řadu dílčích objevů - a rozhodně bych nechtěl nikoho odradit od toho, aby se mé teze pokusil vyvrátit."
"discourage","discourage","odradit","odradit","pf"," Perhaps this is a good place to say that though I am not[ ]optimistic about the overall research project of cognitivism, I do think that a lot of insights are likely to be gained from the effort, and I certainly do not want to discourage anyone from trying to prove me wrong."," Je možná vhodná příležitost poznamenat, že přes svou skepsi vůči výzkumnému programu kognitivismu jako celku jsem přesvědčen, že tato snaha může přinést celou řadu dílčích objevů - a rozhodně bych nechtěl nikoho odradit od toho, aby se mé teze pokusil vyvrátit."
"trying","try","pokusil","pokusit","pf"," Perhaps this is a good place to say that though I am not[ ]optimistic about the overall research project of cognitivism, I do think that a lot of insights are likely to be gained from the effort, and I certainly do not want to discourage anyone from trying to prove me wrong."," Je možná vhodná příležitost poznamenat, že přes svou skepsi vůči výzkumnému programu kognitivismu jako celku jsem přesvědčen, že tato snaha může přinést celou řadu dílčích objevů - a rozhodně bych nechtěl nikoho odradit od toho, aby se mé teze pokusil vyvrátit."
"calls","call","říká","říkat","impf"," A good rule of thumb to keep in mind is that anything that calls itself ‘ science ’ probably isn ’ t - for example, Christian science, or military science, and possibly even cognitive science or social science."," Je téměř pravidlem, že všechno, co si říká ' věda ', vědou prostě není : například věda křesťanská ( Christian science ) nebo vojenská ( military science ) a nejspíš i věda kognitivní a sociální."
"Granted","grant","Připustíme","připustit","pf"," Granted that they are not so grounded, why not?"," Připustíme - li, že takto zakotveny nejsou, je třeba se ptát proč."
"grounded","ground","zakotveny","zakotvit","pf"," Granted that they are not so grounded, why not?"," Připustíme - li, že takto zakotveny nejsou, je třeba se ptát proč."
"consist","consist","skládají","skládat","impf"," That is, wars and revolutions, like everything else, consist of molecule movements."," Vždyť války a revoluce se jako všechno ostatní skládají z pohybů molekul."
"think","think","myslet","myslet","impf"," And of course, we[ ]can all think."," A samozřejmě že můžeme myslet."
"performing","perform","provádět","provádět","impf"," So, in one sense of ‘ machine ’, namely that sense[ ]in which a machine is just a physical system which is capable of performing certain kinds of operations, in that sense, we are all machines, and we can think."," Alespoň v jednom významu ' stroje ' totiž ve významu, že stroj je fyzikální systém schopný provádět jisté operace - jsme všichni stroje a přitom můžeme myslet."
"think","think","myslet","myslet","impf"," So, in one sense of ‘ machine ’, namely that sense[ ]in which a machine is just a physical system which is capable of performing certain kinds of operations, in that sense, we are all machines, and we can think."," Alespoň v jednom významu ' stroje ' totiž ve významu, že stroj je fyzikální systém schopný provádět jisté operace - jsme všichni stroje a přitom můžeme myslet."
"think","think","myslet","myslet","impf"," So, trivially, there are[ ]machines that can think."," Existují tedy stroje, které mohou myslet."
"suppose","suppose","předpokládat","předpokládat","impf"," So, why would anyone suppose that between these two levels there is also a level of mental processes which are computational processes?"," A teď, proč by se mělo předpokládat, že mezi těmito dvěma rovinami je ještě rovina mentálních procesů obdobných procesům počítačovým?"
"suppose","suppose","předpokládat","předpokládat","impf"," And indeed why would anyone suppose that it ’ s at that level that the brain performs those functions that we regard as essential to the survival of the organism - namely the functions of information processing?"," A z jakého důvodu by se mělo předpokládat, že právě na této rovině mozek vykonává funkce, které považujeme za podstatné pro přežití organismu, totiž funkce zpracování informací?"
"regard","regard","považujeme","považovat","impf"," And indeed why would anyone suppose that it ’ s at that level that the brain performs those functions that we regard as essential to the survival of the organism - namely the functions of information processing?"," A z jakého důvodu by se mělo předpokládat, že právě na této rovině mozek vykonává funkce, které považujeme za podstatné pro přežití organismu, totiž funkce zpracování informací?"
"made","make","udělali","udělat","pf"," The reason usually adduced for this is that Aristotle and Descartes had both a primitive theory of biology and physics on the one hand, and a primitive theory of human behaviour on the other; and that while we have advanced in biology and physics, we have made no comparable advance in the explanation of human behaviour."," Obyčejně se to zdůvodňuje tím, ze Aristoteles i Descartes prý měli nejen primitivní teorii biologie a fyziky, ale také primitivní teorii lidského chování, a my jsme prý sice udělali pokroky v biologii a fyzice, neudělali jsme však žádné srovnatelné pokroky při objasněni lidského chování."
"made","make","neudělali","udělat","pf"," The reason usually adduced for this is that Aristotle and Descartes had both a primitive theory of biology and physics on the one hand, and a primitive theory of human behaviour on the other; and that while we have advanced in biology and physics, we have made no comparable advance in the explanation of human behaviour."," Obyčejně se to zdůvodňuje tím, ze Aristoteles i Descartes prý měli nejen primitivní teorii biologie a fyziky, ale také primitivní teorii lidského chování, a my jsme prý sice udělali pokroky v biologii a fyzice, neudělali jsme však žádné srovnatelné pokroky při objasněni lidského chování."
