"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"saw","see","dívali","dívat","impf"," That afternoon there was a party of tourists at the Terrace and looking down in the water among the empty beer cans and dead barracudas a woman saw a great long white spine with a huge tail at the end that lifted and swung with the tide while the east wind blew a heavy steady sea outside the entrance to the harbour."," Toho odpoledne byla na Terase společnost turistů, a když se dívali dolů do vody, uviděla nějaká žena mezi prázdnými plechovkami od piva a mrtvými štikovitými soltíny ohromný dlouhý hřbet z bílých obratlů, zakončený obrovskou ocasní ploutví, která se zdvíhala a pohupovala v příboji, zatím co na širém moři za vjezdem do přístavní zátoky vzdouval východní vítr silné a vytrvalé vlnobití."
"saw","see","uviděla","uvidět","pf"," That afternoon there was a party of tourists at the Terrace and looking down in the water among the empty beer cans and dead barracudas a woman saw a great long white spine with a huge tail at the end that lifted and swung with the tide while the east wind blew a heavy steady sea outside the entrance to the harbour."," Toho odpoledne byla na Terase společnost turistů, a když se dívali dolů do vody, uviděla nějaká žena mezi prázdnými plechovkami od piva a mrtvými štikovitými soltíny ohromný dlouhý hřbet z bílých obratlů, zakončený obrovskou ocasní ploutví, která se zdvíhala a pohupovala v příboji, zatím co na širém moři za vjezdem do přístavní zátoky vzdouval východní vítr silné a vytrvalé vlnobití."
"pulled","pull","táhl","táhnout","impf"," The shivering increased as he pulled in and he could see the blue back of the fish in the water and the gold of his sides before he swung him over the side and into the boat."," Jak táhl, chvění sílelo a pak ve vodě uviděl jeho modrý hřbet a jeho zlaté boky, než jej přehodil přes pažení do člunu."
"see","see","uviděl","uvidět","pf"," The shivering increased as he pulled in and he could see the blue back of the fish in the water and the gold of his sides before he swung him over the side and into the boat."," Jak táhl, chvění sílelo a pak ve vodě uviděl jeho modrý hřbet a jeho zlaté boky, než jej přehodil přes pažení do člunu."
"heard","hear","slyšel","slyšet","impf"," There were other boats from the other beaches going out to sea and the old man heard the dip and push of their oars even though he could not see them now the moon was below the hills."," Z ostatních pláží vyplouvaly na moře i jiné čluny a stařec slyšel, jak se jejich vesla hrouží a zabírají, i když je teď, kdy se měsíc schoval za kopce, nemohl vidět."
"see","see","vidět","vidět","impf"," There were other boats from the other beaches going out to sea and the old man heard the dip and push of their oars even though he could not see them now the moon was below the hills."," Z ostatních pláží vyplouvaly na moře i jiné čluny a stařec slyšel, jak se jejich vesla hrouží a zabírají, i když je teď, kdy se měsíc schoval za kopce, nemohl vidět."
"speak","speak","promluvil","promluvit","pf"," Sometimes someone would speak in a boat."," Občas někdo v některém člunu promluvil."
"hoped","hope","doufal","doufat","impf"," They spread apart after they were out of the mouth of the harbour and each one headed for the part of the ocean where he hoped to find fish."," Rozptýlily se, jakmile vypluly z ústí zátoky, a každý si to namířil do té části oceánu, kde doufal narazit na ryby."
"slept","sleep","spal","spát","impf"," He rolled himself in the blanket and slept on the other old newspapers that covered the springs of the bed."," Zavinul se do pokrývky a spal na jiných starých novinách nastlaných přes péra postele."
"dreamed","dream","zdálo","zdát","impf"," He was asleep in a short time and he dreamed of Africa when he was a boy and the long golden beaches and the white beaches, so white they hurt your eyes, and the high capes and the great brown mountains."," Usnul ve chvilce a zdálo se mu o Africe, kde byl jako chlapec, o dlouhých zlatých pobřežích a o bílých pobřežích, tak bílých, až z nich bolely oči, o vysokých mysech a mohutných hnědých horách."
"hurt","hurt","bolely","bolet","impf"," He was asleep in a short time and he dreamed of Africa when he was a boy and the long golden beaches and the white beaches, so white they hurt your eyes, and the high capes and the great brown mountains."," Usnul ve chvilce a zdálo se mu o Africe, kde byl jako chlapec, o dlouhých zlatých pobřežích a o bílých pobřežích, tak bílých, až z nich bolely oči, o vysokých mysech a mohutných hnědých horách."
"heard","hear","slyšel","slyšet","impf"," He lived along that coast now every night and in his dreams he heard the surf roar and saw the native boats come riding through it."," Plavil se teď podél těch břehů každou noc a slyšel ve snách řev příboje a viděl, jak se tím příbojem blíží čluny domorodců."
"saw","see","viděl","vidět","impf"," He lived along that coast now every night and in his dreams he heard the surf roar and saw the native boats come riding through it."," Plavil se teď podél těch břehů každou noc a slyšel ve snách řev příboje a viděl, jak se tím příbojem blíží čluny domorodců."
"bring","bring","přinese","přinést","pf"," I wonder what this night will bring."," Rád bych věděl, co mi tahle noc přinese."
"watched","watch","pozoroval","pozorovat","impf"," An airplane passed overhead on its course to Miami and he watched its shadow scaring up the schools of flying fish."," Nad hlavou mu přeletělo letadlo na cestě do Miami a stařec pozoroval jeho stín, jak plaší hejna létavých ryb."
"said","say","řekl","říci","pf"," "" With so much flying fish there should be dolphin, "" he said, and leaned back on the line to see if it was possible to gain any on his fish."," "" Při tolika létavých rybách by tu měly být dorády, "" řekl si stařec a zapřel se do šňůry, aby vyzkoušel, zda by ji nešlo proti tahu ryby zkrátit."
"stayed","stay","zůstala","zůstat","pf"," But he could not and it stayed at the hardness and water-drop shivering that preceded breaking."," Ale nešlo to a šňůra zůstala ztuha napjatá, drnčíc, až odletovaly krůpěje vody, jen jen prasknout."
"watched","watch","sledoval","sledovat","impf"," He held the line against his back and watched its slant in the water and the skiff moving steadily to the north-west."," Vzpíral šňůru přehozenou přes záda, sledoval, v jakém úhlu mizí pod hladinu a jak loďka nepřestajně míří k severozápadu."
"kill","kill","zabije","zabít","pf"," This will kill him, the old man thought."," Tohle ji zabije, myslel si stařec."
"thought","think","myslel","myslet","impf"," This will kill him, the old man thought."," Tohle ji zabije, myslel si stařec."
"swimming","swim","plula","plout","impf"," But four hours later the fish was still swimming steadily out to sea, towing the skiff, and the old man was still braced solidly with the line across his back."," Ale po čtyřech hodinách plula ryba vytrvale dál do oceánu, vlekla člun a stařec se ještě stále houževnatě vzpíral tahu se šňůrou přes záda."
"towing","tow","vlekla","vléci","impf"," But four hours later the fish was still swimming steadily out to sea, towing the skiff, and the old man was still braced solidly with the line across his back."," Ale po čtyřech hodinách plula ryba vytrvale dál do oceánu, vlekla člun a stařec se ještě stále houževnatě vzpíral tahu se šňůrou přes záda."
"said","say","řekl","říci","pf"," "" It was noon when I hooked him, "" he said."," "" Když zabrala, bylo poledne, "" řekl nahlas."
"seen","see","neviděl","vidět","impf"," "" And I have never seen him. """," "" A ještě jsem ji neviděl. """
"worked","work","Pracoval","pracovat","impf"," He worked skillfully with the one hand and put his foot on the coils to hold them as he drew his knots tight."," Pracoval obratně jednou rukou a přišlápl kotouče nohou, aby je přidržel, když utahoval uzly."
"hold","hold","přidržel","přidržet","pf"," He worked skillfully with the one hand and put his foot on the coils to hold them as he drew his knots tight."," Pracoval obratně jednou rukou a přišlápl kotouče nohou, aby je přidržel, když utahoval uzly."
"severed","sever","odřízl","odříznout","pf"," There were two from each bait he had severed and the two from the bait the fish had taken and they were all connected."," Dva od každé návnady, kterou odřízl, a dva od návnady, na kterou ryba zabrala, a všechny byly svázány dohromady."
"taken","take","zabrala","zabrat","pf"," There were two from each bait he had severed and the two from the bait the fish had taken and they were all connected."," Dva od každé návnady, kterou odřízl, a dva od návnady, na kterou ryba zabrala, a všechny byly svázány dohromady."
"thought","think","myslel","myslet","impf"," After it is light, he thought, I will work back to the forty-fathom bait and cut it away too and link up the reserve coils."," Až se rozední, myslel si, přelezu dozadu k tomu čtyřicetisáhovému vnadidlu, uříznu je taky a zásobní kotouče svážu."
"killed","kill","zabil","zabít","pf"," "" And I killed him well. """," "" A zabil jsem ho jaksepatří. """
"kills","kill","zabíjí","zabíjet","impf"," Besides, he thought, everything kills everything else in some way."," Ostatně, pokračoval v myšlenkách, všechno se navzájem zabíjí, tak nebo tak."
